軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,省庁区分,auto,1,省庁区分(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-002,施工方法の適用,auto,2,施工方法の適用(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-003,施工歩掛(バックホウ施工),auto,3,施工歩掛(バックホウ施工)(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-004,NFG1=1,auto,47,NFG1=1(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-005,0.7=代価表1枚目6行目,auto,51,0.7=代価表1枚目6行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-006,資材計上区分,vary,5,資材計上区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-007,材料分岐,auto,17,材料分岐(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-008,砕石の種類,vary,14,砕石の種類,新規工種:全選択肢網羅,SitsumonKind=19,
AX-009,1=代価表1枚目4行目,auto,41,1=代価表1枚目4行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-010,施工機械区分,auto,11,施工機械区分(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-011,代価表当り数量適用方法,auto,15,代価表当り数量適用方法(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-012,代価表当り単位の選択(標準=10m3),vary,18,代価表当り単位の選択(標準=10m3),新規工種:全選択肢網羅,SitsumonKind=19,
AX-013,A=10,auto,62,A=10(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-014,作業員職種,auto,9,作業員職種(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-015,労務費の適用,vary,10,労務費の適用,新規工種:全選択肢網羅,SitsumonKind=19,
AX-016,材料区分,vary,23,材料区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-017,材料区分,vary,16,材料区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-018,代価表当り単位の選択(標準=日当り施工量),auto,22,代価表当り単位の選択(標準=日当り施工量)(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-019,A=0,auto,59,A=0(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-020,施工歩掛(BH、クレーン),vary,4,施工歩掛(BH、クレーン),新規工種:全選択肢網羅,SitsumonKind=19,
AX-021,NFG1=1,auto,43,NFG1=1(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-022,代価表当り単位の選択(標準=100m3),vary,19,代価表当り単位の選択(標準=100m3),新規工種:全選択肢網羅,SitsumonKind=19,
AX-023,A=100,auto,60,A=100(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-024,0=代価表1枚目4行目,auto,42,0=代価表1枚目4行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-025,(トラッククレーン)賃料長期割引の適用,vary,6,(トラッククレーン)賃料長期割引の適用,新規工種:全選択肢網羅,SitsumonKind=19,
AX-026,(トラッククレーン)賃料深夜割増の適用,auto,26,(トラッククレーン)賃料深夜割増の適用(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-027,Nex=0,auto,55,Nex=0(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-028,代価表当り単位の選択(標準=10m3),auto,12,代価表当り単位の選択(標準=10m3)(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-029,A=10,auto,38,A=10(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-030,A=0,auto,54,A=0(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
