軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,岩区分,vary,2,岩区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-002,設計掘削断面積,vary,1,設計掘削断面積,新規工種:全選択肢網羅,SitsumonKind=19,
AX-003,条件選択,auto,3,条件選択(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-004,トンネル世話役,auto,40,トンネル世話役(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-005,条件選択,auto,4,条件選択(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-006,トンネル特殊工,auto,44,トンネル特殊工(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-007,条件選択,auto,5,条件選択(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-008,トンネル作業員,auto,48,トンネル作業員(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-009,条件選択,auto,6,条件選択(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-010,ドリルジャンボ,auto,52,ドリルジャンボ(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-011,条件選択,auto,7,条件選択(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-012,大型ブレーカ,auto,56,大型ブレーカ(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-013,条件選択,auto,8,条件選択(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-014,機械+鏡吹付の諸雑費,auto,60,機械+鏡吹付の諸雑費(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-015,条件選択,auto,9,条件選択(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-016,材料の諸雑費,auto,64,材料の諸雑費(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-017,条件選択,auto,10,条件選択(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-018,ホイールローダ,auto,68,ホイールローダ(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-019,条件選択,auto,11,条件選択(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-020,コンクリート吹付機,auto,72,コンクリート吹付機(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-021,条件選択,auto,12,条件選択(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-022,吹付プラント設備,auto,76,吹付プラント設備(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-023,条件選択,auto,34,条件選択(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-024,1週当り施工量(m/週),auto,80,1週当り施工量(m/週)(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-025,切羽監視責任者の有無,vary,30,切羽監視責任者の有無,新規工種:全選択肢網羅,SitsumonKind=19,
AX-026,鏡吹付工施工の有無,vary,32,鏡吹付工施工の有無,新規工種:全選択肢網羅,SitsumonKind=19,
AX-027,(ドリルジャンボ)排ガス機械の選択,vary,25,(ドリルジャンボ)排ガス機械の選択,新規工種:全選択肢網羅,SitsumonKind=19,
AX-028,ドリルジャンボ排ガス1次対策型規格,auto,28,ドリルジャンボ排ガス1次対策型規格(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-029,FG1a=32.1,auto,83,FG1a=32.1(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-030,(大型ブレーカ)排ガス機械の選択,vary,16,(大型ブレーカ)排ガス機械の選択,新規工種:全選択肢網羅,SitsumonKind=19,
AX-031,(ホイールローダ)排ガス機械の選択,vary,29,(ホイールローダ)排ガス機械の選択,新規工種:全選択肢網羅,SitsumonKind=19,
AX-032,ロックボルトの計上区分,vary,31,ロックボルトの計上区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-033,1=代価表1枚目11行目,auto,89,1=代価表1枚目11行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
