軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,日当り作業量補正区分,auto,16,日当り作業量補正区分(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-002,日当り作業量補正(道路維持等作業効率低下),vary,14,日当り作業量補正(道路維持等作業効率低下),新規工種:全選択肢網羅,SitsumonKind=19,
AX-003,省庁分岐,auto,49,省庁分岐(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-004,作業区分,vary,1,作業区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-005,側溝規格,vary,33,側溝規格,新規工種:全選択肢網羅,SitsumonKind=19,
AX-006,基礎砕石の有無,vary,2,基礎砕石の有無,新規工種:全選択肢網羅,SitsumonKind=19,
AX-007,機械規格区分,auto,10,機械規格区分(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-008,(バックホウ 山積0.28m3)賃料長期割引の適用,vary,7,(バックホウ 山積0.28m3)賃料長期割引の適用,新規工種:全選択肢網羅,SitsumonKind=19,
AX-009,作業区分,auto,4,作業区分(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-010,省庁分岐,vary,18,省庁分岐,新規工種:全選択肢網羅,SitsumonKind=19,
AX-011,側溝材料初期値区分,auto,28,側溝材料初期値区分(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-012,側溝規格,auto,58,側溝規格(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-013,側溝材料の単位選択,vary,6,側溝材料の単位選択,新規工種:全選択肢網羅,SitsumonKind=19,
AX-014,1個当り側溝長さ,fix,29,1個当り側溝長さ,,SitsumonKind=17,
AX-015,側溝単価区分,auto,25,側溝単価区分(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-016,側溝材料単位区分,auto,32,側溝材料単位区分(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-017,分子掛率区分,auto,31,分子掛率区分(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-018,適用労務選択方法の切替,auto,8,適用労務選択方法の切替(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-019,労務費の適用,auto,13,労務費の適用(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-020,内径又は内空幅(mm),vary,3,内径又は内空幅(mm),新規工種:全選択肢網羅,SitsumonKind=19,
AX-021,側溝単価(別途計上),auto,12,側溝単価(別途計上)(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-022,側溝規格,auto,57,側溝規格(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-023,基礎砕石の有無,auto,41,基礎砕石の有無(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-024,労務費の適用,vary,15,労務費の適用,新規工種:全選択肢網羅,SitsumonKind=19,
AX-025,(バックホウ 山積0.5m3)賃料長期割引の適用,vary,9,(バックホウ 山積0.5m3)賃料長期割引の適用,新規工種:全選択肢網羅,SitsumonKind=19,
AX-026,日当り作業量補正(直接入力),fix,17,日当り作業量補正(直接入力),,SitsumonKind=17,
AX-027,管(函)渠型側溝材料区分,vary,30,管(函)渠型側溝材料区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-028,側溝単価計上方法,auto,21,側溝単価計上方法(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-029,側溝材料単価,auto,26,側溝材料単価(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-030,側溝規格,auto,34,側溝規格(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
