軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,省庁区分,auto,1,省庁区分(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-002,日当り作業量補正(被災地),auto,15,日当り作業量補正(被災地)(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-003,桁区分,vary,2,桁区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-004,歩掛(プレテンションT桁、ポストテンション桁),vary,3,歩掛(プレテンションT桁、ポストテンション桁),新規工種:全選択肢網羅,SitsumonKind=19,
AX-005,S9=0,auto,54,S9=0(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-006,資材計上区分,vary,13,資材計上区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-007,SK=1,auto,43,SK=1(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-008,生コンクリート小型車割増額の計上,auto,28,生コンクリート小型車割増額の計上(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-009,0=代価表1枚目6行目,auto,45,0=代価表1枚目6行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-010,冬期加熱費動作区分,auto,29,冬期加熱費動作区分(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-011,生コンクリート冬期加熱費計上区分(標準=なし),auto,30,生コンクリート冬期加熱費計上区分(標準=なし)(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-012,0=代価表1枚目7行目,auto,46,0=代価表1枚目7行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-013,打設方法,vary,20,打設方法,新規工種:全選択肢網羅,SitsumonKind=19,
AX-014,FG1=22,auto,33,FG1=22(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-015,K1=110,auto,41,K1=110(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-016,LA=0,auto,50,LA=0(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-017,LB=0,auto,39,LB=0(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-018,LS=1,auto,51,LS=1(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-019,FG5=0,auto,37,FG5=0(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-020,0=代価表1枚目9行目,auto,36,0=代価表1枚目9行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-021,作業員職種,auto,27,作業員職種(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-022,労務費の適用,vary,9,労務費の適用,新規工種:全選択肢網羅,SitsumonKind=19,
AX-023,歩掛(プレテンション床版桁),vary,4,歩掛(プレテンション床版桁),新規工種:全選択肢網羅,SitsumonKind=19,
AX-024,養生工の選択方法,auto,5,養生工の選択方法(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-025,養生工(ジェット、練炭、囲い内),vary,6,養生工(ジェット、練炭、囲い内),新規工種:全選択肢網羅,SitsumonKind=19,
AX-026,計上方法切替区分,auto,16,計上方法切替区分(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-027,SK=0,auto,42,SK=0(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-028,FG1=12,auto,34,FG1=12(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-029,K1=100,auto,40,K1=100(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-030,圧送管組立・撤去の計上,vary,21,圧送管組立・撤去の計上,新規工種:全選択肢網羅,SitsumonKind=19,
AX-031,1=代価表1枚目6行目,auto,44,1=代価表1枚目6行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
AX-032,生コンクリート冬期加熱費計上区分,vary,31,生コンクリート冬期加熱費計上区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-033,1=代価表1枚目7行目,auto,47,1=代価表1枚目7行目(固定),自動確定 (選択肢1件・選択の余地なし),SitsumonKind=19,
