工種,パターン(条期選規文),変更質問(差分B),TCカバー,TC未カバー(乖離),計上行 変化,計上行 裏付,計上行 未裏付,変更質問:自動固定(除外),文字変更(リネーム),選択肢適切さ:増,選択肢適切さ:減,規格計上:増,規格計上:減,主指標一致,主指標一致率
00_32-4527_裏込砕石工,条-選規-,2,2,0,0,0,0,0,0,6,19,0,1,2/2,100%
01_619040_回航費-旅費等,--選規-,0,0,0,0,0,0,0,0,1,84,0,23,-,-
02_605773_大型ブレーカ,条-選--,1,1,0,0,0,0,0,0,2,44,0,0,1/1,100%
03_607674_送気用設備運転費,条期選規文,1,1,0,3,3,0,0,1,3,5,1,2,4/4,100%
04_607092_下地処理工(復興係数),--選--,0,0,0,0,0,0,0,0,1,2,0,0,-,-
05_605171_掘削等,条-選規-,3,3,0,0,0,0,0,0,9,23,0,4,3/3,100%
06_606964_土のう積工,条期選規-,4,3,1,2,2,0,0,0,11,11,1,1,5/6,83%
07_608358_インターロッキングブロック工,条-選規-,2,2,0,0,0,0,0,0,3,31,0,5,2/2,100%
09_619550_養生マット(材料費)【施工P】,条-選規-,3,3,0,0,0,0,0,0,9,1,1,0,3/3,100%
11_622069_ICT建設機械経費加算額(小規模土工),条-選規-,2,2,0,0,0,0,0,0,6,4,2,1,2/2,100%
12_619272_重建設機械分解組立,条-選規-,2,1,1,0,0,0,0,0,4,25,2,1,1/2,50%
13_622072_MC・MGバックホウ技術(ほ場整備整地工),--選-文,0,0,0,0,0,0,0,1,2,1,0,0,-,-
15_619893_プレビーム桁架設工(一式当り),--選規-,0,0,0,0,0,0,0,0,2,24,0,1,-,-
20_621241_ため池堤体盛立工,--選規-,0,0,0,0,0,0,0,0,3,2,0,1,-,-
21_623816_管(函)渠型側溝,条-選規-,2,2,0,0,0,0,0,0,6,25,0,2,2/2,100%
22_605866_路上路盤再生工,条期選規-,5,5,0,2,2,0,2,0,17,23,3,4,7/7,100%
23_613208_輸送費(仮設材)【運用】,条-選規-,1,0,1,0,0,0,0,0,1,42,0,1,0/1,0%
24_608943_表層（歩道部） 【被災地対応(As工)】,条-選規-,1,1,0,0,0,0,0,0,2,35,0,4,1/1,100%
25_605704_現場打ち水路（本体）,条-選規-,1,1,0,0,0,0,0,0,2,23,0,5,1/1,100%
26_613462_ｺﾝｸﾘｰﾄ舗装版の目地工 (PAV48Y),条-選規文,2,2,0,0,0,0,0,1,2,22,0,3,2/2,100%
27_605392_横組ｺﾝｸﾘｰﾄ工【SP3】,条期選規文,5,5,0,8,8,0,0,1,16,20,0,1,13/13,100%
28_605395_PC板仮置工【SP3→1】,--選規-,0,0,0,0,0,0,0,0,1,6,0,1,-,-
29_605396_PC板敷設工【SP3→1】,条-選規-,1,1,0,0,0,0,0,0,2,9,0,1,1/1,100%
30_606472_型枠工(覆工ｺﾝｸﾘｰﾄ)【SP2】,条-選規-,1,1,0,0,0,0,0,0,2,5,2,2,1/1,100%
34_607150_D-157-1 反転･引込工,--選規-,0,0,0,0,0,0,0,0,1,4,0,2,-,-
35_602786_〈E-17-3〉ﾓﾙﾀﾙ上塗工 (DGD10740),条-選規-,1,1,0,0,0,0,0,0,1,10,0,1,1/1,100%
36_606689_床版補強等足場(吊足場･朝顔･中段足場)ﾀｲﾌﾟA1~A4､,--選規-,0,0,0,0,0,0,0,0,1,24,0,1,-,-
37_602598_ｼｰﾘﾝｸﾞ,--選規-,0,0,0,0,0,0,0,0,1,9,0,3,-,-
38_603592_波付硬質合成樹脂管(FEP)敷設(WE110500) 【条件,--選規-,0,0,0,0,0,0,0,0,1,10,0,3,-,-
40_615380_小型不整地運搬車運搬,条-選規-,2,1,1,0,0,0,0,0,2,35,0,1,1/2,50%
41_614691_既製ｺﾝｸﾘｰﾄ杭打工(打撃打止め)【鉄筋工旧年度反映】,条期選規-,2,2,0,1,1,0,0,0,5,41,0,3,3/3,100%
42_606671_解析等調査業務費(発破法及びｽﾀｯｷﾝｸﾞ法),--選規-,0,0,0,0,0,0,0,0,1,18,0,2,-,-
43_610827_捨石本均し･荒均し(水中)､捨石本均し･荒均し(陸上) 【潜,--選規-,0,0,0,0,0,0,0,0,1,51,0,3,-,-
44_610837_ﾌﾞﾛｯｸ転置 【潜水士船】,--選規-,0,0,0,0,0,0,0,0,1,40,0,4,-,-
45_610838_ﾌﾞﾛｯｸ据付(1ｽｲﾝｸﾞ) 【潜水士船】,--選規-,0,0,0,0,0,0,0,0,1,41,0,3,-,-
00_32-4527_裏込砕石工,条-選規-,2,2,0,0,0,0,0,0,6,19,0,1,2/2,100%
06_606964_土のう積工,条期選規-,4,3,1,2,2,0,0,0,11,11,1,1,5/6,83%
12_619272_重建設機械分解組立,条-選規-,2,1,1,0,0,0,0,0,4,25,2,1,1/2,50%
27_605392_横組ｺﾝｸﾘｰﾄ工【SP3】,条期選規文,5,5,0,8,8,0,0,1,16,20,0,1,13/13,100%
