id,mode,baseline一致,TC行数,列数,上限エラー,列マッチ/新規/削除ログ,所要秒,エラー
00_32-4527_裏込砕石工,base,YES,2,10,,"新規列: (超低・後方バックホウ)排ガス機械の選択 選択肢=['排ガス対策型(第3次基準値)', '排ガス対策型(2014年規制)']",0.4,
00_32-4527_裏込砕石工,V1,YES,2,10,,"新規列: (超低・後方バックホウ)排ガス機械の選択 選択肢=['排ガス対策型(第3次基準値)', '排ガス対策型(2014年規制)']",0.4,
00_32-4527_裏込砕石工,V2,YES,2,10,,"新規列: (超低・後方バックホウ)排ガス機械の選択 選択肢=['排ガス対策型(第3次基準値)', '排ガス対策型(2014年規制)']",0.4,
01_619040_回航費-旅費等,base,YES,1,14,,,1.5,
01_619040_回航費-旅費等,V1,YES,1,14,,,1.8,
01_619040_回航費-旅費等,V2,YES,1,14,,,1.9,
02_605773_大型ブレーカ,base,YES,1,15,,,8.2,
02_605773_大型ブレーカ,V1,YES,1,15,,,5.2,
02_605773_大型ブレーカ,V2,YES,1,15,,,6.0,
03_607674_送気用設備運転費,base,YES,1,12,,"新規列: 運転日数 選択肢=['(実数入力)', '(日)']",0.3,
03_607674_送気用設備運転費,V1,YES,1,12,,"新規列: 運転日数 選択肢=['(実数入力)', '(日)']",0.2,
03_607674_送気用設備運転費,V2,YES,1,12,,"新規列: 運転日数 選択肢=['(実数入力)', '(日)']",0.3,
04_607092_下地処理工(復興係数),base,YES,1,7,,新規列: 日当り施工量 選択肢=['630'],0.1,
04_607092_下地処理工(復興係数),V1,YES,1,7,,新規列: 日当り施工量 選択肢=['630'],0.1,
04_607092_下地処理工(復興係数),V2,YES,1,7,,新規列: 日当り施工量 選択肢=['630'],0.2,
05_605171_掘削等,base,YES,3,17,,"新規列: 吹付プラント設備 選択肢=['一括練混ぜ', '分割練混ぜ'] / 新規列: (コンクリート吹付機)排ガス機械の選択 選択肢=['排ガス対策型(第1次基準値)', '排ガス対策型(第2次基準値)']",1.7,
05_605171_掘削等,V1,YES,3,17,,"新規列: 吹付プラント設備 選択肢=['一括練混ぜ', '分割練混ぜ'] / 新規列: (コンクリート吹付機)排ガス機械の選択 選択肢=['排ガス対策型(第1次基準値)', '排ガス対策型(第2次基準値)']",1.6,
05_605171_掘削等,V2,YES,3,17,,"新規列: 吹付プラント設備 選択肢=['一括練混ぜ', '分割練混ぜ'] / 新規列: (コンクリート吹付機)排ガス機械の選択 選択肢=['排ガス対策型(第1次基準値)', '排ガス対策型(第2次基準値)']",1.7,
06_606964_土のう積工,base,YES,5,10,,"新規列: 土のう種類 選択肢=['普通', '耐候性']",0.3,
06_606964_土のう積工,V1,YES,5,10,,"新規列: 土のう種類 選択肢=['普通', '耐候性']",0.2,
06_606964_土のう積工,V2,no,9,10,,"新規列: 土のう種類 選択肢=['普通', '耐候性']",0.3,
07_608358_インターロッキングブロック工,base,YES,4,17,,"削除列: 空練りモルタル材料計上区分 選択肢=['混練り済材料費を計上', '砂とセメントを別々に計上']",25.5,
07_608358_インターロッキングブロック工,V1,YES,4,17,,"削除列: 空練りモルタル材料計上区分 選択肢=['混練り済材料費を計上', '砂とセメントを別々に計上']",23.2,
07_608358_インターロッキングブロック工,V2,YES,4,17,,"削除列: 空練りモルタル材料計上区分 選択肢=['混練り済材料費を計上', '砂とセメントを別々に計上']",21.0,
11_622069_ICT建設機械経費加算額(小規模土工),base,YES,2,7,,,0.1,
11_622069_ICT建設機械経費加算額(小規模土工),V1,YES,2,7,,,0.1,
11_622069_ICT建設機械経費加算額(小規模土工),V2,no,2,7,,,0.1,
12_619272_重建設機械分解組立,base,YES,3,14,,,1.8,
12_619272_重建設機械分解組立,V1,YES,3,14,,,2.0,
12_619272_重建設機械分解組立,V2,no,19,15,,,2.7,
09_619550_養生マット(材料費)【施工P】,base,YES,6,8,,"新規列: 養生マット規格 選択肢=['合成不織布系 厚さ3mm', 'ウレタンフォーム系 厚さ10mm', '各種'] / 新規列: 養生マット材料の単位選択 選択肢=['「m2」単位の材料単価', '「m2」単位以外の材料単価'] / 新規列: 1m2当り養生マット使用量 選択肢=['(実数入力)']",0.1,
09_619550_養生マット(材料費)【施工P】,V1,YES,6,8,,"新規列: 養生マット規格 選択肢=['合成不織布系 厚さ3mm', 'ウレタンフォーム系 厚さ10mm', '各種'] / 新規列: 養生マット材料の単位選択 選択肢=['「m2」単位の材料単価', '「m2」単位以外の材料単価'] / 新規列: 1m2当り養生マット使用量 選択肢=['(実数入力)']",0.1,
09_619550_養生マット(材料費)【施工P】,V2,YES,6,8,,"新規列: 養生マット規格 選択肢=['合成不織布系 厚さ3mm', 'ウレタンフォーム系 厚さ10mm', '各種'] / 新規列: 養生マット材料の単位選択 選択肢=['「m2」単位の材料単価', '「m2」単位以外の材料単価'] / 新規列: 1m2当り養生マット使用量 選択肢=['(実数入力)']",0.1,
13_622072_MC・MGバックホウ技術(ほ場整備整地工),base,YES,1,8,,,0.1,
13_622072_MC・MGバックホウ技術(ほ場整備整地工),V1,no,1,8,,"新規列: 1日当りのMC/MGバックホウ技術機械経費加算額 選択肢=['(実数入力)', '(円/日)'] / 削除列: 1日当りのMC/MGバックホウ技術機械経費 選択肢=['(実数入力)', '(円/日)'] / 【削除条件の列をTCから除去】['1日当りのMC/MGバックホウ技術機械経費']",0.0,
13_622072_MC・MGバックホウ技術(ほ場整備整地工),V2,no,1,8,,"新規列: 1日当りのMC/MGバックホウ技術機械経費加算額 選択肢=['(実数入力)', '(円/日)'] / 削除列: 1日当りのMC/MGバックホウ技術機械経費 選択肢=['(実数入力)', '(円/日)'] / 【削除条件の列をTCから除去】['1日当りのMC/MGバックホウ技術機械経費']",0.1,
15_619893_プレビーム桁架設工(一式当り),base,YES,1,23,,,1.0,
15_619893_プレビーム桁架設工(一式当り),V1,YES,1,23,,,1.4,
15_619893_プレビーム桁架設工(一式当り),V2,YES,1,23,,,1.6,
20_621241_ため池堤体盛立工,base,YES,1,6,,,0.1,
20_621241_ため池堤体盛立工,V1,YES,1,6,,,0.1,
20_621241_ため池堤体盛立工,V2,YES,1,6,,,0.1,
21_623816_管(函)渠型側溝,base,YES,7,13,,,0.5,
