id,side,vary軸,縮退,全組合せ件数,縮退後件数,所要秒(現行),所要秒(全組合せ),全組合せと一致,note
00_32-4527_裏込砕石工,old,9,,,,0.2,,,
00_32-4527_裏込砕石工,new,10,,,,0.1,,,
01_619040_回航費-旅費等,old,28,,,,0.4,,,
01_619040_回航費-旅費等,new,28,,,,0.4,,,
02_605773_大型ブレーカ,old,14,,,,2.1,,,
02_605773_大型ブレーカ,new,14,,,,4.4,,,
03_607674_送気用設備運転費,old,3,,,,0.1,,,
03_607674_送気用設備運転費,new,3,,,,0.2,,,
04_607092_下地処理工(復興係数),old,1,,,,0.0,,,
04_607092_下地処理工(復興係数),new,1,,,,0.0,,,
05_605171_掘削等,old,10,,,,1.2,,,
05_605171_掘削等,new,12,,,,1.4,,,
06_606964_土のう積工,old,6,,,,0.1,,,
06_606964_土のう積工,new,8,,,,0.2,,,
07_608358_インターロッキングブロック工,old,21,,,,18.1,,,
07_608358_インターロッキングブロック工,new,19,,,,5.6,,,
11_622069_ICT建設機械経費加算額(小規模土工),old,2,,,,0.0,,,
11_622069_ICT建設機械経費加算額(小規模土工),new,2,,,,0.0,,,
12_619272_重建設機械分解組立,old,15,,,,0.9,,,
12_619272_重建設機械分解組立,new,15,,,,0.9,,,
09_619550_養生マット(材料費)【施工P】,old,0,,,,0.0,,,
09_619550_養生マット(材料費)【施工P】,new,2,,,,0.0,,,
13_622072_MC・MGバックホウ技術(ほ場整備整地工),old,0,,,,0.0,,,
13_622072_MC・MGバックホウ技術(ほ場整備整地工),new,0,,,,0.0,,,
15_619893_プレビーム桁架設工(一式当り),old,9,,,,0.6,,,
15_619893_プレビーム桁架設工(一式当り),new,9,,,,0.5,,,
20_621241_ため池堤体盛立工,old,1,,,,0.0,,,
20_621241_ため池堤体盛立工,new,1,,,,0.0,,,
21_623816_管(函)渠型側溝,old,10,,,,0.3,,,
21_623816_管(函)渠型側溝,new,10,,,,0.3,,,
22_605866_路上路盤再生工,old,10,,,,0.3,,,
22_605866_路上路盤再生工,new,10,,,,0.3,,,
23_613208_輸送費(仮設材)【運用】,old,19,,,,18.4,,,
23_613208_輸送費(仮設材)【運用】,new,19,,,,18.8,,,
25_605704_現場打ち水路（本体）,old,15,,,,0.7,,,
25_605704_現場打ち水路（本体）,new,13,,,,0.6,,,
26_613462_ｺﾝｸﾘｰﾄ舗装版の目地工 (PAV48Y),old,8,,,,0.2,,,
26_613462_ｺﾝｸﾘｰﾄ舗装版の目地工 (PAV48Y),new,8,,,,0.2,,,
27_605392_横組ｺﾝｸﾘｰﾄ工【SP3】,old,9,,,,1.9,,,
27_605392_横組ｺﾝｸﾘｰﾄ工【SP3】,new,10,,,,2.4,,,
28_605395_PC板仮置工【SP3→1】,old,3,,,,0.1,,,
28_605395_PC板仮置工【SP3→1】,new,3,,,,0.1,,,
29_605396_PC板敷設工【SP3→1】,old,4,,,,0.1,,,
29_605396_PC板敷設工【SP3→1】,new,4,,,,0.1,,,
30_606472_型枠工(覆工ｺﾝｸﾘｰﾄ)【SP2】,old,2,,,,0.0,,,
30_606472_型枠工(覆工ｺﾝｸﾘｰﾄ)【SP2】,new,2,,,,0.0,,,
34_607150_D-157-1 反転･引込工,old,2,,,,0.1,,,
34_607150_D-157-1 反転･引込工,new,2,,,,0.1,,,
35_602786_〈E-17-3〉ﾓﾙﾀﾙ上塗工 (DGD10740),old,4,,,,0.1,,,
35_602786_〈E-17-3〉ﾓﾙﾀﾙ上塗工 (DGD10740),new,4,,,,0.1,,,
24_608943_表層（歩道部） 【被災地対応(As工)】,old,13,,,,1.8,,,
24_608943_表層（歩道部） 【被災地対応(As工)】,new,13,,,,1.9,,,
36_606689_床版補強等足場(吊足場･朝顔･中段足場)ﾀｲﾌﾟA1~A4､,old,8,,,,0.2,,,
36_606689_床版補強等足場(吊足場･朝顔･中段足場)ﾀｲﾌﾟA1~A4､,new,8,,,,0.2,,,
37_602598_ｼｰﾘﾝｸﾞ,old,5,,,,0.2,,,
37_602598_ｼｰﾘﾝｸﾞ,new,4,,,,0.2,,,
38_603592_波付硬質合成樹脂管(FEP)敷設(WE110500) 【条件,old,4,,,,0.1,,,
38_603592_波付硬質合成樹脂管(FEP)敷設(WE110500) 【条件,new,4,,,,0.1,,,
40_615380_小型不整地運搬車運搬,old,7,,,,1.2,,,
