key,工種名,path,インスタンス数,各インスタンス最終直積,縮退発動(最終パス),最大直積,上限,所要秒,エラー
6432-81,(県・参考)ケーソン据付用上蓋取付・取外(市場単価+クレーン・作業船) ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6432\000000\6432-81.20190401.20191001.json,2,24/96,,96,1000,0.4,
6154-358,【H26】植栽工(苗木工),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6154\000000\6154-358.20140401.20141001.json,1,16,,16,1000,0.1,
32-12160,路面切削,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12160.20260401.20260401.json,1,12,,12,1000,0.21,
32-13305,【R1】B-4  補修機等損料(本管用)(熱・光・常温硬化用),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\013000\32-13305.20150401.20150401.json,1,2,,2,1000,0.04,
32-14130,工事材料(ア),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\014000\32-14130.20260401.20260401.json,2,6/6,,6,1000,0.11,
32-12031,【H26】据付工数 水質保全設備(噴水方式),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12031.20170401.20170401.json,1,1,,1,1000,0.02,
32-8027,【H25】〈D-101-8〉推進設備据換工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\008000\32-8027.20170401.20170401.json,1,1,,1,1000,0.02,
5928-186,残土一次運搬工 2t 人力掘削・普通土,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\000000\5928-186.20220401.20221001.json,1,1,,1,1000,0.09,
32-10417,発進立坑基礎工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10417.20050401.20050401.json,1,6,,6,1000,0.02,
38-24,【H25】〈C-108〉車上式泥水処理装置据付撤去工(泥水式),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\000000\38-24.20180401.20180401.json,1,2,,2,1000,0.05,
6439-213,水3-45　歩道表層工(小型フィニッシャー)タックコート,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-213.20070401.20071001.json,1,9,,9,1000,0.04,
32-2380,標識柱・基礎設置(路側式)(単柱式・複柱式)(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\002000\32-2380.20260401.20260401.json,1,96,,96,1000,3.28,
64-2463,【H26】添架式標識板取付金具設置(信号アーム・照明柱・既設標識柱)(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2463.20180401.20181101.json,1,1,,1,1000,0.03,
32-10584,〈B-1〉管材料費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10584.20110401.20110401.json,1,8,,8,1000,0.09,
6338-71,【北九州市】【H27】管砕石基礎工(材工共)(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6338\000000\6338-71.20240401.20241001.json,1,1,,1,1000,0.19,
5928-1331,コンクリート柵工 CF,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5928\001000\5928-1331.20160401.20170101.json,1,1,,1,1000,0.03,
32-7752,【H25】(参考)配管据付,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7752.20180401.20180401.json,1,1,,1,1000,0.03,
6320-102,わら伏工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6320\000000\6320-102.20170401.20170701.json,1,32,,32,1000,0.09,
6339-342,【福岡市】自由勾配型浸透側溝基礎板,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6339\000000\6339-342.20170401.20171001.json,1,1,,1,1000,0.03,
32-10595,〈C-2-7〉管内清掃工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10595.20110401.20110401.json,1,1,,1,1000,0.03,
6144-54,【R4】登り桟橋,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6144\000000\6144-54.20180401.20181001.json,1,2,,2,1000,0.04,
6304-67,【H28.4】小型バックホウ運転,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6304\000000\6304-67.20180401.20180701.json,1,548352,YES,548352,1000,10.43,
6339-352,【福岡市】【H23】蓋設置工(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6339\000000\6339-352.20180401.20181001.json,1,1,,1,1000,0.1,
32-14317,地下オイルタンク用附属品 乾燥砂,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\014000\32-14317.20260401.20260401.json,2,6/6,,6,1000,0.09,
5809-106,【H23.10】アスカーブ桝据付,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5809\000000\5809-106.20180401.20180701.json,2,2/2,,2,1000,0.06,
32-2749,積込み・荷下・計量,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\002000\32-2749.20170401.20170401.json,1,1,,1,1000,0.03,
5713-235,塩ビ製マシンホール材料費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5713\000000\5713-235.20240401.20250101.json,1,1,,1,1000,0.03,
32-10049,到達口鏡切り,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10049.20050401.20050401.json,1,5,,5,1000,0.08,
32-1359,【R6】注入工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\001000\32-1359.20180401.20180401.json,1,6,,6,1000,0.05,
6144-41,安全標識、安全施設類維持保全,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6144\000000\6144-41.20180401.20181001.json,1,1,,1,1000,0.04,
64-1787,排水工予備設計 概算工事費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1787.20180401.20181001.json,1,1,,1,1000,0.04,
6130-438,宅地開発の状況及び建築の動向調査,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6130\000000\6130-438.20200401.20200801.json,1,1,,1,1000,0.03,
224-2430,観測値の補正,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\002000\224-2430.20180401.20180401.json,1,1,,1,1000,0.02,
160-603,防護柵取替工(撤去),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\160\000000\160-603.20180401.20180801.json,1,5,,5,1000,0.04,
32-12835,【R1】硬化準備工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12835.20150401.20150401.json,1,1,,1,1000,0.13,
6154-232,【H26】埋戻;(標準的土工)(埋戻工C),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6154\000000\6154-232.20140401.20141001.json,2,16/16,,16,1000,0.63,
32-7534,公園緑地(擁壁) 割石本布積,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7534.19980401.19980401.json,1,32,,32,1000,0.08,
64-2402,【H18】クレイ舗装 舗装材混合,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2402.20180401.20181101.json,1,2,,2,1000,0.19,
6136-298,水栓類取付工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6136\000000\6136-298.20130401.20131001.json,1,2,,2,1000,0.04,
32-8923,【H28】〈E-2-2〉推進工機械器具損料(2),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\008000\32-8923.20180401.20180401.json,1,180,,180,1000,0.78,
6048-127,床拵工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6048\000000\6048-127.20180401.20180401.json,1,1,,1,1000,0.02,
32-12201,プライムコート(アスファルト舗装工) アスファルトスプレヤ+トラック,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12201.20200401.20200401.json,1,8,,8,1000,0.04,
32-29273,鋼管・既製コンクリート杭打工[中掘工],C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\029000\32-29273.20260401.20260401.json,1,172032,YES,172032,1000,2.0,
6224-507,鋼管据付調整工(人力),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6224\000000\6224-507.20130401.20131101.json,1,1,,1,1000,0.03,
32-17724,PC鋼棒碇着工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\017000\32-17724.20170401.20170401.json,1,2,,2,1000,0.03,
32-2392,標識板撤去(警戒・規制・指示・路線番号標識),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\002000\32-2392.20250401.20250401.json,1,6,,6,1000,0.34,
6439-496,(県・参考)コルゲート水路工(半円),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-496.20220401.20230401.json,1,18,,18,1000,0.08,
5968-3,コンクリート人力打設,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5968\000000\5968-3.20190401.20191001.json,1,1,,1,1000,0.03,
5771-1118,下層路盤工 グレーダ-敷均し 再生t=18cm 排ガス対策,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1118.20140401.20140501.json,1,1,,1,1000,0.02,
32-12326,監査廊・堤内仮排水路(全階段)支保材料費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12326.20170401.20170401.json,1,1,,1,1000,0.02,
64-1131,【H26】植樹【積上方式】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1131.20180401.20181001.json,1,2,,2,1000,0.06,
32-12370,コンクリート運搬(ダンプトラック),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\012000\32-12370.20210401.20210401.json,1,6,,6,1000,0.26,
