id	現行_列	現行_注	試作_列	試作_注行	歩行	試作_秒	現行のみ列	試作のみ列
00_32-4527_裏込砕石工	5	1	5	1	168	0.1		
01_619040_回航費-旅費等	31	48	31	25	4487	2.4		
02_605773_大型ブレーカ	16	4	26	12	1973	2.7		1日当りの夜間作業時間(h/日)／長期の賃貸に関わる割引有無／機械賃料長期割引率(割引なし=0%)／1現場当りの供用日数／豪雪補正丸め選択(機械化協会標準)／1日当り運転労務数量／1h当り運転労務数量／1日当り燃料又は電力消費量／1h当り燃料又は電力消費量／1日当り機械数量(日)／1h当り機械数量(日)
03_607674_送気用設備運転費	7	1	7	1	62	0.0		
04_607092_下地処理工(復興係数)	2	0	2	0	5	0.0		
05_605171_掘削等	13	1	13	1	2497	2.0		
06_606964_土のう積工	5	2	5	2	66	0.0		
07_608358_インターロッキングブロック工	13	5	14	5	1416	2.8		特殊インターロッキングブロックの寸法
08_619733_薬剤(Kg)	2	1	2	1	3	0.0		
10_619401_床掘り(ICT)(省人化)	3	0	3	0	37	0.0		
11_622069_ICT建設機械経費加算額(小規模土工)	2	1	2	1	9	0.0		
12_619272_重建設機械分解組立	10	14	11	4	2092	1.9		(クローラクレーン)排ガス選択区分
09_619550_養生マット(材料費)【施工P】	3	1	3	1	12	0.0		
13_622072_MC・MGバックホウ技術(ほ場整備整地工)	3	0	3	0	1	0.0		
14_622110_MC・MGバックホウ技術(暗渠排水工)	3	0	3	0	1	0.0		
15_619893_プレビーム桁架設工(一式当り)	24	3	24	4	638	0.5		
16_620079_静的締固め砂杭工	12	7	12	5	346	0.1		
17_620972_静的締固め施工機の分解組立及び輸送	5	1	5	1	98	0.1		
20_621241_ため池堤体盛立工	1	0	1	0	4	0.0		
21_623816_管(函)渠型側溝	10	13	12	7	780	0.6		側溝材料初期値区分／管(函)渠型側溝材料区分
22_605866_路上路盤再生工	13	5	13	4	323	0.2		
23_613208_輸送費(仮設材)【運用】	16	14	23	13	1069	2.1		発注機関区分／片道搬距離に対する深夜走行距離／仮設材(敷鉄板除く)の積卸し区分／有料道路利用料計上区分／敷鉄板の積卸し区分／自動車航送船利用料計上区分／その他の料金計上区分
25_605704_現場打ち水路（本体）	8	2	8	2	2789	1.6		
26_613462_ｺﾝｸﾘｰﾄ舗装版の目地工 (PAV48Y)	14	16	15	9	349	0.1		X4:タイバー1本当りの現場着価格
27_605392_横組ｺﾝｸﾘｰﾄ工【SP3】	12	9	14	8	270	0.2		生コンクリート冬期加熱費計上区分／圧送管総延長
28_605395_PC板仮置工【SP3→1】	3	1	3	1	58	0.0		
29_605396_PC板敷設工【SP3→1】	4	1	4	1	74	0.0		
30_606472_型枠工(覆工ｺﾝｸﾘｰﾄ)【SP2】	4	1	4	1	24	0.0		
34_607150_D-157-1 反転･引込工	3	0	3	0	194	0.1		
35_602786_〈E-17-3〉ﾓﾙﾀﾙ上塗工 (DGD10740)	4	0	7	4	70	0.0		モルタル厚さ(10~30mm)(実数入力)／モルタル施工方法／モルタル配合比
24_608943_表層（歩道部） 【被災地対応(As工)】	10	8	11	5	3454	3.2		材料
36_606689_床版補強等足場(吊足場･朝顔･中段足場)ﾀｲﾌﾟA1~A4､	15	13	16	8	321	0.1		足場面積(m2)
37_602598_ｼｰﾘﾝｸﾞ	5	1	5	1	294	0.1		
38_603592_波付硬質合成樹脂管(FEP)敷設(WE110500) 【条件	7	2	7	2	270	0.1		
40_615380_小型不整地運搬車運搬	7	4	8	3	690	0.4	条件選択	積込時間区分／積込時間(min/サイクル)
41_614691_既製ｺﾝｸﾘｰﾄ杭打工(打撃打止め)【鉄筋工旧年度反映】	11	6	14	5	2685	1.4		鉄筋工(標準歩掛・市場単価)計上方法／鉄筋工代価表計上方法／構造物種別／鉄筋径
42_606671_解析等調査業務費(発破法及びｽﾀｯｷﾝｸﾞ法)	9	6	10	6	219	0.1		安全費率
43_610827_捨石本均し･荒均し(水中)､捨石本均し･荒均し(陸上) 【潜	25	30	29	17	2432	1.3		(クレーン)賃料長期割引の適用／起重機船(非航旋回)規格選択／ラフテレーンクレーン(長期割引あり)規格区分／ラフテレーンクレーン(長期割引なし)規格区分／クレーン賃料補正／クレーン賃料補正率
44_610837_ﾌﾞﾛｯｸ転置 【潜水士船】	13	7	17	8	2068	1.6		ダイバーカメラ使用区分／クレーン付台船の組合せ／水中同時通話装置使用区分／(ラフテレーンクレーン)賃料深夜割増率
45_610838_ﾌﾞﾛｯｸ据付(1ｽｲﾝｸﾞ) 【潜水士船】	13	7	17	8	1834	1.1		ダイバーカメラ使用区分／クレーン付台船の組合せ／水中同時通話装置使用区分／(ラフテレーンクレーン)賃料深夜割増率
