施工区分/入力条件,G1,G2,G3,G4,G5,G6,G7
規格名計上,,○,,,○,,
各種(条件名),運搬物種別,不整地運搬車規格選択,条件選択,代価表の選択(セメント・鋼材),片道平均運搬距離,代価表の選択(土砂・コンクリート・木材),積込区分
,①粘性土(m3),①選択した規格の賃貸料金で積算,①人力荷卸し,①運搬物100t当り代価表,(実数入力),①運搬物100m3当り代価表,①人力積込(標準)
,②砂・砂質土(m3),②上位規格(1.0t級)の賃貸料金で代替積算 (参考),②ダンプから直接荷卸し,②運搬物10t当り代価表,(m),②運搬物10m3当り代価表,②機械積込 (バックホウ山積0.8m3級)(参考)
,③礫質土(m3),③上位規格(0.6t級)の賃貸料金で代替積算 (参考),,③日当り施工量(t)当り代価表,,③日当り施工量(m3)当り代価表,
,④購入砂(洗砂)(m3),④(クローラ式2.0t級),,,,,
,⑤砂利・栗石・玉石(m3),,,,,,
,⑥コンクリート(m3),,,,,,
,⑦木材(m3),,,,,,
,⑧セメント・鋼材等(t),,,,,,

(注)
,1. G1条件「運搬物種別」で①「粘性土(m3)」～⑦「木材(m3)」のいずれかを選択した場合は、G4条件「代価表の選択(セメント・鋼材)」 を入力する必要はない。
,2. G2条件「不整地運搬車規格選択」で①「選択した規格の賃貸料金で積算」・③「上位規格(0.6t級)の賃貸料金で代替積算 (参考)」のいずれかを選択した場合は、G7条件「積込区分」 を入力する必要はない。
,3. G2条件「不整地運搬車規格選択」で②「上位規格(1.0t級)の賃貸料金で代替積算 (参考)」を選択した場合は、G4条件「代価表の選択(セメント・鋼材)」・G7条件「積込区分」 を入力する必要はない。
,4. G4条件「代価表の選択(セメント・鋼材)」で①「運搬物100t当り代価表」を選択した場合は、G6条件「代価表の選択(土砂・コンクリート・木材)」 を入力する必要はない。
