施工区分/入力条件,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13
各種(条件名),代価表の当り数量,作業区分,資材計上区分,ブロック使用材料,敷材料計上区分,敷材料の種類,敷材料の厚さ,施工規模による加算,時間的制約を受ける場合の補正,夜間作業補正,市場単価の補正方法,市場単価の日当り施工量補正有無,特殊インターロッキングブロック材料の単位選択
,①1当り代価表,①直線配置・ブロック厚6cm,①計上する,①標準品,①計上する,①再生砂,(実数入力),①100m2以上,①無,①無,①単価欄に対して補正計算を行う,①無 (積算基準記載の標準値を使用),①「m2」単位の材料単価
,②10当り代価表,②直線配置・ブロック厚8cm,②計上しない,②特殊品,②計上しない,②砂(クッション用),(mm),②100m2未満,②有,②有,②数量欄に対して補正計算を行う,②有 (積算基準記載の標準値に対して市場単価の加算率・補正係数を乗ずる),②「m2」単位以外の材料単価
,③100当り代価表,③曲線配置・ブロック厚6cm,,,,③敷材料無し,,,,,,,
,,④曲線配置・ブロック厚8cm,,,,,,,,,,,
,,⑤直線配置3色以上による色合わせ・ブロック厚6cm,,,,,,,,,,,
,,⑥直線配置3色以上による色合わせ・ブロック厚8cm,,,,,,,,,,,
,,⑦曲線配置3色以上による色合わせ・ブロック厚6cm,,,,,,,,,,,
,,⑧曲線配置3色以上による色合わせ・ブロック厚8cm,,,,,,,,,,,

(注)
,1. G2条件「作業区分」で②「直線配置・ブロック厚8cm」を選択した場合は、G13条件「特殊インターロッキングブロック材料の単位選択」 を入力する必要はない。
,2. G3条件「資材計上区分」で②「計上しない」を選択した場合は、G4条件「ブロック使用材料」・G13条件「特殊インターロッキングブロック材料の単位選択」 を入力する必要はない。
,3. G4条件「ブロック使用材料」で①「標準品」を選択した場合は、G13条件「特殊インターロッキングブロック材料の単位選択」 を入力する必要はない。
,4. G5条件「敷材料計上区分」で②「計上しない」を選択した場合は、G6条件「敷材料の種類」・G7条件「敷材料の厚さ」 を入力する必要はない。
,5. G6条件「敷材料の種類」で③「敷材料無し」を選択した場合は、G7条件「敷材料の厚さ」 を入力する必要はない。
