施工区分/入力条件,G1,G2,G3,G4,G5,G6,G7
規格名計上,○,○,○,,○,,
各種(条件名),作業内容による補正,作業種別,管規格,1条・100m当りFEP管の数量,条数による補正(条),資材計上区分,付属品率計上(%)
,①新設,①道路沿い(地中),①30mm,(実数入力),(実数入力),①施工費+材料費,(実数入力)
,②撤去(不使用),②構内地中 50mm以下,②40mm,,(条),②施工費のみ,(％)
,③撤去(再使用),③構内地中 80mm以下,③50mm,,,,
,④取替,④構内地中 125mm以下,④65mm,,,,
,⑤移設,⑤構内地中 150mm以下,⑤80mm,,,,
,,⑥構内地中 200mm以下,⑥100mm,,,,
,,,⑦125mm,,,,
,,,⑧150mm,,,,
,,,⑨200mm,,,,

(注)
,1. G1条件「作業内容による補正」で②「撤去(不使用)」を選択した場合は、G3条件「管規格」・G4条件「1条・100m当りFEP管の数量」・G6条件「資材計上区分」・G7条件「付属品率計上(%)」 を入力する必要はない。
,2. G6条件「資材計上区分」で②「施工費のみ」を選択した場合は、G7条件「付属品率計上(%)」 を入力する必要はない。
