施工区分/入力条件,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
各種(条件名),作業区分,機械質量区分,(ラフテレーンクレーン)賃料長期割引の適用,クレーン賃料補正,(クローラクレーン)排ガス機械の選択,クレーン賃料補正率,クローラクレーン規格選択,(クローラ式杭打機)質量区分,(中層混合処理機以外)質量区分,(中層混合処理機)質量区分
,①分解組立 + 輸送(往復),①ブルドーザ 通称20t級以上21t級以下,①長期割引あり,①標準,①排ガス対策型(第1次基準値),(実数入力),①クローラクレーン 油圧駆動式ウインチ・ラチスジブ型70t吊,①機械質量20t以上60t以下,①機械質量20t以上60t以下,①機械質量20t以上60t以下
,②(分解又は組立) + 輸送(片道),②ブルドーザ 通称21t級を超え44t級以下,②長期割引なし,②標準以外(実数入力),②排ガス対策型(第2次基準値),(％),②クローラクレーン 油圧駆動式ウインチ・ラチスジブ型100t吊,②機械質量60tを超え100t以下,②機械質量60tを超え120t以下,②機械質量60tを超え120t以下
,,③バックホウ系 バケット容量1.0m3以上1.5m3以下 (油圧クラムシェル・テレスコピックバケット容量0.4m3以上0.6m3以下),,,③排ガス対策型(第3次基準値),,③クローラクレーン 油圧駆動式ウインチ・ラチスジブ型・基礎工事用70~90t吊,③機械質量100tを超え150t以下,③機械質量120tを超え180t以下,
,,④バックホウ系 バケット容量1.5m3を超え2.1m3以下,,,,,④クローラクレーン 油圧駆動式ウインチ・ラチスジブ型・基礎工事用100t吊,,,
,,⑤クローラクレーン系 最大吊上能力16t吊以上35t吊以下 (クラムシェルバケット容量(平積)0.6m3含む),,,,,,,,
,,⑥クローラクレーン系 最大吊上能力35t吊を超え80t吊以下 (クラムシェルバケット容量(平積)0.6m3を超え2.0m3以下),,,,,,,,
,,⑦クローラクレーン系 最大吊上能力80t吊を超え150t吊以下 (クラムシェルバケット容量(平積)2.0m3を超え3.0m3以下),,,,,,,,
,,⑧クローラクレーン系 最大吊上能力150t吊を超え300t吊以下,,,,,,,,
,,⑨トラッククレーン系 最大吊上能力100t吊以上120t吊以下,,,,,,,,
,,⑩トラッククレーン系 最大吊上能力120t吊を超え160t吊以下,,,,,,,,
,,⑪トラッククレーン系 最大吊上能力160t吊を超え360t吊以下,,,,,,,,
,,⑫トラッククレーン系 最大吊上能力360t吊を超え550t吊以下,,,,,,,,
,,⑬トラッククレーン系 最大吊上能力200t吊以上360t吊以下 (リフターを使用する場合),,,,,,,,
,,⑭トラッククレーン系 最大吊上能力550t吊以下 (リフターを使用する場合),,,,,,,,
,,⑮クローラ式杭打機 機械質量 20t以上60t以下,,,,,,,,
,,⑯クローラ式杭打機 機械質量 60tを超え100t以下,,,,,,,,
,,⑰クローラ式杭打機 機械質量 100tを超え150t以下,,,,,,,,
,,⑱クローラ式杭打機 機械機種から選択,,,,,,,,
,,⑲オールケーシング掘削機 クローラ式,,,,,,,,
,,⑳オールケーシング掘削機 スキッド式 クローラクレーン[油圧駆動式ウインチ・ラチスジブ型・基礎工事用・排出ガス対策型(2014年規制)] 最大吊上能力70~90吊,,,,,,,,
,,(21)オールケーシング掘削機 スキッド式 クローラクレーン[油圧駆動式ウインチ・ラチスジブ型・基礎工事用・排出ガス対策型(2014年規制)] 最大吊上能力100t吊,,,,,,,,
,,(22)中層混合処理機 機械質量 20t以上60t以下,,,,,,,,
,,(23)中層混合処理機 機械質量 60tを超え120t以下,,,,,,,,
,,(24)中層混合処理機 機械機種から選択,,,,,,,,
,,(25)サンドパイル打機 機械質量 20t以上60t以下,,,,,,,,
,,(26)サンドパイル打機 機械質量 60tを超え120t以下,,,,,,,,
,,(27)サンドパイル打機 機械質量 120tを超え180t以下,,,,,,,,
,,(28)粉体噴射撹拌機 機械質量 20t以上60t以下,,,,,,,,
,,(29)粉体噴射撹拌機 機械質量 60tを超え120t以下,,,,,,,,
,,(30)粉体噴射撹拌機 機械質量 120tを超え180t以下,,,,,,,,
,,(31)深層混合処理機 機械質量 20t以上60t以下,,,,,,,,
,,(32)深層混合処理機 機械質量 60tを超え120t以下,,,,,,,,
,,(33)深層混合処理機 機械質量 120tを超え180t以下,,,,,,,,
,,(34)プレファブリケイティッドバーチカルドレーン打機 機械質量 20t以上60t以下,,,,,,,,
,,(35)プレファブリケイティッドバーチカルドレーン打機 機械質量 60tを超え120t以下,,,,,,,,
,,(36)プレファブリケイティッドバーチカルドレーン打機 機械質量 120tを超え180t以下,,,,,,,,
,,(37)サンドパイル打機、粉体噴射撹拌機、深層混合処理機、プレファブリケイティッドバーチカルドレーン打機 機械機種から選択,,,,,,,,
,,(38)トンネル用機械,,,,,,,,

(注)
,1. G2条件「機械質量区分」で①「ブルドーザ 通称20t級以上21t級以下」を選択した場合は、G5条件「(クローラクレーン)排ガス機械の選択」・G7条件「クローラクレーン規格選択」・G8条件「(クローラ式杭打機)質量区分」・G9条件「(中層混合処理機以外)質量区分」・G10条件「(中層混合処理機)質量区分」 を入力する必要はない。
,2. G2条件「機械質量区分」で⑬「トラッククレーン系 最大吊上能力200t吊以上360t吊以下 (リフターを使用する場合)」を選択した場合は、G3条件「(ラフテレーンクレーン)賃料長期割引の適用」・G5条件「(クローラクレーン)排ガス機械の選択」・G7条件「クローラクレーン規格選択」・G8条件「(クローラ式杭打機)質量区分」・G9条件「(中層混合処理機以外)質量区分」・G10条件「(中層混合処理機)質量区分」 を入力する必要はない。
,3. G2条件「機械質量区分」で⑱「クローラ式杭打機 機械機種から選択」を選択した場合は、G5条件「(クローラクレーン)排ガス機械の選択」・G7条件「クローラクレーン規格選択」・G9条件「(中層混合処理機以外)質量区分」・G10条件「(中層混合処理機)質量区分」 を入力する必要はない。
,4. G2条件「機械質量区分」で⑳「オールケーシング掘削機 スキッド式 クローラクレーン[油圧駆動式ウインチ・ラチスジブ型・基礎工事用・排出ガス対策型(2014年規制)] 最大吊上能力70~90吊」を選択した場合は、G3条件「(ラフテレーンクレーン)賃料長期割引の適用」・G4条件「クレーン賃料補正」・G6条件「クレーン賃料補正率」・G8条件「(クローラ式杭打機)質量区分」・G9条件「(中層混合処理機以外)質量区分」・G10条件「(中層混合処理機)質量区分」 を入力する必要はない。
,5. G2条件「機械質量区分」で(21)「オールケーシング掘削機 スキッド式 クローラクレーン[油圧駆動式ウインチ・ラチスジブ型・基礎工事用・排出ガス対策型(2014年規制)] 最大吊上能力100t吊」を選択した場合は、G3条件「(ラフテレーンクレーン)賃料長期割引の適用」・G4条件「クレーン賃料補正」・G6条件「クレーン賃料補正率」・G8条件「(クローラ式杭打機)質量区分」・G9条件「(中層混合処理機以外)質量区分」・G10条件「(中層混合処理機)質量区分」 を入力する必要はない。
,6. G2条件「機械質量区分」で(24)「中層混合処理機 機械機種から選択」を選択した場合は、G5条件「(クローラクレーン)排ガス機械の選択」・G7条件「クローラクレーン規格選択」・G8条件「(クローラ式杭打機)質量区分」・G9条件「(中層混合処理機以外)質量区分」 を入力する必要はない。
,7. G2条件「機械質量区分」で(37)「サンドパイル打機、粉体噴射撹拌機、深層混合処理機、プレファブリケイティッドバーチカルドレーン打機 機械機種から選択」を選択した場合は、G5条件「(クローラクレーン)排ガス機械の選択」・G7条件「クローラクレーン規格選択」・G8条件「(クローラ式杭打機)質量区分」・G10条件「(中層混合処理機)質量区分」 を入力する必要はない。
,8. G3条件「(ラフテレーンクレーン)賃料長期割引の適用」で①「長期割引あり」を選択した場合は、G5条件「(クローラクレーン)排ガス機械の選択」・G7条件「クローラクレーン規格選択」 を入力する必要はない。
,9. G3条件「(ラフテレーンクレーン)賃料長期割引の適用」で②「長期割引なし」を選択した場合は、G5条件「(クローラクレーン)排ガス機械の選択」・G7条件「クローラクレーン規格選択」 を入力する必要はない。
,10. G4条件「クレーン賃料補正」で①「標準」を選択した場合は、G5条件「(クローラクレーン)排ガス機械の選択」・G6条件「クレーン賃料補正率」・G7条件「クローラクレーン規格選択」 を入力する必要はない。
,11. G4条件「クレーン賃料補正」で②「標準以外(実数入力)」を選択した場合は、G5条件「(クローラクレーン)排ガス機械の選択」・G7条件「クローラクレーン規格選択」 を入力する必要はない。
,12. G5条件「(クローラクレーン)排ガス機械の選択」で③「排ガス対策型(第3次基準値)」を選択した場合は、G6条件「クレーン賃料補正率」・G8条件「(クローラ式杭打機)質量区分」・G9条件「(中層混合処理機以外)質量区分」・G10条件「(中層混合処理機)質量区分」 を入力する必要はない。
,13. G6条件「クレーン賃料補正率」で「任意」を選択した場合は、G7条件「クローラクレーン規格選択」 を入力する必要はない。
,14. G7条件「クローラクレーン規格選択」で①「クローラクレーン 油圧駆動式ウインチ・ラチスジブ型70t吊」を選択した場合は、G8条件「(クローラ式杭打機)質量区分」・G9条件「(中層混合処理機以外)質量区分」・G10条件「(中層混合処理機)質量区分」 を入力する必要はない。
,15. G8条件「(クローラ式杭打機)質量区分」で①「機械質量20t以上60t以下」を選択した場合は、G9条件「(中層混合処理機以外)質量区分」・G10条件「(中層混合処理機)質量区分」 を入力する必要はない。
,16. G9条件「(中層混合処理機以外)質量区分」で①「機械質量20t以上60t以下」を選択した場合は、G10条件「(中層混合処理機)質量区分」 を入力する必要はない。
