工種,結果,軸数(合格/生成),行数(合格/生成),差分内容,メモ
07_608358_インターロッキングブロック工,差分あり,12/12,7/3,行数: 合格7 生成3,
11_622069_ICT建設機械経費加算額(小規模土工),差分あり,2/2,3/2,行数: 合格3 生成2,
12_619272_重建設機械分解組立,一致,4/4,2/2,,
09_619550_養生マット(材料費)【施工P】,差分あり,3/3,6/2,行数: 合格6 生成2,"新規列['養生マット規格', '養生マット材料の単位選択', '1m2当り養生マット使用量']"
13_622072_MC・MGバックホウ技術(ほ場整備整地工),一致,3/3,1/1,,
20_621241_ため池堤体盛立工,一致,1/1,1/1,,
23_613208_輸送費(仮設材)【運用】,一致,9/9,1/1,,
25_605704_現場打ち水路（本体）,差分あり,7/7,2/1,行数: 合格2 生成1,
26_613462_ｺﾝｸﾘｰﾄ舗装版の目地工 (PAV48Y),差分あり,8/8,11/1,行数: 合格11 生成1,
27_605392_横組ｺﾝｸﾘｰﾄ工【SP3】,差分あり,9/9,5/6,軸差: 合格のみ['歩掛(プレテンションT桁、ポストテンション桁(床版桁除く)'] 生成のみ['歩掛(プレテンション床版桁、ポストテンション床版桁)'] / 行数: 合格5 生成6,"新規列['埋設型枠計上区分', '10m3当りの埋設型枠使用数量', '10m3当りの埋設型枠端部使用数量']"
28_605395_PC板仮置工【SP3→1】,一致,2/2,1/1,,
29_605396_PC板敷設工【SP3→1】,差分あり,3/3,3/1,行数: 合格3 生成1,
34_607150_D-157-1 反転･引込工,一致,3/3,1/1,,
35_602786_〈E-17-3〉ﾓﾙﾀﾙ上塗工 (DGD10740),一致,5/5,1/1,,
24_608943_表層（歩道部） 【被災地対応(As工)】,差分あり,8/8,1/2,行数: 合格1 生成2,
36_606689_床版補強等足場(吊足場･朝顔･中段足場)ﾀｲﾌﾟA1~A4､,一致,9/9,1/1,,
37_602598_ｼｰﾘﾝｸﾞ,差分あり,4/4,1/1,軸差: 合格のみ['市場単価補正区分(特別措置の試行)(固定)'] 生成のみ['市場単価補正区分(特別措置の試行)'],
38_603592_波付硬質合成樹脂管(FEP)敷設(WE110500) 【条件,一致,7/7,1/1,,
41_614691_既製ｺﾝｸﾘｰﾄ杭打工(打撃打止め)【鉄筋工旧年度反映】,差分あり,10/9,3/1,"軸差: 合格のみ['杭体内補強鉄筋計上区分', '10本当り杭体内補強鉄筋数量'] 生成のみ['杭体内補強鉄筋計上区分(固定)'] / 行数: 合格3 生成1",
42_606671_解析等調査業務費(発破法及びｽﾀｯｷﾝｸﾞ法),一致,5/5,1/1,,
43_610827_捨石本均し･荒均し(水中)､捨石本均し･荒均し(陸上) 【潜,一致,12/12,1/1,,
45_610838_ﾌﾞﾛｯｸ据付(1ｽｲﾝｸﾞ) 【潜水士船】,差分あり,10/8,1/1,"軸差: 合格のみ['潜水士船の作業区分', '港湾安全対策工事区分'] 生成のみ[]",
03_607674_送気用設備運転費,一致,7/7,1/1,,新規列['運転日数']
04_607092_下地処理工(復興係数),一致,2/2,1/1,,新規列['日当り施工量']
01_619040_回航費-旅費等,一致,10/10,1/1,,
44_610837_ﾌﾞﾛｯｸ転置 【潜水士船】,差分あり,10/8,1/1,"軸差: 合格のみ['潜水士船の作業区分', '港湾安全対策工事区分'] 生成のみ[]",
02_605773_大型ブレーカ,一致,11/11,1/1,,選択肢追加あり
40_615380_小型不整地運搬車運搬,差分あり,5/5,1/1,行不一致: TC[1],選択肢追加あり
15_619893_プレビーム桁架設工(一式当り),一致,18/18,1/1,,
05_605171_掘削等,差分あり,12/13,1/2,軸差: 合格のみ[] 生成のみ['ドリルジャンボ排ガス1次対策型規格(固定)'] / 行数: 合格1 生成2,"新規列['吹付プラント設備', '(コンクリート吹付機)排ガス機械の選択'] 選択肢追加あり"
00_32-4527_裏込砕石工,差分あり,5/5,3/1,行数: 合格3 生成1,新規列['(超低・後方バックホウ)排ガス機械の選択']
06_606964_土のう積工,一致,5/5,5/5,,新規列['土のう種類']
30_606472_型枠工(覆工ｺﾝｸﾘｰﾄ)【SP2】,一致,4/4,1/1,,
21_623816_管(函)渠型側溝,差分あり,8/8,3/3,行不一致: TC[3],選択肢追加あり
22_605866_路上路盤再生工,差分あり,13/15,2/6,"軸差: 合格のみ['(スタビライザ)排ガス機械の選択', '(タイヤローラ)排ガス機械の選択'] 生成のみ['(スタビライザ)排ガス機械の選択(固定)', '砂の散布', '砂使用量', '(タイヤローラ)排ガス機械の選択(固定)'] / 行数: 合格2 生成6","新規列['(スタビライザ)排ガス機械の選択', '(タイヤローラ)排ガス機械の選択', '(振動ローラ)排ガス機械の選択'] 選択肢追加あり"
