カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,変更,代価表:6,諸雑費,つき固め機械等の賃料・燃料,つき固め機械等の損料・燃料,備考変更
計算表,変更,計算表変数:5,S4,AT*1.2,AT*1.3,計算式
計算表,変更,計算表変数:13,D,38.0,40.0,固定値
計算表,変更,計算表変数:22,FG~01,21.0,,固定値→計算式
質問,変更,質問No:3,施工歩掛(バックホウ施工),施工歩掛(バックホウ施工),施工歩掛(バックホウ施工),バージョン更新
質問,変更,質問No:38,(超低・後方バックホウ)排ガス機械の選択,A=10,(超低・後方バックホウ)排ガス機械の選択,表示名変更 / バージョン更新
質問,変更,質問No:39,A=10,A=0,A=10,表示名変更 / バージョン更新
質問,変更,質問No:40,A=0,AT=当り数量,A=0,表示名変更 / バージョン更新
質問,変更,質問No:41,AT=当り数量,1=代価表1枚目4行目,AT=当り数量,表示名変更 / バージョン更新
質問,変更,質問No:42,1=代価表1枚目4行目,0=代価表1枚目4行目,1=代価表1枚目4行目,表示名変更 / バージョン更新
質問,変更,質問No:43,0=代価表1枚目4行目,NFG1=1,0=代価表1枚目4行目,表示名変更 / バージョン更新
質問,変更,質問No:44,NFG1=1,NFG1=2,NFG1=1,表示名変更 / バージョン更新
質問,変更,質問No:45,NFG1=2,終点,NFG1=2,表示名変更 / バージョン更新
質問,変更,質問No:46,終点,NFG1=1,終点,表示名変更 / バージョン更新
質問,変更,質問No:48,NFG1=1,NFG1=2,NFG1=1,表示名変更 / バージョン更新
質問,変更,質問No:49,NFG1=2,Nleas=代価表1枚目数量5行目,NFG1=2,表示名変更 / バージョン更新
質問,変更,質問No:50,Nleas=代価表1枚目数量5行目,砕石,Nleas=代価表1枚目数量5行目,表示名変更
質問,変更,質問No:51,砕石,0.7=代価表1枚目6行目,砕石,表示名変更 / バージョン更新
質問,変更,質問No:52,0.4=代価表1枚目6行目,0=代価表1枚目6行目,0.4=代価表1枚目6行目,表示名変更 / バージョン更新
質問,変更,質問No:53,0=代価表1枚目6行目,砂利,0=代価表1枚目6行目,表示名変更 / バージョン更新
質問,変更,質問No:54,砂利,A=0,砂利,表示名変更 / バージョン更新
質問,変更,質問No:55,A=0,Nex=0,A=0,表示名変更 / バージョン更新
質問,変更,質問No:56,Nex=0,代価表1枚目5行目=lease,Nex=0,表示名変更 / バージョン更新
質問,変更,質問No:57,代価表1枚目5行目=lease,A=0,代価表1枚目5行目=lease,表示名変更
質問,変更,質問No:58,A=0,A=100,A=0,表示名変更 / バージョン更新
質問,変更,質問No:59,A=100,A=0,A=100,表示名変更 / バージョン更新
質問,変更,質問No:60,A=0,A=100,A=0,表示名変更 / バージョン更新
質問,変更,質問No:61,A=100,A=10,A=100,表示名変更 / バージョン更新
質問,追加,質問No:63,A=10,-,選択式,2026/05/15 00:23:40
質問設定,変更,質問No:13,バックホウ運転費 送り変数:FG1,親:FG1→子:FG1,親:FG~01→子:FG1,送り変数変更
選択肢,追加,質問No:38,(超低・後方バックホウ)排ガス機械の選択,-,66,
選択肢,追加,質問No:40,A=0,-,,
選択肢,追加,質問No:40,A=0,-,,
選択肢,追加,質問No:40,A=0,-,,
選択肢,追加,質問No:40,A=0,-,0,
