修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
代価表,諸雑費行備考の「賃料」⇒「損料」に変更,matched,代価表/変更/諸雑費,代価表:6,,,OK
計算表,変数Dの値を資料通りに変更,matched,計算表/変更/S4,計算表変数:5,,,OK
計算表,変数S4の計算式を「AT*1.2」⇒「AT*1.3」に変更,matched,計算表/変更/D,計算表変数:13,,,OK
計算表,変数FG1削除,partial,計算表/変更/FG~01,計算表変数:22,,,OK
質問,各値を資料通りに変更,partial,質問/変更/施工歩掛(バックホウ施工),質問No:3,,,OK
質問,排ガスの質問を追加(フロー位置X:Y=13:1に追加),partial,質問/追加/A=10,質問No:63,,,OK
質問,ｻﾌﾞﾙｰﾁﾝから質問No169を持ってくる,category_partial,(同カテゴリの差分あり),,,,OK
質問,2011年規制の選択肢は削除する(子代価に2011年の選択動作が無いため),category_partial,(同カテゴリの差分あり),,,,OK
質問,質問No13の送り変数にFG~01を追加(送り先はFG1),partial,質問/変更/0=代価表1枚目4行目,質問No:43,,,OK
フロー,X:Y=5:1の固定値を資料通りに変更,partial,フロー/変更/A=10,BoxNo:6,,,OK
質問,(step1側のみ/ノイズ) (超低・後方バックホウ)排ガス機械の選択,diff_only_ノイズ,質問/変更/(超低・後方バックホウ)排ガス機械の選択,質問No:38,,,-
質問,(step1側のみ/ノイズ) A=10,diff_only_ノイズ,質問/変更/A=10,質問No:39,,,-
質問,(step1側のみ/ノイズ) A=0,diff_only_ノイズ,質問/変更/A=0,質問No:40,,,-
質問,(step1側のみ/ノイズ) AT=当り数量,diff_only_ノイズ,質問/変更/AT=当り数量,質問No:41,,,-
質問,(step1側のみ/ノイズ) 1=代価表1枚目4行目,diff_only_ノイズ,質問/変更/1=代価表1枚目4行目,質問No:42,,,-
質問,(step1側のみ/ノイズ) NFG1=1,diff_only_ノイズ,質問/変更/NFG1=1,質問No:44,,,-
質問,(step1側のみ/ノイズ) NFG1=2,diff_only_ノイズ,質問/変更/NFG1=2,質問No:45,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/変更/終点,質問No:46,,,-
質問,(step1側のみ/ノイズ) NFG1=1,diff_only_ノイズ,質問/変更/NFG1=1,質問No:48,,,-
質問,(step1側のみ/ノイズ) NFG1=2,diff_only_ノイズ,質問/変更/NFG1=2,質問No:49,,,-
質問,(step1側のみ/ノイズ) Nleas=代価表1枚目数量5行目,diff_only_ノイズ,質問/変更/Nleas=代価表1枚目数量5行目,質問No:50,,,-
質問,(step1側のみ/ノイズ) 砕石,diff_only_ノイズ,質問/変更/砕石,質問No:51,,,-
質問,(step1側のみ/ノイズ) 0.4=代価表1枚目6行目,diff_only_ノイズ,質問/変更/0.4=代価表1枚目6行目,質問No:52,,,-
質問,(step1側のみ/ノイズ) 0=代価表1枚目6行目,diff_only_ノイズ,質問/変更/0=代価表1枚目6行目,質問No:53,,,-
質問,(step1側のみ/ノイズ) 砂利,diff_only_ノイズ,質問/変更/砂利,質問No:54,,,-
質問,(step1側のみ/ノイズ) A=0,diff_only_ノイズ,質問/変更/A=0,質問No:55,,,-
質問,(step1側のみ/ノイズ) Nex=0,diff_only_ノイズ,質問/変更/Nex=0,質問No:56,,,-
質問,(step1側のみ/ノイズ) 代価表1枚目5行目=lease,diff_only_ノイズ,質問/変更/代価表1枚目5行目=lease,質問No:57,,,-
質問,(step1側のみ/ノイズ) A=0,diff_only_ノイズ,質問/変更/A=0,質問No:58,,,-
質問,(step1側のみ/ノイズ) A=100,diff_only_ノイズ,質問/変更/A=100,質問No:59,,,-
質問,(step1側のみ/ノイズ) A=0,diff_only_ノイズ,質問/変更/A=0,質問No:60,,,-
質問,(step1側のみ/ノイズ) A=100,diff_only_ノイズ,質問/変更/A=100,質問No:61,,,-
質問設定,(step1側のみ/要確認(未解釈)) バックホウ運転費 送り変数:FG1,diff_only_要確認(未解釈),質問設定/変更/バックホウ運転費 送り変数:FG1,質問No:13,,,-
選択肢,(step1側のみ/要確認(未解釈)) (超低・後方バックホウ)排ガス機械の選択,diff_only_要確認(未解釈),選択肢/追加/(超低・後方バックホウ)排ガス機械の選択,質問No:38,,,-
選択肢,(step1側のみ/ノイズ) A=0,diff_only_ノイズ,選択肢/追加/A=0,質問No:40,,,-
選択肢,(step1側のみ/ノイズ) A=0,diff_only_ノイズ,選択肢/追加/A=0,質問No:40,,,-
選択肢,(step1側のみ/ノイズ) A=0,diff_only_ノイズ,選択肢/追加/A=0,質問No:40,,,-
選択肢,(step1側のみ/ノイズ) A=0,diff_only_ノイズ,選択肢/追加/A=0,質問No:40,,,-
選択肢,(step1側のみ/ノイズ) NFG1=2,diff_only_ノイズ,選択肢/追加/NFG1=2,質問No:45,,,-
選択肢,(step1側のみ/ノイズ) NFG1=2,diff_only_ノイズ,選択肢/追加/NFG1=2,質問No:45,,,-
選択肢,(step1側のみ/ノイズ) NFG1=2,diff_only_ノイズ,選択肢/追加/NFG1=2,質問No:45,,,-
選択肢,(step1側のみ/ノイズ) NFG1=2,diff_only_ノイズ,選択肢/追加/NFG1=2,質問No:45,,,-
選択肢,(step1側のみ/ノイズ) NFG1=2,diff_only_ノイズ,選択肢/追加/NFG1=2,質問No:49,,,-
選択肢,(step1側のみ/ノイズ) NFG1=2,diff_only_ノイズ,選択肢/追加/NFG1=2,質問No:49,,,-
選択肢,(step1側のみ/ノイズ) NFG1=2,diff_only_ノイズ,選択肢/追加/NFG1=2,質問No:49,,,-
選択肢,(step1側のみ/ノイズ) NFG1=2,diff_only_ノイズ,選択肢/追加/NFG1=2,質問No:49,,,-
選択肢,(step1側のみ/ノイズ) 0=代価表1枚目6行目,diff_only_ノイズ,選択肢/追加/0=代価表1枚目6行目,質問No:53,,,-
