カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,変更,代価表:16,TankaCD:32-1-102-33-192883,船段長,船団長,備考変更
代価表,追加,代価表:19,TankaCD:32-1-102-33-193257,-,1行,
代価表,追加,代価表:20,TankaCD:32-1-102-33-193257,-,1行,
代価表,追加,代価表:21,TankaCD:32-1-102-33-193257,-,1行,
計算表,変更,計算表変数:23,R~Syo,,200.0,計算式→固定値
計算表,変更,計算表変数:34,<内部変数>,@1,,計算式
計算表,変更,計算表変数:35,C,"if(K < 1, 1,if(K2 < 2, 1, 2))",,計算式
計算表,変更,計算表変数:37,PNo,,@1,計算式
計算表,変更,計算表変数:38,LF1,K'*k,"if(K < 1, 1,if(K2 < 2, 1, 2))",計算式
計算表,変更,計算表変数:39,k,KOU,,計算式
計算表,変更,計算表変数:40,shkt,K1'*k,,計算式
計算表,変更,計算表変数:41,D1R,K2'*k,K'*k,計算式
計算表,変更,計算表変数:42,D1T,K'*SYU*C*k,KOU,計算式
計算表,変更,計算表変数:43,D2R,H~Shu,K1'*k,計算式
計算表,変更,計算表変数:44,D3R,K1'*SYU*C*k,K2'*k,計算式
計算表,変更,計算表変数:45,D4R,K2'*SYU*C*k,K'*SYU*C*k,計算式
計算表,変更,計算表変数:46,D4T,T~Shu,H~Shu,計算式
計算表,変更,計算表変数:47,D5R,K'*(SYU+C)*k,K1'*SYU*C*k,計算式
計算表,変更,計算表変数:48,D6R,K1'*(SYU+C)*k,K2'*SYU*C*k,計算式
計算表,変更,計算表変数:49,D7T,K2'*(SYU+C)*k,T~Shu,計算式
計算表,変更,計算表変数:50,D10R,1.0,K'*(SYU+C)*k,固定値→計算式
計算表,追加,計算表変数:51,D11R,-,K1'*(SYU+C)*k,計算式
計算表,追加,計算表変数:52,D12R,-,K2'*(SYU+C)*k,計算式
計算表,追加,計算表変数:53,D13T,-,R~Syo,計算式
計算表,追加,計算表変数:54,ASVar,-,1.0,固定値
