軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,回航費の計上区分,fix,55,回航費の計上区分,,SitsumonKind=19,
AX-002,目的地までの船員一人当りの交通費,fix,1,目的地までの船員一人当りの交通費,,SitsumonKind=17,
AX-003,宿泊区分,fix,2,宿泊区分,,SitsumonKind=19,
AX-004,移動期間の宿泊日数,fix,3,移動期間の宿泊日数,,SitsumonKind=17,
AX-005,宿泊手当区分,fix,7,宿泊手当区分,,SitsumonKind=19,
AX-006,宿泊費,fix,10,宿泊費,,SitsumonKind=17,
AX-007,作業船の選択,fix,15,作業船の選択,,SitsumonKind=19,
AX-008,ポンプ浚渫船の労務,fix,17,ポンプ浚渫船の労務,,SitsumonKind=19,
AX-009,作業編成(ワッチ数),fix,39,作業編成(ワッチ数),,SitsumonKind=19,
AX-010,上乗り有無,fix,40,上乗り有無,,SitsumonKind=19,
