提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-001,差分,代価表,代価表:16,代価表「TankaCD:32-1-102-33-192883」備考変更,任意,任意,代価表「TankaCD:32-1-102-33-192883」の備考が「船団長」になっていること（目視確認）,備考変更: 「船段長」→「船団長」
P-002,差分,代価表,代価表:19,代価表「TankaCD:32-1-102-33-193257」追加,任意,任意,代価表「TankaCD:32-1-102-33-193257」が1行で表示されること（目視確認）,新規代価表の表示確認
P-003,差分,代価表,代価表:20,代価表「TankaCD:32-1-102-33-193257」追加,任意,任意,代価表「TankaCD:32-1-102-33-193257」が1行で表示されること（目視確認）,新規代価表の表示確認
P-004,差分,代価表,代価表:21,代価表「TankaCD:32-1-102-33-193257」追加,任意,任意,代価表「TankaCD:32-1-102-33-193257」が1行で表示されること（目視確認）,新規代価表の表示確認
P-005,差分,計算表,計算表変数:23,計算表変数「R~Syo」変更,任意,任意,「R~Syo」を含む計算結果が正しいこと,計算式→固定値: →200.0
P-006,差分,計算表,計算表変数:34,計算表変数「<内部変数>」変更,任意,任意,「<内部変数>」を含む計算結果が正しいこと,計算式: @1→
P-007,差分,計算表,計算表変数:35,計算表変数「C」変更,任意,任意,「C」を含む計算結果が正しいこと,"計算式: if(K < 1, 1,if(K2 < 2, 1, 2))→"
P-008,差分,計算表,計算表変数:37,計算表変数「PNo」変更,任意,任意,「PNo」を含む計算結果が正しいこと,計算式: →@1
P-009,差分,計算表,計算表変数:38,計算表変数「LF1」変更,任意,任意,「LF1」を含む計算結果が正しいこと,"計算式: K'*k→if(K < 1, 1,if(K2 < 2, 1, 2))"
P-010,差分,計算表,計算表変数:39,計算表変数「k」変更,任意,任意,「k」を含む計算結果が正しいこと,計算式: KOU→
P-011,差分,計算表,計算表変数:40,計算表変数「shkt」変更,任意,任意,「shkt」を含む計算結果が正しいこと,計算式: K1'*k→
P-012,差分,計算表,計算表変数:41,計算表変数「D1R」変更,任意,任意,「D1R」を含む計算結果が正しいこと,計算式: K2'*k→K'*k
P-013,差分,計算表,計算表変数:42,計算表変数「D1T」変更,任意,任意,「D1T」を含む計算結果が正しいこと,計算式: K'*SYU*C*k→KOU
P-014,差分,計算表,計算表変数:43,計算表変数「D2R」変更,任意,任意,「D2R」を含む計算結果が正しいこと,計算式: H~Shu→K1'*k
P-015,差分,計算表,計算表変数:44,計算表変数「D3R」変更,任意,任意,「D3R」を含む計算結果が正しいこと,計算式: K1'*SYU*C*k→K2'*k
P-016,差分,計算表,計算表変数:45,計算表変数「D4R」変更,任意,任意,「D4R」を含む計算結果が正しいこと,計算式: K2'*SYU*C*k→K'*SYU*C*k
P-017,差分,計算表,計算表変数:46,計算表変数「D4T」変更,任意,任意,「D4T」を含む計算結果が正しいこと,計算式: T~Shu→H~Shu
P-018,差分,計算表,計算表変数:47,計算表変数「D5R」変更,任意,任意,「D5R」を含む計算結果が正しいこと,計算式: K'*(SYU+C)*k→K1'*SYU*C*k
P-019,差分,計算表,計算表変数:48,計算表変数「D6R」変更,任意,任意,「D6R」を含む計算結果が正しいこと,計算式: K1'*(SYU+C)*k→K2'*SYU*C*k
P-020,差分,計算表,計算表変数:49,計算表変数「D7T」変更,任意,任意,「D7T」を含む計算結果が正しいこと,計算式: K2'*(SYU+C)*k→T~Shu
P-021,差分,計算表,計算表変数:50,計算表変数「D10R」変更,任意,任意,「D10R」を含む計算結果が正しいこと,固定値→計算式: 1.0→K'*(SYU+C)*k
P-022,差分,計算表,計算表変数:51,計算表変数「D11R」追加,任意,任意,「D11R」を使う計算結果が正しいこと,新規変数: K1'*(SYU+C)*k
P-023,差分,計算表,計算表変数:52,計算表変数「D12R」追加,任意,任意,「D12R」を使う計算結果が正しいこと,新規変数: K2'*(SYU+C)*k
P-024,差分,計算表,計算表変数:53,計算表変数「D13T」追加,任意,任意,「D13T」を使う計算結果が正しいこと,新規変数: R~Syo
P-025,差分,計算表,計算表変数:54,計算表変数「ASVar」追加,任意,任意,「ASVar」を使う計算結果が正しいこと,新規変数: 1.0
