修正方針カテゴリ,修正方針本文,状態,マッチしたstep1行,マッチstep1 ID
質問,排ガス「2014年規制」の行を追加,matched,質問/追加/損料・油圧式・排対2014年規制,質問No:12
質問,計設定の値は「FG1＝81」を設定,category_partial,(同カテゴリの差分あり),
質問,新規作成 / 質問No.10を複写して「損料･油圧式･2014年規制」の質問を作成 / 現段階で「2014年規制」の損料はないので規格選択は損料対応後、追加されたのを選択 / 計設定も忘れずに,category_partial,(同カテゴリの差分あり),
フロー,上記の修正に伴ってフロー整理,category_partial,(同カテゴリの差分あり),
選択肢,(step1側のみ) 規格選択(損料・油圧式),diff_only,選択肢/追加/規格選択(損料・油圧式),質問No:82
フロー,(step1側のみ) 規格選択(損料・油圧式),diff_only,フロー/変更/規格選択(損料・油圧式),BoxNo:139
フロー,(step1側のみ) 損料・油圧式・排対2014年規制,diff_only,フロー/追加/損料・油圧式・排対2014年規制,BoxNo:106
---,---,---,---,---
【サマリー】,修正方針項目: 4件,完全マッチ: 1,部分マッチ: 3,未マッチ: 0
,一致率(厳密): 25%,一致率(緩和): 100%,step1のみ(過剰検出候補): 3件,
