軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,積算方法の選択(損料・賃料選択),fix,2,積算方法の選択(損料・賃料選択),,SitsumonKind=19,
AX-002,単価表の単位選択,fix,6,単価表の単位選択,,SitsumonKind=19,
AX-003,条件選択,fix,11,条件選択,絞り込みで強制(vary到達経路),SitsumonKind=19,5
AX-004,規格選択(損料・油圧式),fix,81,規格選択(損料・油圧式),,SitsumonKind=19,
AX-005,運転日当り運転時間,fix,35,運転日当り運転時間,,SitsumonKind=17,
AX-006,供用損料に対する補正,auto,91,供用損料に対する補正(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-007,特殊規格の補正率有無,fix,41,特殊規格の補正率有無,,SitsumonKind=19,
AX-008,特殊規格の基礎価格加減額有無,fix,43,特殊規格の基礎価格加減額有無,,SitsumonKind=19,
AX-009,運転労務数量適用区分,fix,120,運転労務数量適用区分,,SitsumonKind=19,
AX-010,燃料又は電力数量適用区分,fix,126,燃料又は電力数量適用区分,,SitsumonKind=19,
AX-011,損料、賃料、評価額数量適用区分,fix,154,損料、賃料、評価額数量適用区分,,SitsumonKind=19,
AX-012,規格選択(損料・油圧式),vary,82,規格選択(損料・油圧式),選択肢追加,SitsumonKind=19,
