軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考
AX-001,積算方法の選択(損料・賃料選択),fix,2,積算方法の選択(損料・賃料選択),,SitsumonKind=19
AX-002,単価表の単位選択,fix,6,単価表の単位選択,,SitsumonKind=19
AX-003,賃料損料区分,fix,7,賃料損料区分,,SitsumonKind=19
AX-004,条件選択,fix,11,条件選択,,SitsumonKind=19
AX-005,運転日当り運転時間,fix,35,運転日当り運転時間,,SitsumonKind=17
AX-006,条件選択,auto,38,条件選択(固定),自動選択(AutoSelectJoken),SitsumonKind=19
AX-007,特殊規格の補正率有無,fix,41,特殊規格の補正率有無,,SitsumonKind=19
AX-008,特殊規格の基礎価格加減額有無,fix,43,特殊規格の基礎価格加減額有無,,SitsumonKind=19
AX-009,規格選択(損料・油圧式),vary,81,規格選択(損料・油圧式),選択肢追加,SitsumonKind=19
AX-010,供用損料に対する補正,fix,91,供用損料に対する補正,,SitsumonKind=19
AX-011,1h当り燃料又は電力消費量の丸め,fix,96,1h当り燃料又は電力消費量の丸め,,SitsumonKind=19
AX-012,1日当り燃料又は電力消費量の丸め,fix,99,1日当り燃料又は電力消費量の丸め,,SitsumonKind=19
AX-013,運転労務数量適用区分,fix,120,運転労務数量適用区分,,SitsumonKind=19
AX-014,燃料又は電力数量適用区分,fix,126,燃料又は電力数量適用区分,,SitsumonKind=19
AX-015,賃料損料区分,fix,134,賃料損料区分,,SitsumonKind=19
AX-016,積算区分(労務・燃料の有無),fix,136,積算区分(労務・燃料の有無),,SitsumonKind=19
AX-017,積算区分,fix,149,積算区分,,SitsumonKind=19
AX-018,損料、賃料、評価額数量適用区分,fix,154,損料、賃料、評価額数量適用区分,,SitsumonKind=19
