修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
代価表,資料通りの労務と諸雑費を追加,partial,代価表/追加/TankaCD:32-2-103-33-3663,代価表:6,,,OK
計算表,代価表で追加した労務と諸雑費の行を追加,partial,計算表/追加/CD:19,計算表変数:19,,,OK
計算表,運転日数の行を追加,partial,計算表/追加/<内部変数>,計算表変数:20,,,OK
計算表,労務の計算式へ数量×運転日数を入力 / 丸め：一般労務(人),category_partial,(同カテゴリの差分あり),,,,OK
質問,運転日数の変数直接入力の質問を作成 / 規格名計上を設定,category_partial,(同カテゴリの差分あり),,,,OK
フロー,適切な位置へ配置,category_partial,(同カテゴリの差分あり),,,,OK
代価表,(step1側のみ/過剰:妥当) TankaCD:32-2-101-32-14,diff_only_過剰:妥当,代価表/追加/TankaCD:32-2-101-32-14,代価表:7,妥当,修正方針『代価表: 資料通りの労務と諸雑費を追加』に該当する代価表行追加。,-
代価表,(step1側のみ/カバー済) 諸雑費,diff_only_カバー済,代価表/追加/諸雑費,代価表:8,,,-
計算表,(step1側のみ/ノイズ) S1,diff_only_ノイズ,計算表/変更/S1,計算表変数:2,,,-
計算表,(step1側のみ/ノイズ) S1A,diff_only_ノイズ,計算表/変更/S1A,計算表変数:3,,,-
計算表,(step1側のみ/ノイズ) S2,diff_only_ノイズ,計算表/変更/S2,計算表変数:4,,,-
計算表,(step1側のみ/ノイズ) S2A,diff_only_ノイズ,計算表/変更/S2A,計算表変数:5,,,-
計算表,(step1側のみ/ノイズ) S3,diff_only_ノイズ,計算表/変更/S3,計算表変数:6,,,-
計算表,(step1側のみ/ノイズ) S3T,diff_only_ノイズ,計算表/変更/S3T,計算表変数:8,,,-
計算表,(step1側のみ/ノイズ) S4,diff_only_ノイズ,計算表/変更/S4,計算表変数:9,,,-
計算表,(step1側のみ/ノイズ) S5,diff_only_ノイズ,計算表/変更/S5,計算表変数:12,,,-
計算表,(step1側のみ/ノイズ) S6,diff_only_ノイズ,計算表/変更/S6,計算表変数:15,,,-
計算表,(step1側のみ/ノイズ) BHK,diff_only_ノイズ,計算表/変更/BHK,計算表変数:18,,,-
計算表,(step1側のみ/ノイズ) DK,diff_only_ノイズ,計算表/追加/DK,計算表変数:21,,,-
計算表,(step1側のみ/ノイズ) SF,diff_only_ノイズ,計算表/追加/SF,計算表変数:22,,,-
計算表,(step1側のみ/ノイズ) SFK1,diff_only_ノイズ,計算表/追加/SFK1,計算表変数:23,,,-
計算表,(step1側のみ/ノイズ) SFK2,diff_only_ノイズ,計算表/追加/SFK2,計算表変数:24,,,-
計算表,(step1側のみ/ノイズ) D1R,diff_only_ノイズ,計算表/追加/D1R,計算表変数:25,,,-
計算表,(step1側のみ/ノイズ) D2R,diff_only_ノイズ,計算表/追加/D2R,計算表変数:26,,,-
計算表,(step1側のみ/ノイズ) D3R,diff_only_ノイズ,計算表/追加/D3R,計算表変数:27,,,-
計算表,(step1側のみ/ノイズ) D4R,diff_only_ノイズ,計算表/追加/D4R,計算表変数:28,,,-
計算表,(step1側のみ/ノイズ) D5R,diff_only_ノイズ,計算表/追加/D5R,計算表変数:29,,,-
計算表,(step1側のみ/ノイズ) D6R,diff_only_ノイズ,計算表/追加/D6R,計算表変数:30,,,-
計算表,(step1側のみ/ノイズ) ASVar,diff_only_ノイズ,計算表/追加/ASVar,計算表変数:31,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/変更/終点,質問No:28,,,-
質問,(step1側のみ/ノイズ) BHK=1,diff_only_ノイズ,質問/変更/BHK=1,質問No:29,,,-
質問,(step1側のみ/ノイズ) 空気圧縮機規格選択,diff_only_ノイズ,質問/変更/空気圧縮機規格選択,質問No:30,,,-
質問,(step1側のみ/ノイズ) 資料区分,diff_only_ノイズ,質問/変更/資料区分,質問No:31,,,-
質問,(step1側のみ/ノイズ) S4A=0.91,diff_only_ノイズ,質問/変更/S4A=0.91,質問No:33,,,-
質問,(step1側のみ/ノイズ) 空気圧縮機延運転時間(台数分合計),diff_only_ノイズ,質問/変更/空気圧縮機延運転時間(台数分合計),質問No:34,,,-
質問,(step1側のみ/ノイズ) S4A=0,diff_only_ノイズ,質問/変更/S4A=0,質問No:35,,,-
質問,(step1側のみ/ノイズ) S5A=5.3,diff_only_ノイズ,質問/変更/S5A=5.3,質問No:36,,,-
質問,(step1側のみ/ノイズ) クーリングタワー延運転時間(台数分合計),diff_only_ノイズ,質問/変更/クーリングタワー延運転時間(台数分合計),質問No:37,,,-
質問,(step1側のみ/ノイズ) S5A=0,diff_only_ノイズ,質問/変更/S5A=0,質問No:38,,,-
質問,(step1側のみ/ノイズ) S5T=0,diff_only_ノイズ,質問/変更/S5T=0,質問No:39,,,-
質問,(step1側のみ/カバー済) 運転日数,diff_only_カバー済,質問/追加/運転日数,質問No:5,,,-
質問,(step1側のみ/ノイズ) S5A=0,diff_only_ノイズ,質問/削除/S5A=0,質問No:40,,,-
質問,(step1側のみ/ノイズ) S5T=0,diff_only_ノイズ,質問/削除/S5T=0,質問No:41,,,-
質問,(step1側のみ/ノイズ) S5=代価表1枚目数量3行目,diff_only_ノイズ,質問/削除/S5=代価表1枚目数量3行目,質問No:42,,,-
質問設定,(step1側のみ/過剰:妥当) S3T,diff_only_過剰:妥当,質問設定/変更/S3T,質問No:3,妥当,"運転日数質問の作成・労務計算式(数量×運転日数)変更に伴う送り変数(S系/UT/BHK)の
追加・変更。修正方針の計算表/質問の変更範囲内。
",-
質問設定,(step1側のみ/過剰:妥当) S4T,diff_only_過剰:妥当,質問設定/変更/S4T,質問No:4,妥当,"運転日数質問の作成・労務計算式(数量×運転日数)変更に伴う送り変数(S系/UT/BHK)の
追加・変更。修正方針の計算表/質問の変更範囲内。
",-
質問設定,(step1側のみ/過剰:妥当) BHK,diff_only_過剰:妥当,質問設定/変更/BHK,質問No:15,妥当,"運転日数質問の作成・労務計算式(数量×運転日数)変更に伴う送り変数(S系/UT/BHK)の
追加・変更。修正方針の計算表/質問の変更範囲内。
",-
質問設定,(step1側のみ/過剰:妥当) S4A,diff_only_過剰:妥当,質問設定/変更/S4A,質問No:18,妥当,"運転日数質問の作成・労務計算式(数量×運転日数)変更に伴う送り変数(S系/UT/BHK)の
追加・変更。修正方針の計算表/質問の変更範囲内。
",-
質問設定,(step1側のみ/過剰:妥当) S5A,diff_only_過剰:妥当,質問設定/変更/S5A,質問No:20,妥当,"運転日数質問の作成・労務計算式(数量×運転日数)変更に伴う送り変数(S系/UT/BHK)の
追加・変更。修正方針の計算表/質問の変更範囲内。
",-
