カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:5,Da,630.0,,固定値→計算式
計算表,変更,計算表変数:12,SF,1,1.0,計算式→固定値
計算表,変更,計算表変数:19,CD:19,S1,,計算式
計算表,追加,計算表変数:20,<被災地における歩掛補正>,-,,計算式
計算表,追加,計算表変数:21,J30,-,,計算式
計算表,追加,計算表変数:22,Q~pdk,-,,計算式
計算表,追加,計算表変数:23,Q~j32,-,"if(Q~Did > 0, Q~Did, if(O~pre == 17, 2, 1))",計算式
計算表,追加,計算表変数:24,O~pre,-,,計算式
計算表,追加,計算表変数:25,Q~Did,-,,計算式
計算表,追加,計算表変数:26,Q~hk2,-,"if(Q~sh2 > 0, Q~sh2, if(O~pre == 17 , 3, 1))",計算式
計算表,追加,計算表変数:27,Q~shk,-,,計算式
計算表,追加,計算表変数:28,Q~sh2,-,,計算式
計算表,追加,計算表変数:29,D1B,-,S1,計算式
質問,変更,質問No:3,日当り施工量,終点,日当り施工量,表示名変更 / バージョン更新
質問,追加,質問No:1,日当り作業量補正(被災地),-,選択式,2026/03/27 01:22:16
質問,追加,質問No:4,終点,-,終点,2017/04/01 00:00:00
選択肢,追加,質問No:3,日当り施工量,-,,
選択肢,追加,質問No:3,日当り施工量,-,,
選択肢,追加,質問No:3,日当り施工量,-,日当り施工量(m2/日),
選択肢,追加,質問No:3,日当り施工量,-,567,
フロー,変更,BoxNo:3,日当り作業量補正(被災地),質問No:3 CallBox:[],質問No:1 CallBox:[2],
フロー,追加,BoxNo:2,日当り施工量,-,質問No:3,CallBox→[終点]
フロー,追加,BoxNo:4,終点,-,質問No:4,
