修正方針カテゴリ,修正方針本文,状態,マッチしたstep1行,マッチstep1 ID
?,修正済のｻﾌﾞﾙｰﾁﾝから質問を複写する,unmatched,,
?,タスク #602112: 65-2000-8193-1 日当り施工量補正(道路維持等で作業効率低下/被災地) / 日当り施工量用質問を作成する,partial,計算表/追加/<被災地における歩掛補正>,計算表変数:20
?,被災地補正しない／被災地補正する　をタブで切り替える / 日当り施工量に関する質問「日当り作業量補正(道路維持等作業効率低下)」について / 被災地補正しない／する　に関わらず、有の場合は、かかる。 / 修正内容が関与しないので気にしなくて,matched,計算表/追加/Q~pdk,計算表変数:22
計算表,(step1側のみ) Da,diff_only,計算表/変更/Da,計算表変数:5
計算表,(step1側のみ) SF,diff_only,計算表/変更/SF,計算表変数:12
計算表,(step1側のみ) CD:19,diff_only,計算表/変更/CD:19,計算表変数:19
計算表,(step1側のみ) J30,diff_only,計算表/追加/J30,計算表変数:21
計算表,(step1側のみ) Q~j32,diff_only,計算表/追加/Q~j32,計算表変数:23
計算表,(step1側のみ) O~pre,diff_only,計算表/追加/O~pre,計算表変数:24
計算表,(step1側のみ) Q~Did,diff_only,計算表/追加/Q~Did,計算表変数:25
計算表,(step1側のみ) Q~hk2,diff_only,計算表/追加/Q~hk2,計算表変数:26
計算表,(step1側のみ) Q~shk,diff_only,計算表/追加/Q~shk,計算表変数:27
計算表,(step1側のみ) Q~sh2,diff_only,計算表/追加/Q~sh2,計算表変数:28
計算表,(step1側のみ) D1B,diff_only,計算表/追加/D1B,計算表変数:29
質問,(step1側のみ) 日当り施工量,diff_only,質問/変更/日当り施工量,質問No:3
質問,(step1側のみ) 日当り作業量補正(被災地),diff_only,質問/追加/日当り作業量補正(被災地),質問No:1
質問,(step1側のみ) 終点,diff_only,質問/追加/終点,質問No:4
選択肢,(step1側のみ) 日当り施工量,diff_only,選択肢/追加/日当り施工量,質問No:3
選択肢,(step1側のみ) 日当り施工量,diff_only,選択肢/追加/日当り施工量,質問No:3
選択肢,(step1側のみ) 日当り施工量,diff_only,選択肢/追加/日当り施工量,質問No:3
選択肢,(step1側のみ) 日当り施工量,diff_only,選択肢/追加/日当り施工量,質問No:3
フロー,(step1側のみ) 日当り作業量補正(被災地),diff_only,フロー/変更/日当り作業量補正(被災地),BoxNo:3
フロー,(step1側のみ) 日当り施工量,diff_only,フロー/追加/日当り施工量,BoxNo:2
フロー,(step1側のみ) 終点,diff_only,フロー/追加/終点,BoxNo:4
---,---,---,---,---
【サマリー】,修正方針項目: 3件,完全マッチ: 1,部分マッチ: 1,未マッチ: 1
,一致率(厳密): 33%,一致率(緩和): 67%,step1のみ(過剰検出候補): 21件,
