提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-001,情報,-,-,SF固定値確認,省庁区分,（自動選択）,省庁区分はテストケースの列に含めない,SF固定値→SF=1.0（省庁名解決不可）専用JSON。UIに省庁選択画面は表示されない
P-002,差分,計算表,計算表変数:5,計算表変数「Da」変更,任意,任意,「Da」を含む計算結果が正しいこと,固定値→計算式: 630.0→
P-003,差分,計算表,計算表変数:12,計算表変数「SF」変更,任意,任意,「SF」を含む計算結果が正しいこと,計算式→固定値: 1→1.0
P-004,差分,計算表,計算表変数:19,計算表変数「CD:19」変更,任意,任意,「CD:19」を含む計算結果が正しいこと,計算式: S1→
P-005,差分,計算表,計算表変数:20,計算表変数「<被災地における歩掛補正>」追加,任意,任意,「<被災地における歩掛補正>」を使う計算結果が正しいこと,新規変数: 
P-006,差分,計算表,計算表変数:21,計算表変数「J30」追加,任意,任意,「J30」を使う計算結果が正しいこと,新規変数: 
P-007,差分,計算表,計算表変数:22,計算表変数「Q~pdk」追加,任意,任意,「Q~pdk」を使う計算結果が正しいこと,新規変数: 
P-008,差分,計算表,計算表変数:23,計算表変数「Q~j32」追加,任意,任意,「Q~j32」を使う計算結果が正しいこと,"新規変数: if(Q~Did > 0, Q~Did, if(O~pre == 17, 2, 1))"
P-009,差分,計算表,計算表変数:24,計算表変数「O~pre」追加,任意,任意,「O~pre」を使う計算結果が正しいこと,新規変数: 
P-010,差分,計算表,計算表変数:25,計算表変数「Q~Did」追加,任意,任意,「Q~Did」を使う計算結果が正しいこと,新規変数: 
P-011,差分,計算表,計算表変数:26,計算表変数「Q~hk2」追加,任意,任意,「Q~hk2」を使う計算結果が正しいこと,"新規変数: if(Q~sh2 > 0, Q~sh2, if(O~pre == 17 , 3, 1))"
P-012,差分,計算表,計算表変数:27,計算表変数「Q~shk」追加,任意,任意,「Q~shk」を使う計算結果が正しいこと,新規変数: 
P-013,差分,計算表,計算表変数:28,計算表変数「Q~sh2」追加,任意,任意,「Q~sh2」を使う計算結果が正しいこと,新規変数: 
P-014,差分,計算表,計算表変数:29,計算表変数「D1B」追加,任意,任意,「D1B」を使う計算結果が正しいこと,新規変数: S1
P-015,差分,質問,質問No:3,質問「日当り施工量」表示名変更,日当り施工量,任意,質問の表示名が「日当り施工量」になっていること,表示名変更: 「終点」→「日当り施工量」
P-016,差分,質問,質問No:1,質問「日当り作業量補正(被災地)」新規追加,日当り作業量補正(被災地),1,「1」を選択したとき正しく動作すること,新規追加質問の各選択肢を確認
P-017,差分,質問,質問No:1,質問「日当り作業量補正(被災地)」新規追加,日当り作業量補正(被災地),0.9,「0.9」を選択したとき正しく動作すること,新規追加質問の各選択肢を確認
P-018,差分,質問,質問No:4,質問「終点」新規追加,終点,（各選択肢）,「終点」が正しく表示・動作すること,SitsumonKind: 終点
P-019,差分,選択肢,質問No:3,選択肢「」追加（質問:「日当り施工量」）,日当り施工量,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-020,差分,選択肢,質問No:3,選択肢「」追加（質問:「日当り施工量」）,日当り施工量,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-021,差分,選択肢,質問No:3,選択肢「日当り施工量(m2/日)」追加（質問:「日当り施工量」）,日当り施工量,日当り施工量(m2/日),「日当り施工量(m2/日)」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-022,差分,選択肢,質問No:3,選択肢「567」追加（質問:「日当り施工量」）,日当り施工量,567,「567」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-023,差分,フロー,BoxNo:3,フロー「日当り作業量補正(被災地)」変更（BoxNo:3）,日当り作業量補正(被災地),（表示された質問に回答）,「日当り作業量補正(被災地)」の遷移先が正しいこと,フロー変更: 質問No:3 CallBox:[]→質問No:1 CallBox:[2]
P-024,差分,フロー,BoxNo:2,フロー「日当り施工量」追加（BoxNo:2）,日当り施工量,（表示された質問に回答）,「日当り施工量」を経由後「終点」へ遷移すること,フロー追加の遷移確認
P-025,差分,フロー,BoxNo:4,フロー「終点」追加（BoxNo:4）,終点,（表示された質問に回答）,「終点」を経由後「（遷移先なし）」へ遷移すること,フロー追加の遷移確認
P-026,回帰,-,-,既存パスへの影響なし確認,日当り作業量補正(被災地),既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-027,回帰,-,-,既存パスへの影響なし確認,日当り施工量,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-028,回帰,-,-,既存パスへの影響なし確認,終点,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
