カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:2,S11,,S1 * S11e,計算式
計算表,変更,計算表変数:11,S12,,S12a * S12e,計算式
計算表,変更,計算表変数:14,S13,1.0,S13a * S12e,固定値→計算式
計算表,変更,計算表変数:17,S14,427.0,S14a * S12e,固定値→計算式
計算表,変更,計算表変数:22,NA3,,1.0,計算式→固定値
計算表,変更,計算表変数:26,K,,427.0,計算式→固定値
計算表,変更,計算表変数:27,CD:27,1.0,,固定値→計算式
計算表,変更,計算表変数:30,CD:30,"if(S12e==0,W1,W2)/5",,計算式
計算表,変更,計算表変数:40,FG1b,1.0,,固定値→計算式
計算表,変更,計算表変数:46,S11e,S1 * S11e,,計算式
計算表,変更,計算表変数:47,S12e,S12a * S12e,,計算式
計算表,変更,計算表変数:50,kb,S13a * S12e,,計算式
計算表,変更,計算表変数:51,D1R,,S11,計算式
計算表,変更,計算表変数:52,D2R,,S1,計算式
計算表,変更,計算表変数:53,D3R,S14a * S12e,S2,計算式
計算表,変更,計算表変数:54,D4R,,S3,計算式
計算表,変更,計算表変数:60,D16R,,S12,計算式
計算表,変更,計算表変数:61,D17R,,S9,計算式
計算表,変更,計算表変数:62,D18R,,S13,計算式
計算表,変更,計算表変数:63,D19R,,S10,計算式
計算表,変更,計算表変数:64,D20R,S11,S14,計算式
計算表,変更,計算表変数:65,ASVar,S1,1.0,計算式→固定値
計算表,追加,計算表変数:10,S8,-,,計算式
計算表,追加,計算表変数:12,S12a,-,,計算式
計算表,追加,計算表変数:18,S14a,-,,計算式
計算表,追加,計算表変数:21,NA2,-,,計算式
計算表,追加,計算表変数:24,CD:24,-,,計算式
計算表,追加,計算表変数:28,<ドリルジャンボ運転費>,-,,計算式
計算表,追加,計算表変数:31,<大型ブレーカ運転費>,-,,計算式
計算表,追加,計算表変数:32,FG1d,-,,計算式
計算表,追加,計算表変数:33,CD:33,-,,計算式
計算表,追加,計算表変数:34,<ホイールローダ運転費>,-,,計算式
計算表,追加,計算表変数:35,FG~08,-,,計算式
計算表,追加,計算表変数:36,GH,-,1.0,固定値
計算表,追加,計算表変数:37,CD:37,-,,計算式
計算表,追加,計算表変数:38,<吹付プラント設備運転費>,-,,計算式
計算表,追加,計算表変数:39,Kb,-,,計算式
計算表,追加,計算表変数:41,CD:41,-,,計算式
計算表,追加,計算表変数:42,<内部変数>,-,,計算式
計算表,追加,計算表変数:43,QPD,-,"if(S12e==0,W1,W2)/5",計算式
計算表,追加,計算表変数:44,W1,-,,計算式
計算表,追加,計算表変数:45,W2,-,,計算式
計算表,追加,計算表変数:55,D5R,-,S4,計算式
計算表,追加,計算表変数:56,D6R,-,S5,計算式
計算表,追加,計算表変数:57,D7R,-,S6,計算式
計算表,追加,計算表変数:58,D8R,-,S7,計算式
計算表,追加,計算表変数:59,D9R,-,S8,計算式
計算表,削除,計算表変数:66,D3R,S2,-,
計算表,削除,計算表変数:67,D4R,S3,-,
計算表,削除,計算表変数:68,D5R,S4,-,
計算表,削除,計算表変数:69,D6R,S5,-,
計算表,削除,計算表変数:70,D7R,S6,-,
計算表,削除,計算表変数:71,D8R,S7,-,
計算表,削除,計算表変数:72,D9R,S8,-,
計算表,削除,計算表変数:73,D16R,S12,-,
計算表,削除,計算表変数:74,D17R,S9,-,
計算表,削除,計算表変数:75,D18R,S13,-,
計算表,削除,計算表変数:76,D19R,S10,-,
計算表,削除,計算表変数:77,D20R,S14,-,
計算表,削除,計算表変数:78,CD:78,,-,
計算表,削除,計算表変数:79,CD:79,,-,
計算表,削除,計算表変数:80,CD:80,,-,
計算表,削除,計算表変数:81,CD:81,,-,
計算表,削除,計算表変数:82,CD:82,,-,
質問,変更,質問No:83,FG1a=34.1,FG1a=32.1,FG1a=34.1,表示名変更 / バージョン更新
質問,変更,質問No:84,FG1a=32.1,FG1a=32.2,FG1a=32.1,表示名変更 / バージョン更新
質問,変更,質問No:85,FG1a=32.2,FG1a=31,FG1a=32.2,表示名変更 / バージョン更新
質問,変更,質問No:86,FG1a=31,終点,FG1a=31,表示名変更 / バージョン更新
質問,変更,質問No:87,終点,1=代価表1枚目15行目,終点,表示名変更 / バージョン更新
質問,変更,質問No:88,1=代価表1枚目15行目,0=代価表1枚目15行目,1=代価表1枚目15行目,表示名変更 / バージョン更新
質問,変更,質問No:89,0=代価表1枚目15行目,1=代価表1枚目11行目,0=代価表1枚目15行目,表示名変更 / バージョン更新
質問,変更,質問No:90,1=代価表1枚目11行目,0=代価表1枚目11行目,1=代価表1枚目11行目,表示名変更 / バージョン更新
質問,変更,質問No:91,0=代価表1枚目11行目,1=代価表1枚目14行目,0=代価表1枚目11行目,表示名変更 / バージョン更新
質問,変更,質問No:92,1=代価表1枚目14行目,0=代価表1枚目14行目,1=代価表1枚目14行目,表示名変更 / バージョン更新
質問,追加,質問No:35,吹付プラント設備,-,選択式,2021/04/27 21:06:52
質問,追加,質問No:37,(コンクリート吹付機)排ガス機械の選択,-,選択式,2026/04/09 20:03:49
質問,追加,質問No:93,0=代価表1枚目14行目,-,選択式,2026/04/09 20:03:49
質問設定,変更,質問No:17,吹付プラント設備運転費 送り変数:Kb,親:K→子:Kb,親:Kb→子:Kb,送り変数変更
