修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
質問,排ガス「第3次基準値」の行を追加,matched,質問/追加/(コンクリート吹付機)排ガス機械の選択,質問No:37,,,OK
質問,「FG1a」の値を #605769 で設定した値にする,partial,質問/変更/FG1a=34.1,質問No:83,,,OK
質問,排ガスの初期値を「第1次基準値」→「第3次基準値」に変更,partial,質問/変更/FG1a=32.1,質問No:84,,,OK
質問,排ガス「第1次基準値」→「2014年規制」に変更,partial,質問/変更/FG1a=32.2,質問No:85,,,OK
質問,#605656 で作成されたサブルーチンを設定,category_partial,(同カテゴリの差分あり),,,,OK
質問,新規作成 / 「コンクリート吹付機」の「排ｶﾞｽ機械の選択」の質問を作成 / 65-6-32-20615からコピーしてきてもOK,category_partial,(同カテゴリの差分あり),,,,OK
フロー,上記の修正に伴ってフロー整理,category_partial,(同カテゴリの差分あり),,,,OK
計算表,(step1側のみ/ノイズ) S11,diff_only_ノイズ,計算表/変更/S11,計算表変数:2,,,-
計算表,(step1側のみ/ノイズ) S12,diff_only_ノイズ,計算表/変更/S12,計算表変数:11,,,-
計算表,(step1側のみ/ノイズ) S13,diff_only_ノイズ,計算表/変更/S13,計算表変数:14,,,-
計算表,(step1側のみ/ノイズ) S14,diff_only_ノイズ,計算表/変更/S14,計算表変数:17,,,-
計算表,(step1側のみ/ノイズ) NA3,diff_only_ノイズ,計算表/変更/NA3,計算表変数:22,,,-
計算表,(step1側のみ/ノイズ) K,diff_only_ノイズ,計算表/変更/K,計算表変数:26,,,-
計算表,(step1側のみ/ノイズ) CD:27,diff_only_ノイズ,計算表/変更/CD:27,計算表変数:27,,,-
計算表,(step1側のみ/ノイズ) CD:30,diff_only_ノイズ,計算表/変更/CD:30,計算表変数:30,,,-
計算表,(step1側のみ/ノイズ) FG1b,diff_only_ノイズ,計算表/変更/FG1b,計算表変数:40,,,-
計算表,(step1側のみ/ノイズ) S11e,diff_only_ノイズ,計算表/変更/S11e,計算表変数:46,,,-
計算表,(step1側のみ/ノイズ) S12e,diff_only_ノイズ,計算表/変更/S12e,計算表変数:47,,,-
計算表,(step1側のみ/ノイズ) kb,diff_only_ノイズ,計算表/変更/kb,計算表変数:50,,,-
計算表,(step1側のみ/ノイズ) D1R,diff_only_ノイズ,計算表/変更/D1R,計算表変数:51,,,-
計算表,(step1側のみ/ノイズ) D2R,diff_only_ノイズ,計算表/変更/D2R,計算表変数:52,,,-
計算表,(step1側のみ/ノイズ) D3R,diff_only_ノイズ,計算表/変更/D3R,計算表変数:53,,,-
計算表,(step1側のみ/ノイズ) D4R,diff_only_ノイズ,計算表/変更/D4R,計算表変数:54,,,-
計算表,(step1側のみ/ノイズ) D16R,diff_only_ノイズ,計算表/変更/D16R,計算表変数:60,,,-
計算表,(step1側のみ/ノイズ) D17R,diff_only_ノイズ,計算表/変更/D17R,計算表変数:61,,,-
計算表,(step1側のみ/ノイズ) D18R,diff_only_ノイズ,計算表/変更/D18R,計算表変数:62,,,-
計算表,(step1側のみ/ノイズ) D19R,diff_only_ノイズ,計算表/変更/D19R,計算表変数:63,,,-
計算表,(step1側のみ/ノイズ) D20R,diff_only_ノイズ,計算表/変更/D20R,計算表変数:64,,,-
計算表,(step1側のみ/ノイズ) ASVar,diff_only_ノイズ,計算表/変更/ASVar,計算表変数:65,,,-
計算表,(step1側のみ/ノイズ) S8,diff_only_ノイズ,計算表/追加/S8,計算表変数:10,,,-
計算表,(step1側のみ/ノイズ) S12a,diff_only_ノイズ,計算表/追加/S12a,計算表変数:12,,,-
計算表,(step1側のみ/ノイズ) S14a,diff_only_ノイズ,計算表/追加/S14a,計算表変数:18,,,-
計算表,(step1側のみ/ノイズ) NA2,diff_only_ノイズ,計算表/追加/NA2,計算表変数:21,,,-
計算表,(step1側のみ/ノイズ) CD:24,diff_only_ノイズ,計算表/追加/CD:24,計算表変数:24,,,-
計算表,(step1側のみ/ノイズ) <ドリルジャンボ運転費>,diff_only_ノイズ,計算表/追加/<ドリルジャンボ運転費>,計算表変数:28,,,-
