軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,岩区分,fix,2,岩区分,,SitsumonKind=19,
AX-002,設計掘削断面積,fix,1,設計掘削断面積,,SitsumonKind=19,
AX-003,切羽監視責任者の有無,fix,30,切羽監視責任者の有無,,SitsumonKind=19,
AX-004,鏡吹付工施工の有無,fix,32,鏡吹付工施工の有無,,SitsumonKind=19,
AX-005,吹付プラント設備,fix,35,吹付プラント設備,,SitsumonKind=19,
AX-006,(ドリルジャンボ)排ガス機械の選択,vary,25,(ドリルジャンボ)排ガス機械の選択,選択肢追加,SitsumonKind=19,
AX-007,(大型ブレーカ)排ガス機械の選択,fix,16,(大型ブレーカ)排ガス機械の選択,初期値変更,SitsumonKind=19,
AX-008,(ホイールローダ)排ガス機械の選択,vary,29,(ホイールローダ)排ガス機械の選択,選択肢追加,SitsumonKind=19,
AX-009,(コンクリート吹付機)排ガス機械の選択,vary,37,(コンクリート吹付機)排ガス機械の選択,新規追加質問,SitsumonKind=19,
AX-010,ロックボルトの計上区分,fix,31,ロックボルトの計上区分,,SitsumonKind=19,
AX-011,ダンプトラックによるずり運搬の計上区分,fix,23,ダンプトラックによるずり運搬の計上区分,,SitsumonKind=19,
AX-012,集塵機の計上区分,fix,26,集塵機の計上区分,,SitsumonKind=19,
