カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,追加,代価表:4,TankaCD:32-2-101-32-23,-,1行,
代価表,追加,代価表:5,諸雑費,-,1行,
計算表,変更,計算表変数:2,S4,(F1*c1+F2*c2+F3*c3)/100*Z*10,S4b/100*Z*10,計算式
計算表,変更,計算表変数:3,S4b,(F1*c1+F2*c2+F3*c3)/100*Z,,計算式
計算表,変更,計算表変数:4,S1,Z*0.02*10,"IF(SFG==1, S1b, (F1*c1+F2*c2+F3*c3))/100*Z*10",計算式
計算表,変更,計算表変数:5,S1b,Z*10,,計算式
計算表,変更,計算表変数:6,S1',,(F1*c1+F2*c2+F3*c3)/100*Z,計算式
計算表,変更,計算表変数:7,S2,2.0,Z*0.02*10,固定値→計算式
計算表,変更,計算表変数:8,S3,1.0,Z*10,固定値→計算式
計算表,変更,計算表変数:9,Z,1.2,,固定値→計算式
計算表,変更,計算表変数:10,F1,,2.0,計算式→固定値
計算表,変更,計算表変数:11,F2,,1.0,計算式→固定値
計算表,変更,計算表変数:12,F3,,1.2,計算式→固定値
計算表,変更,計算表変数:13,S5,"if(C == 3, 2,
if(C == 5, 2,
if(FGS1 > 0, FGS1,
if(O~Sys == 1, 1,
if(O~Dat == 1, 1, 0)))))",,計算式
計算表,変更,計算表変数:14,CD:14,"if(C == 3, 1,
if(C == 5, 1,
if(LEV_D > 0, LEV_D,
if(FGS1 > 0, 1,
if(O~Sys == 1, 2,
if(O~Dat == 1, 2, 0))))))",,計算式
計算表,変更,計算表変数:15,<内部変数>,"if(zk > 0, zk,
if(RFG > 0, RFG,
if(O~Sys == 1, 1,
if(O~Dat == 1, 1, 0))))",,計算式
計算表,変更,計算表変数:16,SK,"if(L_zk > 0 , L_zk,
if(zk > 0, 1,
if(RFG > 0, 1,
if(O~Sys == 1, 2,
if(O~Dat == 1, 2, 0)))))",,計算式
計算表,変更,計算表変数:17,rsskH,1.0,"if(C == 3, 2,
if(C == 5, 2,
if(FGS1 > 0, FGS1,
if(O~Sys == 1, 1,
if(O~Dat == 1, 1, 0)))))",固定値→計算式
計算表,変更,計算表変数:18,LEVsk,,"if(C == 3, 1,
if(C == 5, 1,
if(LEV_D > 0, LEV_D,
if(FGS1 > 0, 1,
if(O~Sys == 1, 2,
if(O~Dat == 1, 2, 0))))))",計算式
計算表,変更,計算表変数:19,ZK,,"if(zk > 0, zk,
if(RFG > 0, RFG,
if(O~Sys == 1, 1,
if(O~Dat == 1, 1, 0))))",計算式
計算表,変更,計算表変数:20,LEVzk,,"if(L_zk > 0 , L_zk,
if(zk > 0, 1,
if(RFG > 0, 1,
if(O~Sys == 1, 2,
if(O~Dat == 1, 2, 0)))))",計算式
計算表,変更,計算表変数:21,SFG,,1.0,計算式→固定値
計算表,変更,計算表変数:23,C,D,,計算式
計算表,変更,計算表変数:24,c1,D'*S1'/4,,計算式
計算表,変更,計算表変数:27,QPD,,D,計算式
計算表,変更,計算表変数:28,D,,D'*S1'/4,計算式
計算表,変更,計算表変数:37,FG,1.0,,固定値→計算式
計算表,変更,計算表変数:38,FGS1,S1,,計算式
計算表,変更,計算表変数:39,LEV_D,S2*SK,,計算式
計算表,変更,計算表変数:40,zk,S3*SK,,計算式
計算表,追加,計算表変数:41,L_zk,-,,計算式
計算表,追加,計算表変数:42,rs1,-,,計算式
計算表,追加,計算表変数:43,O~SAN,-,1.0,固定値
計算表,追加,計算表変数:44,TA~SN,-,1.0,固定値
計算表,追加,計算表変数:45,O~Sys,-,,計算式
計算表,追加,計算表変数:46,O~Dat,-,,計算式
計算表,追加,計算表変数:47,SCk,-,1.0,固定値
計算表,追加,計算表変数:48,D1R,-,S4,計算式
計算表,追加,計算表変数:49,D2R,-,S1,計算式
計算表,追加,計算表変数:50,D3R,-,S2*SK,計算式
計算表,追加,計算表変数:51,D4R,-,S3*SK,計算式
計算表,追加,計算表変数:52,D5R,-,S5,計算式
質問,変更,質問No:2,作業内容,作業内容,作業内容,バージョン更新
質問,変更,質問No:3,作業内容,作業内容,作業内容,バージョン更新
質問,変更,質問No:7,材料の選択(土のう袋(普通)),材料の選択(土のう),材料の選択(土のう袋(普通)),表示名変更 / バージョン更新
質問,変更,質問No:10,作業内容区分,作業内容区分,作業内容区分,バージョン更新
質問,変更,質問No:12,適用労務選択方法の切替,終点,適用労務選択方法の切替,表示名変更 / バージョン更新
質問,追加,質問No:5,土のう種類,-,選択式,2026/05/29 01:26:54
質問,追加,質問No:13,労務費の適用,-,選択式,2026/05/15 00:16:45
質問,追加,質問No:14,労務費の適用,-,選択式,2026/05/15 00:16:45
質問,追加,質問No:15,材料の選択(土のう袋(耐候性)),-,SitsumonKind:8,2026/05/29 01:26:54
質問,追加,質問No:16,フロー切替:適用労務切替(山林砂防工),-,SitsumonKind:119,2017/04/01 00:00:00
質問,追加,質問No:17,終点,-,終点,2017/04/01 00:00:00
質問,追加,質問No:18,終点,-,終点,2017/04/01 00:00:00
選択肢,追加,質問No:12,適用労務選択方法の切替,-,,
選択肢,追加,質問No:12,適用労務選択方法の切替,-,,
選択肢,追加,質問No:12,適用労務選択方法の切替,-,適用労務選択方法の切替,
選択肢,追加,質問No:12,適用労務選択方法の切替,-,普通作業員を適用,
選択肢,追加,質問No:12,適用労務選択方法の切替,-,普通作業員、山林砂防工から選択,
選択肢,削除,質問No:2,作業内容,24,-,
選択肢,削除,質問No:3,作業内容,24,-,
フロー,変更,BoxNo:1,適用労務選択方法の切替,質問No:1 CallBox:[16],"質問No:12 CallBox:[2, 3]",
フロー,変更,BoxNo:2,労務費の適用,質問No:2 CallBox:[15],質問No:13 CallBox:[4],
フロー,変更,BoxNo:3,労務費の適用,"質問No:4 CallBox:[2, 4]",質問No:14 CallBox:[4],
フロー,変更,BoxNo:4,終点,質問No:3 CallBox:[15],質問No:18 CallBox:[],
