修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
代価表,代価表2行目、3行目で計上している単価はそのままに、土木一般世話役、諸雑費を代価表に追加して資料P80の単価表の通り並べ替える,partial,代価表/追加/TankaCD:32-2-101-32-23,代価表:4,,,OK
代価表,各単価に変数を設定する,category_partial,(同カテゴリの差分あり),,,,OK
計算表,変数F1～F3とは別で、普通作業員の変数を新たに追加する,matched,計算表/変更/S4,計算表変数:2,,,OK
計算表,変数S1の式にif文を用いた分岐を追加する,matched,計算表/追加/L_zk,計算表変数:41,,,OK
計算表,SFG=1なら追加した普通作業員の変数、SFG=2なら(F1*c1+F2*c2+F3*c3)とする,matched,計算表/変更/S1,計算表変数:4,,,OK
質問,質問No.2、No.3,matched,質問/変更/作業内容,質問No:2,,,OK
質問,選択肢1行目を削除し、「仕拵･積立」を「製作･積立」に変更する,partial,質問/変更/作業内容,質問No:3,,,OK
質問,変数c1列からc3列を削除し、新規追加した普通作業員、土木一般世話役、諸雑費の変数をそれぞれセットして、数量は資料P78の通りとする,partial,質問/追加/土のう種類,質問No:5,,,OK
代価表,(step1側のみ/カバー済) 諸雑費,diff_only_カバー済,代価表/追加/諸雑費,代価表:5,,,-
計算表,(step1側のみ/ノイズ) S4b,diff_only_ノイズ,計算表/変更/S4b,計算表変数:3,,,-
計算表,(step1側のみ/ノイズ) S1b,diff_only_ノイズ,計算表/変更/S1b,計算表変数:5,,,-
計算表,(step1側のみ/ノイズ) S1',diff_only_ノイズ,計算表/変更/S1',計算表変数:6,,,-
計算表,(step1側のみ/ノイズ) S2,diff_only_ノイズ,計算表/変更/S2,計算表変数:7,,,-
計算表,(step1側のみ/ノイズ) S3,diff_only_ノイズ,計算表/変更/S3,計算表変数:8,,,-
計算表,(step1側のみ/ノイズ) Z,diff_only_ノイズ,計算表/変更/Z,計算表変数:9,,,-
計算表,(step1側のみ/ノイズ) F1,diff_only_ノイズ,計算表/変更/F1,計算表変数:10,,,-
計算表,(step1側のみ/ノイズ) F2,diff_only_ノイズ,計算表/変更/F2,計算表変数:11,,,-
計算表,(step1側のみ/ノイズ) F3,diff_only_ノイズ,計算表/変更/F3,計算表変数:12,,,-
計算表,(step1側のみ/ノイズ) S5,diff_only_ノイズ,計算表/変更/S5,計算表変数:13,,,-
計算表,(step1側のみ/ノイズ) CD:14,diff_only_ノイズ,計算表/変更/CD:14,計算表変数:14,,,-
計算表,(step1側のみ/ノイズ) <内部変数>,diff_only_ノイズ,計算表/変更/<内部変数>,計算表変数:15,,,-
計算表,(step1側のみ/ノイズ) SK,diff_only_ノイズ,計算表/変更/SK,計算表変数:16,,,-
計算表,(step1側のみ/ノイズ) rsskH,diff_only_ノイズ,計算表/変更/rsskH,計算表変数:17,,,-
計算表,(step1側のみ/ノイズ) LEVsk,diff_only_ノイズ,計算表/変更/LEVsk,計算表変数:18,,,-
計算表,(step1側のみ/ノイズ) ZK,diff_only_ノイズ,計算表/変更/ZK,計算表変数:19,,,-
計算表,(step1側のみ/ノイズ) LEVzk,diff_only_ノイズ,計算表/変更/LEVzk,計算表変数:20,,,-
計算表,(step1側のみ/ノイズ) SFG,diff_only_ノイズ,計算表/変更/SFG,計算表変数:21,,,-
計算表,(step1側のみ/ノイズ) C,diff_only_ノイズ,計算表/変更/C,計算表変数:23,,,-
計算表,(step1側のみ/ノイズ) c1,diff_only_ノイズ,計算表/変更/c1,計算表変数:24,,,-
計算表,(step1側のみ/ノイズ) QPD,diff_only_ノイズ,計算表/変更/QPD,計算表変数:27,,,-
計算表,(step1側のみ/ノイズ) D,diff_only_ノイズ,計算表/変更/D,計算表変数:28,,,-
計算表,(step1側のみ/ノイズ) FG,diff_only_ノイズ,計算表/変更/FG,計算表変数:37,,,-
計算表,(step1側のみ/ノイズ) FGS1,diff_only_ノイズ,計算表/変更/FGS1,計算表変数:38,,,-
計算表,(step1側のみ/ノイズ) LEV_D,diff_only_ノイズ,計算表/変更/LEV_D,計算表変数:39,,,-
計算表,(step1側のみ/ノイズ) zk,diff_only_ノイズ,計算表/変更/zk,計算表変数:40,,,-
計算表,(step1側のみ/ノイズ) rs1,diff_only_ノイズ,計算表/追加/rs1,計算表変数:42,,,-
計算表,(step1側のみ/ノイズ) O~SAN,diff_only_ノイズ,計算表/追加/O~SAN,計算表変数:43,,,-
計算表,(step1側のみ/ノイズ) TA~SN,diff_only_ノイズ,計算表/追加/TA~SN,計算表変数:44,,,-
計算表,(step1側のみ/ノイズ) O~Sys,diff_only_ノイズ,計算表/追加/O~Sys,計算表変数:45,,,-
計算表,(step1側のみ/ノイズ) O~Dat,diff_only_ノイズ,計算表/追加/O~Dat,計算表変数:46,,,-
計算表,(step1側のみ/ノイズ) SCk,diff_only_ノイズ,計算表/追加/SCk,計算表変数:47,,,-
計算表,(step1側のみ/ノイズ) D1R,diff_only_ノイズ,計算表/追加/D1R,計算表変数:48,,,-
計算表,(step1側のみ/ノイズ) D2R,diff_only_ノイズ,計算表/追加/D2R,計算表変数:49,,,-
計算表,(step1側のみ/ノイズ) D3R,diff_only_ノイズ,計算表/追加/D3R,計算表変数:50,,,-
計算表,(step1側のみ/ノイズ) D4R,diff_only_ノイズ,計算表/追加/D4R,計算表変数:51,,,-
計算表,(step1側のみ/ノイズ) D5R,diff_only_ノイズ,計算表/追加/D5R,計算表変数:52,,,-
質問,(step1側のみ/ノイズ) 材料の選択(土のう袋(普通)),diff_only_ノイズ,質問/変更/材料の選択(土のう袋(普通)),質問No:7,,,-
質問,(step1側のみ/ノイズ) 作業内容区分,diff_only_ノイズ,質問/変更/作業内容区分,質問No:10,,,-
質問,(step1側のみ/ノイズ) 適用労務選択方法の切替,diff_only_ノイズ,質問/変更/適用労務選択方法の切替,質問No:12,,,-
質問,(step1側のみ/過剰:妥当) 労務費の適用,diff_only_過剰:妥当,質問/追加/労務費の適用,質問No:13,妥当,SFG分岐(労務費の適用/適用労務切替)導入に伴う新規質問。修正方針の計算表if分岐に対応。,-
質問,(step1側のみ/過剰:妥当) 労務費の適用,diff_only_過剰:妥当,質問/追加/労務費の適用,質問No:14,妥当,SFG分岐(労務費の適用/適用労務切替)導入に伴う新規質問。修正方針の計算表if分岐に対応。,-
質問,(step1側のみ/過剰:妥当) 材料の選択(土のう袋(耐候性)),diff_only_過剰:妥当,質問/追加/材料の選択(土のう袋(耐候性)),質問No:15,妥当,SFG分岐(労務費の適用/適用労務切替)導入に伴う新規質問。修正方針の計算表if分岐に対応。,-
質問,(step1側のみ/過剰:妥当) フロー切替:適用労務切替(山林砂防工),diff_only_過剰:妥当,質問/追加/フロー切替:適用労務切替(山林砂防工),質問No:16,妥当,SFG分岐(労務費の適用/適用労務切替)導入に伴う新規質問。修正方針の計算表if分岐に対応。,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/追加/終点,質問No:17,,,-
