修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,市場単価が適用できない範囲　に空練りモルタルが記載されてきたため、関連する動作を削除する,partial,計算表/削除/CD:5,計算表変数:5,,,OK
代価表,砂の数量@計算の計算式が設定されているが、切り替えは不要になるので削除,category_partial,(同カテゴリの差分あり),,,,OK
計算表,空練ﾓﾙﾀﾙ関連の変数を削除する,partial,計算表/削除/CD:9,計算表変数:9,,,OK
質問,質問No.10　注釈行は不要、空練りﾓﾙﾀﾙの行を削除、ｾﾒﾝﾄ種類区分も不要,matched,質問/変更/敷材料の種類,質問No:10,,,OK
質問,空練ﾓﾙﾀﾙ関連の質問削除,matched,質問/削除/空練りモルタル材料計上区分,質問No:12,,,OK
フロー,今回削除した質問を削除、分岐の変更等を行う,partial,フロー/変更/週休2日補正有無,BoxNo:1,,,OK
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-24782,diff_only_ノイズ,代価表/変更/TankaCD:32-1-102-32-24782,代価表:1,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-33-64118,diff_only_ノイズ,代価表/変更/TankaCD:32-1-102-33-64118,代価表:2,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-33-64118,diff_only_ノイズ,代価表/変更/TankaCD:32-1-102-33-64118,代価表:2,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-33-64118,diff_only_ノイズ,代価表/変更/TankaCD:32-1-102-33-64118,代価表:3,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-33-63090,diff_only_ノイズ,代価表/変更/TankaCD:32-1-102-33-63090,代価表:4,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-32-24794,diff_only_ノイズ,代価表/変更/TankaCD:32-1-102-32-24794,代価表:5,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-33-64118,diff_only_ノイズ,代価表/変更/TankaCD:32-1-102-33-64118,代価表:6,,,-
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-33-64118,diff_only_ノイズ,代価表/変更/TankaCD:32-1-102-33-64118,代価表:6,,,-
計算表,(step1側のみ/ノイズ) D6R,diff_only_ノイズ,計算表/変更/D6R,計算表変数:248,,,-
計算表,(step1側のみ/ノイズ) CD:252,diff_only_ノイズ,計算表/追加/CD:252,計算表変数:252,,,-
計算表,(step1側のみ/ノイズ) CD:253,diff_only_ノイズ,計算表/追加/CD:253,計算表変数:253,,,-
計算表,(step1側のみ/ノイズ) CD:254,diff_only_ノイズ,計算表/追加/CD:254,計算表変数:254,,,-
計算表,(step1側のみ/ノイズ) CD:255,diff_only_ノイズ,計算表/追加/CD:255,計算表変数:255,,,-
計算表,(step1側のみ/ノイズ) CD:256,diff_only_ノイズ,計算表/追加/CD:256,計算表変数:256,,,-
計算表,(step1側のみ/ノイズ) CD:257,diff_only_ノイズ,計算表/追加/CD:257,計算表変数:257,,,-
計算表,(step1側のみ/ノイズ) CD:258,diff_only_ノイズ,計算表/追加/CD:258,計算表変数:258,,,-
計算表,(step1側のみ/ノイズ) CD:259,diff_only_ノイズ,計算表/追加/CD:259,計算表変数:259,,,-
