軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,代価表の当り数量,auto,19,代価表の当り数量(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
AX-002,作業区分,fix,2,作業区分,,SitsumonKind=19,
AX-003,資材計上区分,vary,21,資材計上区分,業務ルール: 資材計上区分の切替が代価表数量に影響,SitsumonKind=19,
AX-004,ブロック使用材料,fix,20,ブロック使用材料,,SitsumonKind=19,
AX-005,敷材料計上区分,auto,22,敷材料計上区分(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
AX-006,敷材料の種類,vary,10,敷材料の種類,選択肢削除,SitsumonKind=19,
AX-007,再生砂,fix,24,再生砂,,SitsumonKind=8,
AX-008,敷材料の厚さ,fix,15,敷材料の厚さ,,SitsumonKind=17,
AX-009,施工規模による加算,fix,3,施工規模による加算,,SitsumonKind=19,
AX-010,時間的制約を受ける場合の補正,fix,4,時間的制約を受ける場合の補正,,SitsumonKind=19,
AX-011,夜間作業補正,fix,5,夜間作業補正,,SitsumonKind=19,
AX-012,市場単価の補正方法,fix,18,市場単価の補正方法,,SitsumonKind=19,
AX-013,市場単価の日当り施工量補正有無,auto,28,市場単価の日当り施工量補正有無(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
