提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-001,情報,-,-,SF固定値確認,省庁区分,（自動選択）,省庁区分はテストケースの列に含めない,SF固定値→1専用JSON。UIに省庁選択画面は表示されない
P-002,差分,代価表,代価表:1,代価表「TankaCD:32-1-102-32-24782」行数変更 2行→1行,任意,任意,代価表「TankaCD:32-1-102-32-24782」の行数が1行になっていること,行数変更の目視確認
P-003,差分,代価表,代価表:2,代価表「TankaCD:32-1-102-33-64118」行数変更 2行→1行,任意,任意,代価表「TankaCD:32-1-102-33-64118」の行数が1行になっていること,行数変更の目視確認
P-004,差分,代価表,代価表:2,代価表「TankaCD:32-1-102-33-64118」備考変更,任意,任意,代価表「TankaCD:32-1-102-33-64118」の備考が「標準ブロック材料費控除」になっていること（目視確認）,備考変更: 「標準ブロック材料費控除 / 標準ブロック材料費控除」→「標準ブロック材料費控除」
P-005,差分,代価表,代価表:3,代価表「TankaCD:32-1-102-33-64118」行数変更 2行→1行,任意,任意,代価表「TankaCD:32-1-102-33-64118」の行数が1行になっていること,行数変更の目視確認
P-006,差分,代価表,代価表:4,代価表「TankaCD:32-1-102-33-63090」行数変更 2行→1行,任意,任意,代価表「TankaCD:32-1-102-33-63090」の行数が1行になっていること,行数変更の目視確認
P-007,差分,代価表,代価表:5,代価表「TankaCD:32-1-102-32-24794」行数変更 2行→1行,任意,任意,代価表「TankaCD:32-1-102-32-24794」の行数が1行になっていること,行数変更の目視確認
P-008,差分,代価表,代価表:6,代価表「TankaCD:32-1-102-33-64118」行数変更 2行→1行,任意,任意,代価表「TankaCD:32-1-102-33-64118」の行数が1行になっていること,行数変更の目視確認
P-009,差分,代価表,代価表:6,代価表「TankaCD:32-1-102-33-64118」備考変更,任意,任意,代価表「TankaCD:32-1-102-33-64118」の備考が「標準ブロック材料ロス分」になっていること（目視確認）,備考変更: 「標準ブロック材料ロス分 / 標準ブロック材料ロス分」→「標準ブロック材料ロス分」
P-010,差分,計算表,計算表変数:248,計算表変数「D6R」変更,任意,任意,「D6R」を含む計算結果が正しいこと,"計算式: if(zfg==1,Z1a,if(zfg==2,Z1b,0))→Z1a"
P-011,差分,計算表,計算表変数:252,計算表変数「CD:252」追加,任意,任意,「CD:252」を使う計算結果が正しいこと,新規変数: 
P-012,差分,計算表,計算表変数:253,計算表変数「CD:253」追加,任意,任意,「CD:253」を使う計算結果が正しいこと,新規変数: 
P-013,差分,計算表,計算表変数:254,計算表変数「CD:254」追加,任意,任意,「CD:254」を使う計算結果が正しいこと,新規変数: 
P-014,差分,計算表,計算表変数:255,計算表変数「CD:255」追加,任意,任意,「CD:255」を使う計算結果が正しいこと,新規変数: 
P-015,差分,計算表,計算表変数:256,計算表変数「CD:256」追加,任意,任意,「CD:256」を使う計算結果が正しいこと,新規変数: 
P-016,差分,計算表,計算表変数:257,計算表変数「CD:257」追加,任意,任意,「CD:257」を使う計算結果が正しいこと,新規変数: 
P-017,差分,計算表,計算表変数:258,計算表変数「CD:258」追加,任意,任意,「CD:258」を使う計算結果が正しいこと,新規変数: 
P-018,差分,計算表,計算表変数:259,計算表変数「CD:259」追加,任意,任意,「CD:259」を使う計算結果が正しいこと,新規変数: 
P-019,差分,計算表,計算表変数:260,計算表変数「CD:260」追加,任意,任意,「CD:260」を使う計算結果が正しいこと,新規変数: 
P-020,差分,計算表,計算表変数:261,計算表変数「CD:261」追加,任意,任意,「CD:261」を使う計算結果が正しいこと,新規変数: 
P-021,差分,計算表,計算表変数:262,計算表変数「CD:262」追加,任意,任意,「CD:262」を使う計算結果が正しいこと,新規変数: 
P-022,差分,計算表,計算表変数:263,計算表変数「CD:263」追加,任意,任意,「CD:263」を使う計算結果が正しいこと,新規変数: 
P-023,差分,計算表,計算表変数:264,計算表変数「CD:264」追加,任意,任意,「CD:264」を使う計算結果が正しいこと,新規変数: 
P-024,差分,計算表,計算表変数:265,計算表変数「CD:265」追加,任意,任意,「CD:265」を使う計算結果が正しいこと,新規変数: 
P-025,差分,計算表,計算表変数:266,計算表変数「CD:266」追加,任意,任意,「CD:266」を使う計算結果が正しいこと,新規変数: 
P-026,差分,計算表,計算表変数:267,計算表変数「CD:267」追加,任意,任意,「CD:267」を使う計算結果が正しいこと,新規変数: 
P-027,差分,計算表,計算表変数:268,計算表変数「CD:268」追加,任意,任意,「CD:268」を使う計算結果が正しいこと,新規変数: 
P-028,差分,計算表,計算表変数:269,計算表変数「CD:269」追加,任意,任意,「CD:269」を使う計算結果が正しいこと,新規変数: 
P-029,差分,計算表,計算表変数:270,計算表変数「 <設置>」追加,任意,任意,「 <設置>」を使う計算結果が正しいこと,新規変数: 
P-030,差分,計算表,計算表変数:271,計算表変数「 <撤去>」追加,任意,任意,「 <撤去>」を使う計算結果が正しいこと,新規変数: 
P-031,差分,計算表,計算表変数:272,計算表変数「CD:272」追加,任意,任意,「CD:272」を使う計算結果が正しいこと,新規変数: 
P-032,差分,計算表,計算表変数:273,計算表変数「CD:273」追加,任意,任意,「CD:273」を使う計算結果が正しいこと,新規変数: 
P-033,差分,計算表,計算表変数:274,計算表変数「CD:274」追加,任意,任意,「CD:274」を使う計算結果が正しいこと,新規変数: 
P-034,差分,計算表,計算表変数:275,計算表変数「CD:275」追加,任意,任意,「CD:275」を使う計算結果が正しいこと,新規変数: 
P-035,差分,計算表,計算表変数:276,計算表変数「CD:276」追加,任意,任意,「CD:276」を使う計算結果が正しいこと,新規変数: 
P-036,差分,計算表,計算表変数:5,計算表変数「CD:5」削除,任意,任意,「CD:5」を使っていた計算に影響がないこと,削除変数: 
P-037,差分,計算表,計算表変数:9,計算表変数「CD:9」削除,任意,任意,「CD:9」を使っていた計算に影響がないこと,削除変数: 
P-038,差分,計算表,計算表変数:14,計算表変数「CD:14」削除,任意,任意,「CD:14」を使っていた計算に影響がないこと,削除変数: 
P-039,差分,計算表,計算表変数:18,計算表変数「CD:18」削除,任意,任意,「CD:18」を使っていた計算に影響がないこと,削除変数: 
P-040,差分,計算表,計算表変数:27,計算表変数「CD:27」削除,任意,任意,「CD:27」を使っていた計算に影響がないこと,削除変数: 
P-041,差分,計算表,計算表変数:31,計算表変数「CD:31」削除,任意,任意,「CD:31」を使っていた計算に影響がないこと,削除変数: 
