カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:2,S1,110/100,"if(S3_FG == 1 , S1a , S1b)",計算式
計算表,変更,計算表変数:2,S1,m2/m2,各数量/m2,単位変更
計算表,変更,計算表変数:3,S1a,,110/100,計算式
計算表,変更,計算表変数:5,CD:5,TN*S,,計算式
計算表,変更,計算表変数:7,SO,0.25,TN*S,固定値→計算式
計算表,変更,計算表変数:8,TN,S1,,計算式
計算表,変更,計算表変数:9,S,SO,0.25,計算式→固定値
計算表,追加,計算表変数:10,CD:10,-,,計算式
計算表,追加,計算表変数:11,<内部変数>,-,,計算式
計算表,追加,計算表変数:12,S3_FG,-,,計算式
計算表,追加,計算表変数:13,CD:13,-,,計算式
計算表,追加,計算表変数:14,<上位代価より受け取る変数>,-,,計算式
計算表,追加,計算表変数:15,j1,-,,計算式
計算表,追加,計算表変数:16,D1R,-,S1,計算式
計算表,追加,計算表変数:17,D1T,-,SO,計算式
質問,変更,質問No:1,養生マット(各種),養生マット,養生マット(各種),表示名変更 / バージョン更新
質問,変更,質問No:2,養生マット材料の単位選択,終点,養生マット材料の単位選択,表示名変更 / バージョン更新
質問,追加,質問No:3,養生マット規格,-,選択式,2026/05/29 01:27:32
質問,追加,質問No:4,1m2当り養生マット使用量,-,数値入力,2026/05/29 01:27:32
質問,追加,質問No:5,養生マット(合成不織布系 厚さ3mm),-,SitsumonKind:8,2026/05/29 01:27:32
質問,追加,質問No:6,養生マット(ウレタンフォーム系 厚さ10mm),-,SitsumonKind:8,2026/05/29 01:27:32
質問,追加,質問No:7,終点,-,終点,2017/04/01 00:00:00
質問設定,追加,質問No:4,S1b,-,変数:S1b / 計算表変数:4 / 規格名計上:なし,規格名計上:なし
選択肢,追加,質問No:2,養生マット材料の単位選択,-,,
選択肢,追加,質問No:2,養生マット材料の単位選択,-,,
選択肢,追加,質問No:2,養生マット材料の単位選択,-,単位区分,
選択肢,追加,質問No:2,養生マット材料の単位選択,-,1,
選択肢,追加,質問No:2,養生マット材料の単位選択,-,2,
フロー,変更,BoxNo:1,養生マット規格,質問No:1 CallBox:[2],"質問No:3 CallBox:[2, 3, 4]",
フロー,変更,BoxNo:2,養生マット(合成不織布系 厚さ3mm),質問No:2 CallBox:[],質問No:5 CallBox:[5],
フロー,追加,BoxNo:3,養生マット(ウレタンフォーム系 厚さ10mm),-,質問No:6,CallBox→[養生マット材料の単位選択]
フロー,追加,BoxNo:4,養生マット(各種),-,質問No:1,CallBox→[養生マット材料の単位選択]
フロー,追加,BoxNo:5,養生マット材料の単位選択,-,質問No:2,"CallBox→[BoxNo:6（Sitsumon未定義）, 1m2当り養生マット使用量]"
フロー,追加,BoxNo:6,BoxNo:6,-,質問No:None,CallBox→[終点]
フロー,追加,BoxNo:7,1m2当り養生マット使用量,-,質問No:4,CallBox→[終点]
フロー,追加,BoxNo:9,終点,-,質問No:7,
