修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,J1条件を追加する,partial,計算表/追加/CD:10,計算表変数:10,,,OK
?,それぞれの単価DBを用意し選択した規格でデフォルト実行するようにする,unmatched,,,,,未評価
?,各種の際、直入の質問を付けるのではなく、指定単価（5-0-33-63527）で開かせる,unmatched,,,,,未評価
?,各種があるので単位選択の動作を追加する,partial,計算表/追加/<内部変数>,計算表変数:11,,,OK
計算表,(step1側のみ/ノイズ) S1,diff_only_ノイズ,計算表/変更/S1,計算表変数:2,,,-
計算表,(step1側のみ/ノイズ) S1a,diff_only_ノイズ,計算表/変更/S1a,計算表変数:3,,,-
計算表,(step1側のみ/ノイズ) CD:5,diff_only_ノイズ,計算表/変更/CD:5,計算表変数:5,,,-
計算表,(step1側のみ/ノイズ) SO,diff_only_ノイズ,計算表/変更/SO,計算表変数:7,,,-
計算表,(step1側のみ/ノイズ) TN,diff_only_ノイズ,計算表/変更/TN,計算表変数:8,,,-
計算表,(step1側のみ/ノイズ) S,diff_only_ノイズ,計算表/変更/S,計算表変数:9,,,-
計算表,(step1側のみ/ノイズ) S3_FG,diff_only_ノイズ,計算表/追加/S3_FG,計算表変数:12,,,-
計算表,(step1側のみ/ノイズ) CD:13,diff_only_ノイズ,計算表/追加/CD:13,計算表変数:13,,,-
計算表,(step1側のみ/ノイズ) <上位代価より受け取る変数>,diff_only_ノイズ,計算表/追加/<上位代価より受け取る変数>,計算表変数:14,,,-
計算表,(step1側のみ/ノイズ) j1,diff_only_ノイズ,計算表/追加/j1,計算表変数:15,,,-
計算表,(step1側のみ/ノイズ) D1R,diff_only_ノイズ,計算表/追加/D1R,計算表変数:16,,,-
計算表,(step1側のみ/ノイズ) D1T,diff_only_ノイズ,計算表/追加/D1T,計算表変数:17,,,-
質問,(step1側のみ/ノイズ) 養生マット(各種),diff_only_ノイズ,質問/変更/養生マット(各種),質問No:1,,,-
質問,(step1側のみ/ノイズ) 養生マット材料の単位選択,diff_only_ノイズ,質問/変更/養生マット材料の単位選択,質問No:2,,,-
質問,(step1側のみ/要確認(未解釈)) 養生マット規格,diff_only_要確認(未解釈),質問/追加/養生マット規格,質問No:3,,,-
質問,(step1側のみ/要確認(未解釈)) 1m2当り養生マット使用量,diff_only_要確認(未解釈),質問/追加/1m2当り養生マット使用量,質問No:4,,,-
質問,(step1側のみ/要確認(未解釈)) 養生マット(合成不織布系 厚さ3mm),diff_only_要確認(未解釈),質問/追加/養生マット(合成不織布系 厚さ3mm),質問No:5,,,-
質問,(step1側のみ/要確認(未解釈)) 養生マット(ウレタンフォーム系 厚さ10mm),diff_only_要確認(未解釈),質問/追加/養生マット(ウレタンフォーム系 厚さ10mm),質問No:6,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/追加/終点,質問No:7,,,-
質問設定,(step1側のみ/要確認(未解釈)) S1b,diff_only_要確認(未解釈),質問設定/追加/S1b,質問No:4,,,-
