カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,変更,代価表:1,TankaCD:32-1-102-33-175959,2行,1行,行数変更
計算表,変更,計算表変数:2,S1,日/各単位,日/100m3,単位変更
計算表,変更,計算表変数:3,s1,各単位,日,単位変更
計算表,変更,計算表変数:4,D,各単位/日,m3/日,単位変更
計算表,変更,計算表変数:7,QPD,,D,計算式
計算表,変更,計算表変数:8,D1R,D,S1,計算式
計算表,削除,計算表変数:9,D1R,S1,-,
質問,変更,質問No:2,工種区分,工種区分,工種区分,バージョン更新
質問,変更,質問No:5,終点,代価表1枚目,終点,表示名変更 / 実行種別変更(必ず実行→None)
質問,削除,質問No:1,代価表の単位選択,-,-,2017/04/01 00:00:00
質問,削除,質問No:6,代価表2枚目,-,-,2017/04/01 00:00:00
質問,削除,質問No:7,終点,-,-,2017/04/01 00:00:00
選択肢,変更,質問No:2,工種区分,代価表の単位選択,日当り施工量(各単位/日),選択肢テキスト変更(3行)
選択肢,変更,質問No:4,施工数量,規格名計上,日当り施工量(各単位/日),選択肢テキスト変更(3行)
選択肢,削除,質問No:2,工種区分,1,-,
選択肢,削除,質問No:2,工種区分,1,-,
フロー,変更,BoxNo:1,工種区分,"質問No:2 CallBox:[2, 3, 4, 5]","質問No:2 CallBox:[2, 3]",
フロー,変更,BoxNo:6,終点,"質問No:1 CallBox:[7, 8]",質問No:5 CallBox:[],
フロー,削除,BoxNo:4,BoxNo:4,質問No:None,-,
フロー,削除,BoxNo:5,BoxNo:5,質問No:None,-,
フロー,削除,BoxNo:7,代価表1枚目,質問No:5,-,
フロー,削除,BoxNo:8,代価表2枚目,質問No:6,-,
フロー,削除,BoxNo:9,終点,質問No:7,-,
