修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
質問,No2　工種区分を修正,category_partial,(同カテゴリの差分あり),,,,OK
質問,掘削積込､積込み　→　掘削,category_partial,(同カテゴリの差分あり),,,,OK
質問,舗装版破砕積込　→　行削除,partial,質問/削除/代価表の単位選択,質問No:1,,,OK
質問,床掘り　→　床掘,category_partial,(同カテゴリの差分あり),,,,OK
質問,埋戻し　→　行削除 / No4　規格名計上を修正 / 「代価表の単位選択」質問削除（関連する修正）,partial,質問/削除/代価表2枚目,質問No:6,,,OK
代価表,(step1側のみ/ノイズ) TankaCD:32-1-102-33-175959,diff_only_ノイズ,代価表/変更/TankaCD:32-1-102-33-175959,代価表:1,,,-
計算表,(step1側のみ/ノイズ) S1,diff_only_ノイズ,計算表/変更/S1,計算表変数:2,,,-
計算表,(step1側のみ/ノイズ) s1,diff_only_ノイズ,計算表/変更/s1,計算表変数:3,,,-
計算表,(step1側のみ/ノイズ) D,diff_only_ノイズ,計算表/変更/D,計算表変数:4,,,-
計算表,(step1側のみ/ノイズ) QPD,diff_only_ノイズ,計算表/変更/QPD,計算表変数:7,,,-
計算表,(step1側のみ/ノイズ) D1R,diff_only_ノイズ,計算表/変更/D1R,計算表変数:8,,,-
計算表,(step1側のみ/ノイズ) D1R,diff_only_ノイズ,計算表/削除/D1R,計算表変数:9,,,-
質問,(step1側のみ/ノイズ) 工種区分,diff_only_ノイズ,質問/変更/工種区分,質問No:2,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/変更/終点,質問No:5,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/削除/終点,質問No:7,,,-
選択肢,(step1側のみ/ノイズ) 工種区分,diff_only_ノイズ,選択肢/変更/工種区分,質問No:2,,,-
選択肢,(step1側のみ/ノイズ) 施工数量,diff_only_ノイズ,選択肢/変更/施工数量,質問No:4,,,-
選択肢,(step1側のみ/ノイズ) 工種区分,diff_only_ノイズ,選択肢/削除/工種区分,質問No:2,,,-
選択肢,(step1側のみ/ノイズ) 工種区分,diff_only_ノイズ,選択肢/削除/工種区分,質問No:2,,,-
フロー,(step1側のみ/ノイズ) 工種区分,diff_only_ノイズ,フロー/変更/工種区分,BoxNo:1,,,-
フロー,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,フロー/変更/終点,BoxNo:6,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:4,diff_only_要確認(未解釈),フロー/削除/BoxNo:4,BoxNo:4,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:5,diff_only_要確認(未解釈),フロー/削除/BoxNo:5,BoxNo:5,,,-
フロー,(step1側のみ/要確認(未解釈)) 代価表1枚目,diff_only_要確認(未解釈),フロー/削除/代価表1枚目,BoxNo:7,,,-
フロー,(step1側のみ/要確認(未解釈)) 代価表2枚目,diff_only_要確認(未解釈),フロー/削除/代価表2枚目,BoxNo:8,,,-
フロー,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,フロー/削除/終点,BoxNo:9,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 5件,完全マッチ: 0,部分マッチ: 5,未マッチ: 0,,,緩和一致率: 100%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 0,
【最終判定】,,,,,,,最終一致率: 100%
【最終結論】,[要確認] 過剰側Claude未解釈4件,,,,,,
【step1側のみ(過剰)】,合計: 21,要確認候補: 4,ノイズ: 17,カバー済: 0,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 4,
