カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,追加,代価表:8,TankaCD:32-1-201-32-565,-,2行,
代価表,削除,代価表:6,TankaCD:32-1-201-32-555,2行,-,
計算表,追加,計算表変数:15,CD:15,-,,計算式
計算表,追加,計算表変数:22,CD:22,-,,計算式
計算表,追加,計算表変数:33,CD:33,-,,計算式
計算表,追加,計算表変数:40,CD:40,-,,計算式
計算表,追加,計算表変数:55,CD:55,-,,計算式
計算表,追加,計算表変数:63,CD:63,-,,計算式
計算表,追加,計算表変数:68,CD:68,-,,計算式
計算表,追加,計算表変数:72,CD:72,-,,計算式
計算表,削除,計算表変数:86,CD:86,,-,
計算表,削除,計算表変数:87,CD:87,,-,
計算表,削除,計算表変数:88,CD:88,,-,
計算表,削除,計算表変数:89,CD:89,,-,
計算表,削除,計算表変数:90,CD:90,,-,
計算表,削除,計算表変数:91,CD:91,,-,
計算表,削除,計算表変数:92,CD:92,,-,
計算表,削除,計算表変数:93,CD:93,,-,
質問,変更,質問No:9,機械質量区分,機械質量区分,機械質量区分,バージョン更新
質問,変更,質問No:71,機械区分,機械区分,機械区分,バージョン更新
質問,変更,質問No:72,機械区分,機械区分,機械区分,バージョン更新
質問,変更,質問No:73,クローラ式杭打機,クローラ式杭打機,クローラ式杭打機,バージョン更新
質問,変更,質問No:74,中層混合処理機,中層混合処理機,中層混合処理機,バージョン更新
質問,変更,質問No:75,地盤改良機械,地盤改良機械,地盤改良機械,バージョン更新
