修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
質問,"質問No71,72",matched,質問/変更/機械区分,質問No:71,,,OK
質問,資料通りに文字を修正 / 規格名計上設定要,category_partial,(同カテゴリの差分あり),,,,OK
質問,タスク #607356: 65-1-32-37751 重建設機械分解組立(SC:65-1-32-37750 重建設機械分解組立輸送含む),category_partial,(同カテゴリの差分あり),,,,OK
質問,にて一部文字修正完了しているところあり,category_partial,(同カテゴリの差分あり),,,,OK
代価表,(step1側のみ/要確認(未解釈)) TankaCD:32-1-201-32-565,diff_only_要確認(未解釈),代価表/追加/TankaCD:32-1-201-32-565,代価表:8,,,-
代価表,(step1側のみ/要確認(未解釈)) TankaCD:32-1-201-32-555,diff_only_要確認(未解釈),代価表/削除/TankaCD:32-1-201-32-555,代価表:6,,,-
計算表,(step1側のみ/ノイズ) CD:15,diff_only_ノイズ,計算表/追加/CD:15,計算表変数:15,,,-
計算表,(step1側のみ/ノイズ) CD:22,diff_only_ノイズ,計算表/追加/CD:22,計算表変数:22,,,-
計算表,(step1側のみ/ノイズ) CD:33,diff_only_ノイズ,計算表/追加/CD:33,計算表変数:33,,,-
計算表,(step1側のみ/ノイズ) CD:40,diff_only_ノイズ,計算表/追加/CD:40,計算表変数:40,,,-
計算表,(step1側のみ/ノイズ) CD:55,diff_only_ノイズ,計算表/追加/CD:55,計算表変数:55,,,-
計算表,(step1側のみ/ノイズ) CD:63,diff_only_ノイズ,計算表/追加/CD:63,計算表変数:63,,,-
計算表,(step1側のみ/ノイズ) CD:68,diff_only_ノイズ,計算表/追加/CD:68,計算表変数:68,,,-
計算表,(step1側のみ/ノイズ) CD:72,diff_only_ノイズ,計算表/追加/CD:72,計算表変数:72,,,-
計算表,(step1側のみ/ノイズ) CD:86,diff_only_ノイズ,計算表/削除/CD:86,計算表変数:86,,,-
計算表,(step1側のみ/ノイズ) CD:87,diff_only_ノイズ,計算表/削除/CD:87,計算表変数:87,,,-
計算表,(step1側のみ/ノイズ) CD:88,diff_only_ノイズ,計算表/削除/CD:88,計算表変数:88,,,-
計算表,(step1側のみ/ノイズ) CD:89,diff_only_ノイズ,計算表/削除/CD:89,計算表変数:89,,,-
計算表,(step1側のみ/ノイズ) CD:90,diff_only_ノイズ,計算表/削除/CD:90,計算表変数:90,,,-
計算表,(step1側のみ/ノイズ) CD:91,diff_only_ノイズ,計算表/削除/CD:91,計算表変数:91,,,-
計算表,(step1側のみ/ノイズ) CD:92,diff_only_ノイズ,計算表/削除/CD:92,計算表変数:92,,,-
計算表,(step1側のみ/ノイズ) CD:93,diff_only_ノイズ,計算表/削除/CD:93,計算表変数:93,,,-
質問,(step1側のみ/ノイズ) 機械質量区分,diff_only_ノイズ,質問/変更/機械質量区分,質問No:9,,,-
質問,(step1側のみ/ノイズ) 機械区分,diff_only_ノイズ,質問/変更/機械区分,質問No:72,,,-
質問,(step1側のみ/ノイズ) クローラ式杭打機,diff_only_ノイズ,質問/変更/クローラ式杭打機,質問No:73,,,-
質問,(step1側のみ/ノイズ) 中層混合処理機,diff_only_ノイズ,質問/変更/中層混合処理機,質問No:74,,,-
質問,(step1側のみ/ノイズ) 地盤改良機械,diff_only_ノイズ,質問/変更/地盤改良機械,質問No:75,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 4件,完全マッチ: 1,部分マッチ: 3,未マッチ: 0,,,緩和一致率: 100%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 0,
【最終判定】,,,,,,,最終一致率: 100%
【最終結論】,[要確認] 過剰側Claude未解釈2件,,,,,,
【step1側のみ(過剰)】,合計: 23,要確認候補: 2,ノイズ: 21,カバー済: 0,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 2,
