修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,文字変更 / 文字列置換,partial,代価表/変更/TankaCD:32-1-102-33-176450,代価表:1,,,OK
?,文字変更　～機械経費　⇒　～機械経費加算額,matched,計算表/変更/S1,計算表変数:2,,,OK
計算表,(step1側のみ/ノイズ) BK,diff_only_ノイズ,計算表/変更/BK,計算表変数:5,,,-
質問,(step1側のみ/ノイズ) 1日当りのMC/MGバックホウ技術機械経費加算額,diff_only_ノイズ,質問/変更/1日当りのMC/MGバックホウ技術機械経費加算額,質問No:1,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 2件,完全マッチ: 1,部分マッチ: 1,未マッチ: 0,,,緩和一致率: 100%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 0,
【最終判定】,,,,,,,最終一致率: 100%
【最終結論】,[OK] 実質的に問題なし,,,,,,
【step1側のみ(過剰)】,合計: 2,要確認候補: 0,ノイズ: 2,カバー済: 0,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 0,
