カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,追加,代価表:35,TankaCD:32-101-3-32-20301,-,1行,
代価表,削除,代価表:31,TankaCD:32-103-3-32-28968,1行,-,
計算表,変更,計算表変数:35,F7,,2.0,計算式→固定値
計算表,変更,計算表変数:36,CD:36,2.0,,固定値→計算式
計算表,変更,計算表変数:38,AAK,,1.0,計算式→固定値
計算表,変更,計算表変数:39,CD:39,1.0,,固定値→計算式
計算表,変更,計算表変数:41,G,,S6,計算式
計算表,変更,計算表変数:42,CD:42,S6,,計算式
計算表,変更,計算表変数:44,A,,S2/A',計算式
計算表,変更,計算表変数:45,A',S2/A',,計算式
計算表,変更,計算表変数:47,C,,S4*C',計算式
計算表,変更,計算表変数:48,C',S4*C',,計算式
計算表,変更,計算表変数:49,D,,S5*D'/100,計算式
計算表,変更,計算表変数:50,D',S5*D'/100,,計算式
計算表,変更,計算表変数:53,Nest,,1.0,計算式→固定値
計算表,変更,計算表変数:54,Nestl,1.0,3.0,固定値
計算表,変更,計算表変数:55,D1B,3.0,S1,固定値→計算式
計算表,変更,計算表変数:56,D2B,S1,S2,計算式
計算表,変更,計算表変数:57,D3B,S2,S3,計算式
計算表,変更,計算表変数:58,D4B,S3,S4,計算式
計算表,変更,計算表変数:59,D5B,S4,S5,計算式
計算表,変更,計算表変数:60,D6B,S5,S6,計算式
計算表,変更,計算表変数:61,D7B,S6,S15,計算式
計算表,変更,計算表変数:62,D8B,S15,S7,計算式
計算表,変更,計算表変数:63,D9B,S7,S8,計算式
計算表,変更,計算表変数:64,D10B,S8,S9,計算式
計算表,変更,計算表変数:65,D11B,S9,S10,計算式
計算表,変更,計算表変数:66,D12B,S10,S11,計算式
計算表,変更,計算表変数:67,D13B,S11,S12,計算式
計算表,変更,計算表変数:68,D14B,S12,S13,計算式
計算表,変更,計算表変数:69,D15B,S13,S14,計算式
計算表,変更,計算表変数:70,ASVar,S14,1.0,計算式→固定値
計算表,削除,計算表変数:71,ASVar,1.0,-,
質問,変更,質問No:50,鉄筋工,鉄筋工,鉄筋工,バージョン更新
質問,削除,質問No:49,施工規模,-,-,2017/04/01 00:00:00
質問設定,変更,質問No:50,鉄筋工,F1/F2/F7,F1/F7,子代価送り変数変更 削除:F2
質問設定,変更,質問No:50,鉄筋工,32-103-3-32-28968,32-101-3-32-20301,子代価計上先変更
質問設定,変更,質問No:50,鉄筋工,32-103-3-32-28968,32-101-3-32-20301,既定子代価変更
フロー,変更,BoxNo:70,鉄筋工の計上,"質問No:48 CallBox:[72, 71]","質問No:48 CallBox:[14, 73]",
フロー,削除,BoxNo:71,BoxNo:71,質問No:None,-,
フロー,削除,BoxNo:72,施工規模,質問No:49,-,
