修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
代価表,14行目,category_partial,(同カテゴリの差分あり),,,,OK
代価表,鉄筋工(市場単価)  → 鉄筋工 加工･組立 (WB240750)  に差し替え,category_partial,(同カテゴリの差分あり),,,,OK
計算表,見出しが＜鉄筋工市場単価＞になってるので名称変更,partial,計算表/変更/F7,計算表変数:35,,,OK
計算表,施工規模ﾌﾗｸﾞを削除,partial,計算表/削除/ASVar,計算表変数:71,,,OK
質問,計上先とデフォルト位置を「65-1-32-20301」に差し替え,category_partial,(同カテゴリの差分あり),,,,OK
質問,送り変数を削除,partial,質問/削除/施工規模,質問No:49,,,OK
質問,削除 / 送り変数を削除するため,category_partial,(同カテゴリの差分あり),,,,OK
代価表,(step1側のみ/要確認(未解釈)) TankaCD:32-101-3-32-20301,diff_only_要確認(未解釈),代価表/追加/TankaCD:32-101-3-32-20301,代価表:35,,,-
代価表,(step1側のみ/要確認(未解釈)) TankaCD:32-103-3-32-28968,diff_only_要確認(未解釈),代価表/削除/TankaCD:32-103-3-32-28968,代価表:31,,,-
計算表,(step1側のみ/ノイズ) CD:36,diff_only_ノイズ,計算表/変更/CD:36,計算表変数:36,,,-
計算表,(step1側のみ/ノイズ) AAK,diff_only_ノイズ,計算表/変更/AAK,計算表変数:38,,,-
計算表,(step1側のみ/ノイズ) CD:39,diff_only_ノイズ,計算表/変更/CD:39,計算表変数:39,,,-
計算表,(step1側のみ/ノイズ) G,diff_only_ノイズ,計算表/変更/G,計算表変数:41,,,-
計算表,(step1側のみ/ノイズ) CD:42,diff_only_ノイズ,計算表/変更/CD:42,計算表変数:42,,,-
計算表,(step1側のみ/ノイズ) A,diff_only_ノイズ,計算表/変更/A,計算表変数:44,,,-
計算表,(step1側のみ/ノイズ) A',diff_only_ノイズ,計算表/変更/A',計算表変数:45,,,-
計算表,(step1側のみ/ノイズ) C,diff_only_ノイズ,計算表/変更/C,計算表変数:47,,,-
計算表,(step1側のみ/ノイズ) C',diff_only_ノイズ,計算表/変更/C',計算表変数:48,,,-
計算表,(step1側のみ/ノイズ) D,diff_only_ノイズ,計算表/変更/D,計算表変数:49,,,-
計算表,(step1側のみ/ノイズ) D',diff_only_ノイズ,計算表/変更/D',計算表変数:50,,,-
計算表,(step1側のみ/ノイズ) Nest,diff_only_ノイズ,計算表/変更/Nest,計算表変数:53,,,-
計算表,(step1側のみ/ノイズ) Nestl,diff_only_ノイズ,計算表/変更/Nestl,計算表変数:54,,,-
計算表,(step1側のみ/ノイズ) D1B,diff_only_ノイズ,計算表/変更/D1B,計算表変数:55,,,-
計算表,(step1側のみ/ノイズ) D2B,diff_only_ノイズ,計算表/変更/D2B,計算表変数:56,,,-
計算表,(step1側のみ/ノイズ) D3B,diff_only_ノイズ,計算表/変更/D3B,計算表変数:57,,,-
計算表,(step1側のみ/ノイズ) D4B,diff_only_ノイズ,計算表/変更/D4B,計算表変数:58,,,-
計算表,(step1側のみ/ノイズ) D5B,diff_only_ノイズ,計算表/変更/D5B,計算表変数:59,,,-
計算表,(step1側のみ/ノイズ) D6B,diff_only_ノイズ,計算表/変更/D6B,計算表変数:60,,,-
計算表,(step1側のみ/ノイズ) D7B,diff_only_ノイズ,計算表/変更/D7B,計算表変数:61,,,-
計算表,(step1側のみ/ノイズ) D8B,diff_only_ノイズ,計算表/変更/D8B,計算表変数:62,,,-
計算表,(step1側のみ/ノイズ) D9B,diff_only_ノイズ,計算表/変更/D9B,計算表変数:63,,,-
計算表,(step1側のみ/ノイズ) D10B,diff_only_ノイズ,計算表/変更/D10B,計算表変数:64,,,-
計算表,(step1側のみ/ノイズ) D11B,diff_only_ノイズ,計算表/変更/D11B,計算表変数:65,,,-
計算表,(step1側のみ/ノイズ) D12B,diff_only_ノイズ,計算表/変更/D12B,計算表変数:66,,,-
計算表,(step1側のみ/ノイズ) D13B,diff_only_ノイズ,計算表/変更/D13B,計算表変数:67,,,-
計算表,(step1側のみ/ノイズ) D14B,diff_only_ノイズ,計算表/変更/D14B,計算表変数:68,,,-
計算表,(step1側のみ/ノイズ) D15B,diff_only_ノイズ,計算表/変更/D15B,計算表変数:69,,,-
計算表,(step1側のみ/ノイズ) ASVar,diff_only_ノイズ,計算表/変更/ASVar,計算表変数:70,,,-
質問,(step1側のみ/ノイズ) 鉄筋工,diff_only_ノイズ,質問/変更/鉄筋工,質問No:50,,,-
フロー,(step1側のみ/ノイズ) 鉄筋工の計上,diff_only_ノイズ,フロー/変更/鉄筋工の計上,BoxNo:70,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:71,diff_only_要確認(未解釈),フロー/削除/BoxNo:71,BoxNo:71,,,-
フロー,(step1側のみ/カバー済) 施工規模,diff_only_カバー済,フロー/削除/施工規模,BoxNo:72,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 7件,完全マッチ: 0,部分マッチ: 7,未マッチ: 0,,,緩和一致率: 100%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 0,
【最終判定】,,,,,,,最終一致率: 100%
【最終結論】,[要確認] 過剰側Claude未解釈3件,,,,,,
【step1側のみ(過剰)】,合計: 35,要確認候補: 3,ノイズ: 31,カバー済: 1,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 3,
