軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,工法種別,fix,1,工法種別,,SitsumonKind=19,
AX-002,橋長,fix,2,橋長,,SitsumonKind=17,
AX-003,支間長(標準45m以下),fix,3,支間長(標準45m以下),,SitsumonKind=17,
AX-004,橋体幅員,fix,4,橋体幅員,,SitsumonKind=17,
AX-005,架設部材質量(標準60t/本以下),fix,5,架設部材質量(標準60t/本以下),,SitsumonKind=17,
AX-006,主桁本数,fix,6,主桁本数,,SitsumonKind=17,
AX-007,支承工の数量,fix,7,支承工の数量,,SitsumonKind=17,
AX-008,桁の架設方法,fix,10,桁の架設方法,,SitsumonKind=19,
AX-009,日当り架設質量(トラッククレーン架設),auto,11,日当り架設質量(トラッククレーン架設)(固定),自動確定 (全選択可能行がAutoSelectJoken付き・ユーザ選択なし),SitsumonKind=19,
AX-010,本締工の計上,fix,31,本締工の計上,,SitsumonKind=19,
AX-011,横桁取付工,fix,33,横桁取付工,,SitsumonKind=17,
AX-012,足場工の計上,fix,36,足場工の計上,,SitsumonKind=19,
AX-013,防護工の計上,fix,38,防護工の計上,,SitsumonKind=19,
AX-014,登り桟橋設置個所数,fix,40,登り桟橋設置個所数,,SitsumonKind=17,
AX-015,床版工の計上,fix,43,床版工の計上,,SitsumonKind=19,
AX-016,型枠工の数量,fix,44,型枠工の数量,,SitsumonKind=17,
AX-017,子代価の積算方式決定,auto,56,子代価の積算方式決定(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
AX-018,鉄筋工の数量,fix,47,鉄筋工の数量,,SitsumonKind=17,
AX-019,コンクリート工の数量,fix,51,コンクリート工の数量,,SitsumonKind=17,
