軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,平面形状,vary,2,平面形状,新規工種:全選択肢網羅,SitsumonKind=19,
AX-002,地盤条件,vary,3,地盤条件,新規工種:全選択肢網羅,SitsumonKind=19,
AX-003,工法,vary,5,工法,新規工種:全選択肢網羅,SitsumonKind=19,
AX-004,サンドパイル部の杭長(m),fix,6,サンドパイル部の杭長(m),,SitsumonKind=17,
AX-005,資材計上区分,vary,10,資材計上区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-006,中詰材材料の単位選択,vary,12,中詰材材料の単位選択,新規工種:全選択肢網羅,SitsumonKind=19,
AX-007,工法,auto,4,工法(固定),自動確定 (AutoSelectJokenの駆動変数が確定),SitsumonKind=19,
AX-008,サンドパイル部の杭径(m),fix,8,サンドパイル部の杭径(m),,SitsumonKind=17,
AX-009,(ホイールローダ)排ガス機械の選択,vary,19,(ホイールローダ)排ガス機械の選択,新規工種:全選択肢網羅,SitsumonKind=19,
AX-010,円周率区分,vary,1,円周率区分,新規工種:全選択肢網羅,SitsumonKind=19,
AX-011,サンドドレーン部の杭径(m),fix,9,サンドドレーン部の杭径(m),,SitsumonKind=17,
AX-012,サンドパイル部の杭径(m),fix,20,サンドパイル部の杭径(m),,SitsumonKind=17,
AX-013,サンドドレーン部の杭径(m),fix,23,サンドドレーン部の杭径(m),,SitsumonKind=17,
AX-014,サンドドレーン部の杭長(m),fix,7,サンドドレーン部の杭長(m),,SitsumonKind=17,
AX-015,サンドパイル部の杭長(m),fix,21,サンドパイル部の杭長(m),,SitsumonKind=17,
AX-016,サンドドレーン部の杭長(m),fix,22,サンドドレーン部の杭長(m),,SitsumonKind=17,
AX-017,1本当り中詰材使用量,fix,13,1本当り中詰材使用量,,SitsumonKind=17,
