軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,型枠・打設計上区分,auto,15,型枠・打設計上区分(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
AX-002,ブロック実質量適用区分,fix,1,ブロック実質量適用区分,,SitsumonKind=19,
AX-003,ブロック1個当りの実質量の選択,fix,137,ブロック1個当りの実質量の選択,,SitsumonKind=19,
AX-004,製作区分,fix,2,製作区分,,SitsumonKind=19,
AX-005,10個当りのコンクリート量(割増含まず),fix,5,10個当りのコンクリート量(割増含まず),,SitsumonKind=17,
AX-006,生コンクリート小型車割増額の計上,auto,203,生コンクリート小型車割増額の計上(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-007,ベッド賃料の有無,vary,235,ベッド賃料の有無,選択肢追加,SitsumonKind=19,
AX-008,施工規模による補正,fix,209,施工規模による補正,,SitsumonKind=19,
AX-009,形式による補正,vary,211,形式による補正,選択肢追加,SitsumonKind=19,
AX-010,給熱養生の有無,vary,207,給熱養生の有無,選択肢削除,SitsumonKind=19,
AX-011,ブロック製作転置区分,fix,76,ブロック製作転置区分,,SitsumonKind=19,
AX-012,10個当りの型枠面積,fix,12,10個当りの型枠面積,,SitsumonKind=17,
AX-013,鉄筋の計上選択,fix,23,鉄筋の計上選択,,SitsumonKind=19,
AX-014,鉄筋の使用種類の選択,fix,24,鉄筋の使用種類の選択,絞り込みで強制(vary到達経路),SitsumonKind=19,7
AX-015,1種類目の鉄筋径,vary,27,1種類目の鉄筋径,選択肢削除,SitsumonKind=19,
AX-016,10個当りの鉄筋数量(割増除く:1種類目),fix,25,10個当りの鉄筋数量(割増除く:1種類目),,SitsumonKind=17,
AX-017,2種類目の鉄筋径,vary,37,2種類目の鉄筋径,選択肢削除,SitsumonKind=19,
AX-018,10個当りの鉄筋数量(割増除く:2種類目),fix,35,10個当りの鉄筋数量(割増除く:2種類目),,SitsumonKind=17,
AX-019,吊鉄筋の計上,fix,92,吊鉄筋の計上,,SitsumonKind=19,
AX-020,吊鉄筋の鉄筋径,vary,95,吊鉄筋の鉄筋径,選択肢削除,SitsumonKind=19,
AX-021,10個当りの吊鉄筋の数量(割増除く),fix,93,10個当りの吊鉄筋の数量(割増除く),,SitsumonKind=17,
AX-022,型枠用、コンクリート工用、製作転置用クレーン計上方法,fix,13,型枠用、コンクリート工用、製作転置用クレーン計上方法,,SitsumonKind=19,
AX-023,(ラフテレーンクレーン)賃料長期割引の適用:型枠用,fix,139,(ラフテレーンクレーン)賃料長期割引の適用:型枠用,,SitsumonKind=19,
AX-024,ラフテレーンクレーン規格(長期割引あり):型枠用,fix,140,ラフテレーンクレーン規格(長期割引あり):型枠用,,SitsumonKind=19,
AX-025,(ラフテレーンクレーン)賃料深夜割増の適用:型枠用,auto,143,(ラフテレーンクレーン)賃料深夜割増の適用:型枠用(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-026,(ラフテレーンクレーン)賃料長期割引の適用:製作転置,fix,159,(ラフテレーンクレーン)賃料長期割引の適用:製作転置,,SitsumonKind=19,
AX-027,(ラフテレーンクレーン)賃料深夜割増の適用:製作転置,auto,162,(ラフテレーンクレーン)賃料深夜割増の適用:製作転置(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-028,3種類目の鉄筋径,vary,47,3種類目の鉄筋径,選択肢削除,SitsumonKind=19,
AX-029,4種類目の鉄筋径,vary,57,4種類目の鉄筋径,選択肢削除,SitsumonKind=19,
AX-030,5種類目の鉄筋径,vary,67,5種類目の鉄筋径,選択肢削除,SitsumonKind=19,
AX-031,ベッド賃料の数量,vary,224,ベッド賃料の数量,選択肢削除,SitsumonKind=17,
