カテゴリ,変更種別,ID,名称,旧値,新値,備考
質問,変更,質問No:143,施工歩掛,施工歩掛,施工歩掛,バージョン更新
質問,変更,質問No:149,機械・規格・機種,機械・規格・機種,機械・規格・機種,バージョン更新
質問,変更,質問No:155,職種・燃料等,職種・燃料等,職種・燃料等,バージョン更新
質問,変更,質問No:178,施工歩掛,施工歩掛,施工歩掛,バージョン更新
質問,変更,質問No:394,規格選択(賃料・油圧クローラ),損料・クレーン・超低騒音・後方超小旋回型・2014,規格選択(賃料・油圧クローラ),表示名変更 / バージョン更新
質問,変更,質問No:400,賃料・油圧クローラ・山積1.40m3(平積1.00m3),省人化建設機械試行工事区分,賃料・油圧クローラ・山積1.40m3(平積1.00m3),表示名変更 / バージョン更新
質問,変更,質問No:406,省人化建設機械試行工事区分,損料・クレーン・超低騒音・後方超小旋回型・2014,省人化建設機械試行工事区分,表示名変更 / バージョン更新
質問,変更,質問No:418,損料・クレーン・超低騒音・後方超小旋回型・2014,破砕岩補正分岐,損料・クレーン・超低騒音・後方超小旋回型・2014,表示名変更 / バージョン更新
質問,変更,質問No:440,施工歩掛,施工歩掛,施工歩掛,バージョン更新
質問,変更,質問No:441,施工歩掛,施工歩掛,施工歩掛,バージョン更新
質問,変更,質問No:602,施工歩掛,施工歩掛,施工歩掛,バージョン更新
質問,変更,質問No:773,(バックホウ)賃料長期割引の適用,終点,(バックホウ)賃料長期割引の適用,表示名変更
質問,変更,質問No:774,終点,KnKSC=0,終点,表示名変更 / バージョン更新
質問,変更,質問No:775,KnKSC=0,終点,KnKSC=0,表示名変更 / バージョン更新
質問,変更,質問No:778,KnKSC=0,終点,KnKSC=0,表示名変更 / バージョン更新
質問,変更,質問No:779,終点,クレーン吊t数,終点,表示名変更
質問,変更,質問No:784,クレーン吊t数,省人化建設機械試行工事区分,クレーン吊t数,表示名変更 / バージョン更新
質問,変更,質問No:785,省人化建設機械試行工事区分,KnKSC=0,省人化建設機械試行工事区分,表示名変更 / バージョン更新
質問,変更,質問No:786,KnKSC=0,クレーン吊t数,KnKSC=0,表示名変更 / バージョン更新
質問,変更,質問No:788,クレーン吊t数,終点,クレーン吊t数,表示名変更
質問,変更,質問No:789,終点,KnKSC=1,終点,表示名変更 / バージョン更新
質問,変更,質問No:790,省人化建設機械試行工事区分,KnKSC=0,省人化建設機械試行工事区分,表示名変更 / バージョン更新
質問,追加,質問No:412,破砕岩補正分岐,-,選択式,2026/05/15 00:24:19
