修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,質問No.418を参考に0.8m3用の質問を追加する(損料は5-0-33-193250),matched,質問/変更/損料・クレーン・超低騒音・後方超小旋回型・2014,質問No:418,,,OK
?,フロー「機械機種：ｸﾛｰﾗ型」のX2、Y16に省人化分岐の質問(質問No.406)を置く,matched,質問/変更/省人化建設機械試行工事区分,質問No:406,,,OK
?,省人化側に追加した質問を置き、X23、Y1につなげる,partial,質問/追加/破砕岩補正分岐,質問No:412,,,OK
質問,(step1側のみ/ノイズ) 施工歩掛,diff_only_ノイズ,質問/変更/施工歩掛,質問No:143,,,-
質問,(step1側のみ/ノイズ) 機械・規格・機種,diff_only_ノイズ,質問/変更/機械・規格・機種,質問No:149,,,-
質問,(step1側のみ/ノイズ) 職種・燃料等,diff_only_ノイズ,質問/変更/職種・燃料等,質問No:155,,,-
質問,(step1側のみ/ノイズ) 施工歩掛,diff_only_ノイズ,質問/変更/施工歩掛,質問No:178,,,-
質問,(step1側のみ/ノイズ) 規格選択(賃料・油圧クローラ),diff_only_ノイズ,質問/変更/規格選択(賃料・油圧クローラ),質問No:394,,,-
質問,(step1側のみ/ノイズ) 賃料・油圧クローラ・山積1.40m3(平積1.00m3),diff_only_ノイズ,質問/変更/賃料・油圧クローラ・山積1.40m3(平積1.00m3),質問No:400,,,-
質問,(step1側のみ/ノイズ) 施工歩掛,diff_only_ノイズ,質問/変更/施工歩掛,質問No:440,,,-
質問,(step1側のみ/ノイズ) 施工歩掛,diff_only_ノイズ,質問/変更/施工歩掛,質問No:441,,,-
質問,(step1側のみ/ノイズ) 施工歩掛,diff_only_ノイズ,質問/変更/施工歩掛,質問No:602,,,-
質問,(step1側のみ/ノイズ) (バックホウ)賃料長期割引の適用,diff_only_ノイズ,質問/変更/(バックホウ)賃料長期割引の適用,質問No:773,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/変更/終点,質問No:774,,,-
質問,(step1側のみ/ノイズ) KnKSC=0,diff_only_ノイズ,質問/変更/KnKSC=0,質問No:775,,,-
質問,(step1側のみ/ノイズ) KnKSC=0,diff_only_ノイズ,質問/変更/KnKSC=0,質問No:778,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/変更/終点,質問No:779,,,-
質問,(step1側のみ/ノイズ) クレーン吊t数,diff_only_ノイズ,質問/変更/クレーン吊t数,質問No:784,,,-
質問,(step1側のみ/ノイズ) 省人化建設機械試行工事区分,diff_only_ノイズ,質問/変更/省人化建設機械試行工事区分,質問No:785,,,-
質問,(step1側のみ/ノイズ) KnKSC=0,diff_only_ノイズ,質問/変更/KnKSC=0,質問No:786,,,-
質問,(step1側のみ/ノイズ) クレーン吊t数,diff_only_ノイズ,質問/変更/クレーン吊t数,質問No:788,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/変更/終点,質問No:789,,,-
質問,(step1側のみ/ノイズ) 省人化建設機械試行工事区分,diff_only_ノイズ,質問/変更/省人化建設機械試行工事区分,質問No:790,,,-
質問,(step1側のみ/ノイズ) 損料・クレーン・超低騒音・後方超小旋回型・2014,diff_only_ノイズ,質問/追加/損料・クレーン・超低騒音・後方超小旋回型・2014,質問No:424,,,-
質問,(step1側のみ/ノイズ) 賃料・油圧クローラ・クレーン1.7t(長期割引あり),diff_only_ノイズ,質問/追加/賃料・油圧クローラ・クレーン1.7t(長期割引あり),質問No:430,,,-
質問,(step1側のみ/ノイズ) 賃料・油圧クローラ・クレーン1.7t(長期割引なし),diff_only_ノイズ,質問/追加/賃料・油圧クローラ・クレーン1.7t(長期割引なし),質問No:436,,,-
質問,(step1側のみ/要確認(未解釈)) 損料・超低騒音・排対3次,diff_only_要確認(未解釈),質問/追加/損料・超低騒音・排対3次,質問No:439,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/追加/終点,質問No:776,,,-
質問,(step1側のみ/ノイズ) KnKSC=1,diff_only_ノイズ,質問/追加/KnKSC=1,質問No:791,,,-
質問,(step1側のみ/ノイズ) KnKSC=0,diff_only_ノイズ,質問/追加/KnKSC=0,質問No:792,,,-
質問,(step1側のみ/ノイズ) KnKSC=0,diff_only_ノイズ,質問/削除/KnKSC=0,質問No:777,,,-
選択肢,(step1側のみ/ノイズ) 施工歩掛,diff_only_ノイズ,選択肢/変更/施工歩掛,質問No:143,,,-
選択肢,(step1側のみ/ノイズ) 機械・規格・機種,diff_only_ノイズ,選択肢/変更/機械・規格・機種,質問No:149,,,-
選択肢,(step1側のみ/ノイズ) 職種・燃料等,diff_only_ノイズ,選択肢/変更/職種・燃料等,質問No:155,,,-
選択肢,(step1側のみ/ノイズ) 規格選択(賃料・油圧クローラ),diff_only_ノイズ,選択肢/変更/規格選択(賃料・油圧クローラ),質問No:394,,,-
選択肢,(step1側のみ/ノイズ) 省人化建設機械試行工事区分,diff_only_ノイズ,選択肢/変更/省人化建設機械試行工事区分,質問No:406,,,-
選択肢,(step1側のみ/ノイズ) 損料・クレーン・超低騒音・後方超小旋回型・2014,diff_only_ノイズ,選択肢/変更/損料・クレーン・超低騒音・後方超小旋回型・2014,質問No:418,,,-
選択肢,(step1側のみ/ノイズ) 条件選択,diff_only_ノイズ,選択肢/追加/条件選択,質問No:75,,,-
選択肢,(step1側のみ/ノイズ) 規格選択(賃料・油圧クローラ),diff_only_ノイズ,選択肢/追加/規格選択(賃料・油圧クローラ),質問No:394,,,-
選択肢,(step1側のみ/ノイズ) 省人化建設機械試行工事区分,diff_only_ノイズ,選択肢/追加/省人化建設機械試行工事区分,質問No:406,,,-
選択肢,(step1側のみ/ノイズ) 規格選択(賃料・クレーン付),diff_only_ノイズ,選択肢/追加/規格選択(賃料・クレーン付),質問No:437,,,-
選択肢,(step1側のみ/ノイズ) KnKSC=0,diff_only_ノイズ,選択肢/追加/KnKSC=0,質問No:775,,,-
