軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,単価表数値決定方法,fix,90,単価表数値決定方法,,SitsumonKind=19,
AX-002,条件選択,fix,2,条件選択,絞り込みで強制(vary到達経路),SitsumonKind=19,6
AX-003,施工歩掛,fix,141,施工歩掛,,SitsumonKind=19,
AX-004,条件選択,fix,6,条件選択,,SitsumonKind=19,
AX-005,施工歩掛,fix,159,施工歩掛,,SitsumonKind=19,
AX-006,条件選択,fix,10,条件選択,,SitsumonKind=19,
AX-007,施工歩掛,fix,177,施工歩掛,,SitsumonKind=19,
AX-008,条件選択,fix,99,条件選択,,SitsumonKind=19,
AX-009,施工歩掛,fix,440,施工歩掛,,SitsumonKind=19,
AX-010,条件選択,fix,133,条件選択,,SitsumonKind=19,
AX-011,施工歩掛,fix,602,施工歩掛,,SitsumonKind=19,
AX-012,1日当り損料又は賃料数量,fix,93,1日当り損料又は賃料数量,,SitsumonKind=17,
AX-013,岩石作業による運転損料補正,fix,52,岩石作業による運転損料補正,,SitsumonKind=19,
AX-014,機械機種(損料),fix,23,機械機種(損料),,SitsumonKind=19,
AX-015,条件選択,fix,25,条件選択,,SitsumonKind=19,
AX-016,規格選択(損料・クローラ),fix,249,規格選択(損料・クローラ),,SitsumonKind=19,
AX-017,損料・クローラ・未排対,fix,259,損料・クローラ・未排対,,SitsumonKind=19,
AX-018,供用日当り運転時間適用区分,fix,49,供用日当り運転時間適用区分,,SitsumonKind=19,
AX-019,供用損料に対する補正,auto,377,供用損料に対する補正(固定),"デフォルト実行 (SitsumonExecuteKind=1, SekisanEnv連動なし)",SitsumonKind=19,
AX-020,特殊規格の補正率有無,fix,57,特殊規格の補正率有無,,SitsumonKind=19,
AX-021,特殊規格の基礎価格加減額有無,fix,59,特殊規格の基礎価格加減額有無,,SitsumonKind=19,
AX-022,運転労務職種,fix,62,運転労務職種,,SitsumonKind=19,
AX-023,燃料・電力区分,fix,64,燃料・電力区分,,SitsumonKind=19,
AX-024,条件選択,vary,75,条件選択,選択肢追加,SitsumonKind=19,
AX-025,施工歩掛,vary,143,施工歩掛,選択肢テキスト変更,SitsumonKind=19,
