修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
代価表,資料通りの当り単位に修正,category_partial,(同カテゴリの差分あり),,,,OK
計算表,資料通りの当り単位に修正,category_partial,(同カテゴリの差分あり),,,,OK
代価表,(step1側のみ/要確認(未解釈)) ため池堤体盛立工(刃金土・抱土・さや土),diff_only_要確認(未解釈),代価表/変更/ため池堤体盛立工(刃金土・抱土・さや土),DaikaHyoCD:3,,,-
計算表,(step1側のみ/ノイズ) S1,diff_only_ノイズ,計算表/変更/S1,計算表変数:2,,,-
計算表,(step1側のみ/ノイズ) S2,diff_only_ノイズ,計算表/変更/S2,計算表変数:3,,,-
計算表,(step1側のみ/ノイズ) S3,diff_only_ノイズ,計算表/変更/S3,計算表変数:4,,,-
計算表,(step1側のみ/ノイズ) S4,diff_only_ノイズ,計算表/変更/S4,計算表変数:5,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 2件,完全マッチ: 0,部分マッチ: 2,未マッチ: 0,,,緩和一致率: 100%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 0,
【最終判定】,,,,,,,最終一致率: 100%
【最終結論】,[要確認] 過剰側Claude未解釈1件,,,,,,
【step1側のみ(過剰)】,合計: 5,要確認候補: 1,ノイズ: 4,カバー済: 0,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 1,
