修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,下記DBを読み込みして開始する,unmatched,,,,,未評価
?,\\being.group\Being-組織\積算データ課\作業リスト\歩掛変更リスト\R8歩掛変更\999損料\01_v22329_2026.03.XX全国版(損料(R8建設機械等損料表閲覧版))\01_DB,partial,代価表/追加/TankaCD:32-2-101-32-1,代価表:13,,,OK
?,11_20260310DB損料_令和7年度(2025年度).g9so,partial,計算表/変更/D6B,計算表変数:48,,,OK
代価表,ﾊﾞｯｸﾎｳを65-1-32-30307を追加,matched,代価表/追加/TankaCD:32-101-3-32-30307,代価表:14,,,OK
代価表,特殊作業員を追加,category_partial,(同カテゴリの差分あり),,,,OK
代価表,諸雑費費の備考欄は修正不要（資料変更された部分は商品状態から記載がないため）,category_partial,(同カテゴリの差分あり),,,,OK
代価表,諸雑費の対象行変更,category_partial,(同カテゴリの差分あり),,,,OK
計算表,特殊作業員の行を追加,partial,計算表/追加/S10,計算表変数:130,,,OK
計算表,計算表S2の計算式　資料通りに修正,category_partial,(同カテゴリの差分あり),,,,OK
計算表,日当り施工量の数値を削除（質問No.11に設定し、養生工有無で切り分けできるように）,matched,計算表/削除/ss,計算表変数:117,,,OK
計算表,ﾊﾞｯｸﾎｳに送る変数を、賃料で計上できるように追加する,partial,計算表/追加/S11,計算表変数:131,,,OK
計算表,規格区分の値を99999に設定し、各数値を送る形にする,partial,計算表/追加/K2,計算表変数:133,,,OK
計算表,労務職種・燃料種類は損料単価より、特殊運転手・軽油 / 各運転費に渡す変数を修正、追加、削除する（サブルーチン質問差し替え含む）,partial,計算表/追加/CD:132,計算表変数:132,,,OK
計算表,賃料から損料に変わったﾀｲﾔﾛｰﾗと振動ﾛｰﾗについては、規格区分の値を99999に設定し、各数値を送る形にする,category_partial,(同カテゴリの差分あり),,,,OK
質問,質問No.11、23の数値を修正,matched,質問/変更/養生工,質問No:11,,,OK
質問,質問No.11に日当り施工量の変数列を追加し、資料通りに設定する,matched,質問/追加/フロー切替:適用労務切替(山林砂防工),質問No:45,,,OK
質問,混合深さ単位が　cm→mに変更されたため、文字検索・置換にて修正する,partial,質問/変更/混合深さ,質問No:1,,,OK
質問,ﾊﾞｯｸﾎｳ運転費を追加する,partial,質問/追加/バックホウ運転費,質問No:6,,,OK
質問,各運転費への送り変数を必要に応じて修正,category_partial,(同カテゴリの差分あり),,,,OK
質問,サブルーチン質問を追加・差し替え,partial,質問/追加/終点,質問No:46,,,OK
フロー,新たに追加した質問を配置をする,partial,フロー/追加/バックホウ運転費,BoxNo:16,,,OK
代価表,(step1側のみ/要確認(未解釈)) TankaCD:32-1-102-32-3560,diff_only_要確認(未解釈),代価表/削除/TankaCD:32-1-102-32-3560,代価表:5,,,-
計算表,(step1側のみ/ノイズ) S2,diff_only_ノイズ,計算表/変更/S2,計算表変数:3,,,-
計算表,(step1側のみ/ノイズ) D,diff_only_ノイズ,計算表/変更/D,計算表変数:10,,,-
計算表,(step1側のみ/ノイズ) K1,diff_only_ノイズ,計算表/変更/K1,計算表変数:15,,,-
計算表,(step1側のみ/ノイズ) D2B,diff_only_ノイズ,計算表/変更/D2B,計算表変数:47,,,-
計算表,(step1側のみ/ノイズ) D7B,diff_only_ノイズ,計算表/変更/D7B,計算表変数:49,,,-
計算表,(step1側のみ/ノイズ) D8B,diff_only_ノイズ,計算表/変更/D8B,計算表変数:50,,,-
計算表,(step1側のみ/ノイズ) D9B,diff_only_ノイズ,計算表/変更/D9B,計算表変数:51,,,-
計算表,(step1側のみ/ノイズ) D10B,diff_only_ノイズ,計算表/変更/D10B,計算表変数:52,,,-
計算表,(step1側のみ/ノイズ) D3B,diff_only_ノイズ,計算表/変更/D3B,計算表変数:96,,,-
計算表,(step1側のみ/ノイズ) RF,diff_only_ノイズ,計算表/追加/RF,計算表変数:134,,,-
計算表,(step1側のみ/ノイズ) Rd2,diff_only_ノイズ,計算表/追加/Rd2,計算表変数:135,,,-
計算表,(step1側のみ/ノイズ) NF,diff_only_ノイズ,計算表/追加/NF,計算表変数:136,,,-
計算表,(step1側のみ/ノイズ) Nd2a,diff_only_ノイズ,計算表/追加/Nd2a,計算表変数:137,,,-
計算表,(step1側のみ/ノイズ) Nfg2,diff_only_ノイズ,計算表/追加/Nfg2,計算表変数:138,,,-
計算表,(step1側のみ/ノイズ) CD:139,diff_only_ノイズ,計算表/追加/CD:139,計算表変数:139,,,-
計算表,(step1側のみ/ノイズ) <バックホウ運転費に渡す変数>,diff_only_ノイズ,計算表/追加/<バックホウ運転費に渡す変数>,計算表変数:140,,,-
計算表,(step1側のみ/ノイズ) Sd2a,diff_only_ノイズ,計算表/追加/Sd2a,計算表変数:141,,,-
計算表,(step1側のみ/ノイズ) Nfg2a,diff_only_ノイズ,計算表/追加/Nfg2a,計算表変数:142,,,-
計算表,(step1側のみ/ノイズ) NK2a,diff_only_ノイズ,計算表/追加/NK2a,計算表変数:143,,,-
計算表,(step1側のみ/ノイズ) NFG1a,diff_only_ノイズ,計算表/追加/NFG1a,計算表変数:144,,,-
計算表,(step1側のみ/ノイズ) FG1,diff_only_ノイズ,計算表/追加/FG1,計算表変数:145,,,-
計算表,(step1側のみ/ノイズ) CD:146,diff_only_ノイズ,計算表/追加/CD:146,計算表変数:146,,,-
計算表,(step1側のみ/ノイズ) FG~28,diff_only_ノイズ,計算表/追加/FG~28,計算表変数:147,,,-
計算表,(step1側のみ/ノイズ) CD:148,diff_only_ノイズ,計算表/追加/CD:148,計算表変数:148,,,-
計算表,(step1側のみ/ノイズ) CD:149,diff_only_ノイズ,計算表/追加/CD:149,計算表変数:149,,,-
計算表,(step1側のみ/ノイズ) CD:150,diff_only_ノイズ,計算表/追加/CD:150,計算表変数:150,,,-
計算表,(step1側のみ/ノイズ) FG~05,diff_only_ノイズ,計算表/追加/FG~05,計算表変数:151,,,-
計算表,(step1側のみ/ノイズ) Sd2b,diff_only_ノイズ,計算表/追加/Sd2b,計算表変数:152,,,-
計算表,(step1側のみ/ノイズ) NFG1b,diff_only_ノイズ,計算表/追加/NFG1b,計算表変数:153,,,-
計算表,(step1側のみ/ノイズ) NK2b,diff_only_ノイズ,計算表/追加/NK2b,計算表変数:154,,,-
計算表,(step1側のみ/ノイズ) CD:155,diff_only_ノイズ,計算表/追加/CD:155,計算表変数:155,,,-
計算表,(step1側のみ/ノイズ) FG~10,diff_only_ノイズ,計算表/追加/FG~10,計算表変数:156,,,-
計算表,(step1側のみ/ノイズ) Sd2c,diff_only_ノイズ,計算表/追加/Sd2c,計算表変数:157,,,-
計算表,(step1側のみ/ノイズ) NFG1c,diff_only_ノイズ,計算表/追加/NFG1c,計算表変数:158,,,-
計算表,(step1側のみ/ノイズ) NK2c,diff_only_ノイズ,計算表/追加/NK2c,計算表変数:159,,,-
