軸ID,軸名,種別,SitsumonNo,列ラベル,変更理由,備考,強制行ID
AX-001,混合深さ,vary,1,混合深さ,選択肢テキスト変更,SitsumonKind=19,
AX-002,添加剤の計上,auto,2,添加剤の計上(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
AX-003,添加剤の選択,auto,3,添加剤の選択(固定),自動選択(AutoSelectJoken),SitsumonKind=19,
AX-004,添加剤材料の単位選択,fix,28,添加剤材料の単位選択,,SitsumonKind=19,
AX-005,添加剤使用量,fix,29,添加剤使用量,,SitsumonKind=17,
AX-006,混合用乳剤,fix,7,混合用乳剤,,SitsumonKind=19,
AX-007,混合用乳剤使用量,fix,9,混合用乳剤使用量,,SitsumonKind=17,
AX-008,養生工,vary,11,養生工,選択肢テキスト変更,SitsumonKind=19,
AX-009,(スタビライザ)排ガス機械の選択,vary,33,(スタビライザ)排ガス機械の選択,選択肢テキスト変更,SitsumonKind=19,
AX-010,(モータグレーダ)排ガス機械の選択,vary,16,(モータグレーダ)排ガス機械の選択,選択肢追加,SitsumonKind=19,
AX-011,(ロードローラ)排ガス機械(工種指定)選択,vary,18,(ロードローラ)排ガス機械(工種指定)選択,選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
AX-012,(タイヤローラ)排ガス機械の選択,vary,30,(タイヤローラ)排ガス機械の選択,選択肢追加,SitsumonKind=19,
AX-013,(振動ローラ)排ガス機械の選択,vary,32,(振動ローラ)排ガス機械の選択,選択肢テキスト変更 / 選択肢追加,SitsumonKind=19,
