修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,基本運賃料金を資料通りに修正してください,unmatched,,,,,未評価
?,資料通りの地域に適用するように文字修正してください,unmatched,,,,,未評価
?,単体テスト,unmatched,,,,,未評価
質問,(step1側のみ/ノイズ) 地方(県名)区分,diff_only_ノイズ,質問/変更/地方(県名)区分,質問No:41,,,-
選択肢,(step1側のみ/ノイズ) 地方(県名)区分,diff_only_ノイズ,選択肢/変更/地方(県名)区分,質問No:41,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 3件,完全マッチ: 0,部分マッチ: 0,未マッチ: 3,,,緩和一致率: 0%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 3,
【最終判定】,,,,,,,最終一致率: 0%
【最終結論】,[要確認] 不足側Claude未評価3件,,,,,,
【step1側のみ(過剰)】,合計: 2,要確認候補: 0,ノイズ: 2,カバー済: 0,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 0,
