カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:26,QPD,qpd * K~BIG,qpd * K~BIG *  Q~PDK,計算式
計算表,追加,計算表変数:184,CD:184,-,,計算式
計算表,追加,計算表変数:185,CD:185,-,,計算式
計算表,追加,計算表変数:186,CD:186,-,,計算式
計算表,追加,計算表変数:187,CD:187,-,,計算式
計算表,追加,計算表変数:188,CD:188,-,,計算式
計算表,追加,計算表変数:189,CD:189,-,,計算式
計算表,追加,計算表変数:190,CD:190,-,,計算式
計算表,追加,計算表変数:191,<被災地における歩掛補正>,-,,計算式
計算表,追加,計算表変数:192,J30,-,,計算式
計算表,追加,計算表変数:193,Q~j32,-,"if(Q~Did > 0, Q~Did, if(O~pre == 17, 2, 1))",計算式
計算表,追加,計算表変数:194,Q~PDK,-,"if(J30 == 0, 1, Q~pdk)",計算式
計算表,追加,計算表変数:195,Q~pdk,-,,計算式
計算表,追加,計算表変数:196,O~pre,-,,計算式
計算表,追加,計算表変数:197,Q~Did,-,,計算式
計算表,追加,計算表変数:198,Q~hk2,-,"if(Q~sh2 > 0, Q~sh2, if(O~pre == 17 , 3, 1))",計算式
計算表,追加,計算表変数:199,Q~shk,-,,計算式
計算表,追加,計算表変数:200,Q~sh2,-,,計算式
計算表,追加,計算表変数:201,CD:201,-,,計算式
計算表,追加,計算表変数:202,CD:202,-,,計算式
計算表,追加,計算表変数:203,CD:203,-,,計算式
計算表,追加,計算表変数:204,CD:204,-,,計算式
計算表,追加,計算表変数:205,CD:205,-,,計算式
計算表,追加,計算表変数:206,CD:206,-,,計算式
計算表,削除,計算表変数:171,CD:171,,-,
計算表,削除,計算表変数:172,CD:172,,-,
計算表,削除,計算表変数:173,CD:173,,-,
計算表,削除,計算表変数:174,CD:174,,-,
計算表,削除,計算表変数:175,CD:175,,-,
計算表,削除,計算表変数:176,CD:176,,-,
計算表,削除,計算表変数:177,CD:177,,-,
計算表,削除,計算表変数:178,CD:178,,-,
計算表,削除,計算表変数:179,CD:179,,-,
計算表,削除,計算表変数:180,CD:180,,-,
計算表,削除,計算表変数:182,CD:182,,-,
計算表,削除,計算表変数:183,CD:183,,-,
質問,変更,質問No:8,(アスファルトフィニッシャ)排ガス機械(工種指定)の選択,(アスファルトフィニッシャ)排ガス機械(工種指定)の選択,(アスファルトフィニッシャ)排ガス機械(工種指定)の選択,バージョン更新
質問,変更,質問No:62,日当り作業量補正(被災地),機労材を反映（施工パッケージ）,日当り作業量補正(被災地),表示名変更 / バージョン更新
質問,変更,質問No:63,機労材を反映（施工パッケージ）,平均幅員,機労材を反映（施工パッケージ）,表示名変更 / バージョン更新
質問,変更,質問No:64,平均幅員,フロー切替:適用労務切替(山林砂防工)(施工P),平均幅員,表示名変更 / バージョン更新
質問,変更,質問No:65,フロー切替:適用労務切替(山林砂防工)(施工P),単価選択区分,フロー切替:適用労務切替(山林砂防工)(施工P),表示名変更
質問,変更,質問No:66,単価選択区分,終点,単価選択区分,表示名変更
質問,変更,質問No:67,終点,省庁分岐,終点,表示名変更 / バージョン更新
質問,変更,質問No:68,省庁分岐,Zt2=KRZGroup:,省庁分岐,表示名変更 / バージョン更新
質問,変更,質問No:69,Zt2=KRZGroup:,締固め後密度,Zt2=KRZGroup:,表示名変更 / バージョン更新
質問,変更,質問No:70,締固め後密度,Zt1=KRZGroup:,締固め後密度,表示名変更 / バージョン更新
質問,変更,質問No:72,Zt1=KRZGroup:,材料の規格,Zt1=KRZGroup:,表示名変更 / バージョン更新
質問,変更,質問No:73,材料の規格,アスファルト混合物計上方法,材料の規格,表示名変更
質問,変更,質問No:74,アスファルト混合物計上方法,アスファルト混合物単価,アスファルト混合物計上方法,表示名変更
質問,変更,質問No:75,アスファルト混合物単価,単価選択区分,アスファルト混合物単価,表示名変更 / バージョン更新
質問,変更,質問No:76,単価選択区分,締固め密度表記切替区分,単価選択区分,表示名変更 / バージョン更新
質問,変更,質問No:77,締固め密度表記切替区分,終点,締固め密度表記切替区分,表示名変更 / バージョン更新
質問,追加,質問No:78,終点,-,終点,2017/04/01 00:00:00
質問設定,変更,質問No:8,(アスファルトフィニッシャ)排ガス機械(工種指定)の選択,排ガス未対策型(※標準) クローラ型1.4~3.0m級,排ガス対策型(第3次基準値)(※標準) クローラ型1.4~3.0m級,初期値変更
選択肢,変更,質問No:8,(アスファルトフィニッシャ)排ガス機械(工種指定)の選択,排ガス未対策型(※標準) クローラ型1.4~3.0m級,排ガス未対策型 クローラ型1.4~3.0m級,選択肢テキスト変更(2行)
選択肢,追加,質問No:62,日当り作業量補正(被災地),-,,
選択肢,追加,質問No:62,日当り作業量補正(被災地),-,,
選択肢,追加,質問No:62,日当り作業量補正(被災地),-,被災地の日当り作業量の補正,
選択肢,追加,質問No:62,日当り作業量補正(被災地),-,1,
選択肢,追加,質問No:62,日当り作業量補正(被災地),-,0.9,
フロー,変更,BoxNo:4,終点,質問No:77 CallBox:[],質問No:78 CallBox:[],
フロー,変更,BoxNo:5,機労材を反映（施工パッケージ）,質問No:62 CallBox:[6],質問No:63 CallBox:[6],
フロー,変更,BoxNo:7,平均幅員,"質問No:63 CallBox:[50, 51, 52]","質問No:64 CallBox:[50, 51, 52]",
フロー,変更,BoxNo:19,フロー切替:適用労務切替(山林砂防工)(施工P),質問No:64 CallBox:[26],質問No:65 CallBox:[26],
フロー,変更,BoxNo:23,単価選択区分,"質問No:65 CallBox:[14, 35]","質問No:66 CallBox:[14, 35]",
フロー,変更,BoxNo:26,終点,質問No:66 CallBox:[],質問No:67 CallBox:[],
フロー,変更,BoxNo:57,省庁分岐,"質問No:67 CallBox:[81, 82, 83]","質問No:68 CallBox:[81, 82, 83]",
フロー,変更,BoxNo:62,Zt2=KRZGroup:,質問No:68 CallBox:[46],質問No:69 CallBox:[46],
フロー,変更,BoxNo:65,締固め後密度,質問No:69 CallBox:[80],質問No:70 CallBox:[80],
フロー,変更,BoxNo:75,Zt1=KRZGroup:,質問No:70 CallBox:[12],質問No:71 CallBox:[12],
フロー,変更,BoxNo:80,Zt1=KRZGroup:,質問No:71 CallBox:[12],質問No:72 CallBox:[12],
フロー,変更,BoxNo:85,材料の規格,"質問No:72 CallBox:[104, 108, 109]","質問No:73 CallBox:[104, 108, 109]",
フロー,変更,BoxNo:87,アスファルト混合物計上方法,"質問No:73 CallBox:[21, 88]","質問No:74 CallBox:[21, 88]",
フロー,変更,BoxNo:89,アスファルト混合物単価,質問No:74 CallBox:[65],質問No:75 CallBox:[65],
フロー,変更,BoxNo:105,単価選択区分,"質問No:75 CallBox:[106, 107]","質問No:76 CallBox:[106, 107]",
フロー,変更,BoxNo:113,締固め密度表記切替区分,"質問No:76 CallBox:[55, 115]","質問No:77 CallBox:[55, 115]",
フロー,追加,BoxNo:125,日当り作業量補正区分,-,質問No:33,"CallBox→[日当り作業量補正(道路維持等作業効率低下), 日当り作業量補正(直接入力)]"
