修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,標準単価表が出たので、対象の工種に対して,unmatched,,,,,未評価
?,被災地補正のサブルーチンの反映、追加をしてください,partial,計算表/追加/CD:184,計算表変数:184,,,OK
計算表,(step1側のみ/ノイズ) QPD,diff_only_ノイズ,計算表/変更/QPD,計算表変数:26,,,-
計算表,(step1側のみ/ノイズ) CD:185,diff_only_ノイズ,計算表/追加/CD:185,計算表変数:185,,,-
計算表,(step1側のみ/ノイズ) CD:186,diff_only_ノイズ,計算表/追加/CD:186,計算表変数:186,,,-
計算表,(step1側のみ/ノイズ) CD:187,diff_only_ノイズ,計算表/追加/CD:187,計算表変数:187,,,-
計算表,(step1側のみ/ノイズ) CD:188,diff_only_ノイズ,計算表/追加/CD:188,計算表変数:188,,,-
計算表,(step1側のみ/ノイズ) CD:189,diff_only_ノイズ,計算表/追加/CD:189,計算表変数:189,,,-
計算表,(step1側のみ/ノイズ) CD:190,diff_only_ノイズ,計算表/追加/CD:190,計算表変数:190,,,-
計算表,(step1側のみ/ノイズ) <被災地における歩掛補正>,diff_only_ノイズ,計算表/追加/<被災地における歩掛補正>,計算表変数:191,,,-
計算表,(step1側のみ/ノイズ) J30,diff_only_ノイズ,計算表/追加/J30,計算表変数:192,,,-
計算表,(step1側のみ/ノイズ) Q~j32,diff_only_ノイズ,計算表/追加/Q~j32,計算表変数:193,,,-
計算表,(step1側のみ/ノイズ) Q~PDK,diff_only_ノイズ,計算表/追加/Q~PDK,計算表変数:194,,,-
計算表,(step1側のみ/ノイズ) Q~pdk,diff_only_ノイズ,計算表/追加/Q~pdk,計算表変数:195,,,-
計算表,(step1側のみ/ノイズ) O~pre,diff_only_ノイズ,計算表/追加/O~pre,計算表変数:196,,,-
計算表,(step1側のみ/ノイズ) Q~Did,diff_only_ノイズ,計算表/追加/Q~Did,計算表変数:197,,,-
計算表,(step1側のみ/ノイズ) Q~hk2,diff_only_ノイズ,計算表/追加/Q~hk2,計算表変数:198,,,-
計算表,(step1側のみ/ノイズ) Q~shk,diff_only_ノイズ,計算表/追加/Q~shk,計算表変数:199,,,-
計算表,(step1側のみ/ノイズ) Q~sh2,diff_only_ノイズ,計算表/追加/Q~sh2,計算表変数:200,,,-
計算表,(step1側のみ/ノイズ) CD:201,diff_only_ノイズ,計算表/追加/CD:201,計算表変数:201,,,-
計算表,(step1側のみ/ノイズ) CD:202,diff_only_ノイズ,計算表/追加/CD:202,計算表変数:202,,,-
計算表,(step1側のみ/ノイズ) CD:203,diff_only_ノイズ,計算表/追加/CD:203,計算表変数:203,,,-
計算表,(step1側のみ/ノイズ) CD:204,diff_only_ノイズ,計算表/追加/CD:204,計算表変数:204,,,-
計算表,(step1側のみ/ノイズ) CD:205,diff_only_ノイズ,計算表/追加/CD:205,計算表変数:205,,,-
計算表,(step1側のみ/ノイズ) CD:206,diff_only_ノイズ,計算表/追加/CD:206,計算表変数:206,,,-
計算表,(step1側のみ/ノイズ) CD:171,diff_only_ノイズ,計算表/削除/CD:171,計算表変数:171,,,-
計算表,(step1側のみ/ノイズ) CD:172,diff_only_ノイズ,計算表/削除/CD:172,計算表変数:172,,,-
計算表,(step1側のみ/ノイズ) CD:173,diff_only_ノイズ,計算表/削除/CD:173,計算表変数:173,,,-
計算表,(step1側のみ/ノイズ) CD:174,diff_only_ノイズ,計算表/削除/CD:174,計算表変数:174,,,-
計算表,(step1側のみ/ノイズ) CD:175,diff_only_ノイズ,計算表/削除/CD:175,計算表変数:175,,,-
計算表,(step1側のみ/ノイズ) CD:176,diff_only_ノイズ,計算表/削除/CD:176,計算表変数:176,,,-
計算表,(step1側のみ/ノイズ) CD:177,diff_only_ノイズ,計算表/削除/CD:177,計算表変数:177,,,-
計算表,(step1側のみ/ノイズ) CD:178,diff_only_ノイズ,計算表/削除/CD:178,計算表変数:178,,,-
計算表,(step1側のみ/ノイズ) CD:179,diff_only_ノイズ,計算表/削除/CD:179,計算表変数:179,,,-
計算表,(step1側のみ/ノイズ) CD:180,diff_only_ノイズ,計算表/削除/CD:180,計算表変数:180,,,-
計算表,(step1側のみ/ノイズ) CD:182,diff_only_ノイズ,計算表/削除/CD:182,計算表変数:182,,,-
計算表,(step1側のみ/ノイズ) CD:183,diff_only_ノイズ,計算表/削除/CD:183,計算表変数:183,,,-
質問,(step1側のみ/ノイズ) (アスファルトフィニッシャ)排ガス機械(工種指定)の選択,diff_only_ノイズ,質問/変更/(アスファルトフィニッシャ)排ガス機械(工種指定)の選択,質問No:8,,,-
質問,(step1側のみ/ノイズ) 日当り作業量補正(被災地),diff_only_ノイズ,質問/変更/日当り作業量補正(被災地),質問No:62,,,-
質問,(step1側のみ/ノイズ) 機労材を反映（施工パッケージ）,diff_only_ノイズ,質問/変更/機労材を反映（施工パッケージ）,質問No:63,,,-
質問,(step1側のみ/ノイズ) 平均幅員,diff_only_ノイズ,質問/変更/平均幅員,質問No:64,,,-
質問,(step1側のみ/ノイズ) フロー切替:適用労務切替(山林砂防工)(施工P),diff_only_ノイズ,質問/変更/フロー切替:適用労務切替(山林砂防工)(施工P),質問No:65,,,-
質問,(step1側のみ/ノイズ) 単価選択区分,diff_only_ノイズ,質問/変更/単価選択区分,質問No:66,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/変更/終点,質問No:67,,,-
