カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,削除,代価表:23,TankaCD:32-101-3-32-33911,1行,-,
計算表,変更,計算表変数:18,J1,,1.0,計算式→固定値
計算表,追加,計算表変数:128,CD:128,-,,計算式
計算表,追加,計算表変数:129,CD:129,-,,計算式
計算表,追加,計算表変数:130,CD:130,-,,計算式
計算表,追加,計算表変数:131,CD:131,-,,計算式
計算表,追加,計算表変数:132,CD:132,-,,計算式
計算表,追加,計算表変数:133,CD:133,-,,計算式
計算表,削除,計算表変数:2,J1a,,-,
計算表,削除,計算表変数:19,TH065,,-,
計算表,削除,計算表変数:29,<鉄筋工に送る変数>,,-,
計算表,削除,計算表変数:30,F1,1.0,-,
計算表,削除,計算表変数:31,F3,,-,
計算表,削除,計算表変数:32,F4,,-,
計算表,削除,計算表変数:33,F5,1.0,-,
計算表,削除,計算表変数:34,F6,2.0,-,
計算表,削除,計算表変数:35,F7,2.0,-,
計算表,削除,計算表変数:36,F8,3.0,-,
計算表,削除,計算表変数:43,j5,,-,
計算表,削除,計算表変数:52,J6a,,-,
計算表,削除,計算表変数:58,F2,,-,
計算表,削除,計算表変数:59,LEV_k,,-,
計算表,削除,計算表変数:109,CD:109,,-,
計算表,削除,計算表変数:110,CD:110,,-,
計算表,削除,計算表変数:112,TES,,-,
計算表,削除,計算表変数:113,sijyo,@1,-,
計算表,削除,計算表変数:114,CD:114,,-,
計算表,削除,計算表変数:115,CD:115,,-,
計算表,削除,計算表変数:116,F2S,"if(F2 > 0, F2,
 if(O~Sys == 1, 1, 0))",-,
計算表,削除,計算表変数:117,LEVks,"if(LEV_k > 0, LEV_k,
 if(O~Sys == 1, 2, 0))",-,
計算表,削除,計算表変数:118,sk,2.0,-,
計算表,削除,計算表変数:119,CD:119,,-,
計算表,削除,計算表変数:120,s~4wh,,-,
計算表,削除,計算表変数:121,CD:121,,-,
計算表,削除,計算表変数:122,CD:122,,-,
計算表,削除,計算表変数:125,O~TES,,-,
計算表,削除,計算表変数:126,Lv~TS,,-,
計算表,削除,計算表変数:127,O~Sys,,-,
質問,変更,質問No:30,機労材を反映（施工パッケージ）,市場単価採用誌判定,機労材を反映（施工パッケージ）,表示名変更 / バージョン更新
質問,変更,質問No:31,代価行を規格名へ,鉄筋工,代価行を規格名へ,表示名変更 / バージョン更新
質問,変更,質問No:32,養生工の種類,鉄筋工(標準歩掛・市場単価)計上方法,養生工の種類,表示名変更 / 実行種別変更(必ず実行→None) / バージョン更新
質問,変更,質問No:33,終点,機労材を反映（施工パッケージ）,終点,表示名変更 / 実行種別変更(必ず実行→None)
質問,変更,質問No:34,フロー切替:適用労務切替(山林砂防工)(施工P),代価行を規格名へ,フロー切替:適用労務切替(山林砂防工)(施工P),表示名変更
質問,変更,質問No:36,(ジェットヒータ)賃料長期割引の適用,終点,(ジェットヒータ)賃料長期割引の適用,表示名変更
質問,変更,質問No:37,バックホウ賃料切替区分,鉄筋の有無,バックホウ賃料切替区分,表示名変更 / バージョン更新
質問,変更,質問No:38,終点,フロー切替:適用労務切替(山林砂防工)(施工P),終点,表示名変更 / 実行種別変更(必ず実行→None)
質問,削除,質問No:13,鉄筋工の労務補正,-,-,2017/04/01 00:00:00
質問,削除,質問No:14,鉄筋工,-,-,2017/04/01 00:00:00
