修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,J0化,unmatched,,,,,未評価
?,鉄筋材料、市場単価削除,partial,代価表/削除/TankaCD:32-101-3-32-33911,代価表:23,,,OK
計算表,(step1側のみ/ノイズ) J1,diff_only_ノイズ,計算表/変更/J1,計算表変数:18,,,-
計算表,(step1側のみ/ノイズ) CD:128,diff_only_ノイズ,計算表/追加/CD:128,計算表変数:128,,,-
計算表,(step1側のみ/ノイズ) CD:129,diff_only_ノイズ,計算表/追加/CD:129,計算表変数:129,,,-
計算表,(step1側のみ/ノイズ) CD:130,diff_only_ノイズ,計算表/追加/CD:130,計算表変数:130,,,-
計算表,(step1側のみ/ノイズ) CD:131,diff_only_ノイズ,計算表/追加/CD:131,計算表変数:131,,,-
計算表,(step1側のみ/ノイズ) CD:132,diff_only_ノイズ,計算表/追加/CD:132,計算表変数:132,,,-
計算表,(step1側のみ/ノイズ) CD:133,diff_only_ノイズ,計算表/追加/CD:133,計算表変数:133,,,-
計算表,(step1側のみ/ノイズ) J1a,diff_only_ノイズ,計算表/削除/J1a,計算表変数:2,,,-
計算表,(step1側のみ/ノイズ) TH065,diff_only_ノイズ,計算表/削除/TH065,計算表変数:19,,,-
計算表,(step1側のみ/ノイズ) <鉄筋工に送る変数>,diff_only_ノイズ,計算表/削除/<鉄筋工に送る変数>,計算表変数:29,,,-
計算表,(step1側のみ/ノイズ) F1,diff_only_ノイズ,計算表/削除/F1,計算表変数:30,,,-
計算表,(step1側のみ/ノイズ) F3,diff_only_ノイズ,計算表/削除/F3,計算表変数:31,,,-
計算表,(step1側のみ/ノイズ) F4,diff_only_ノイズ,計算表/削除/F4,計算表変数:32,,,-
計算表,(step1側のみ/ノイズ) F5,diff_only_ノイズ,計算表/削除/F5,計算表変数:33,,,-
計算表,(step1側のみ/ノイズ) F6,diff_only_ノイズ,計算表/削除/F6,計算表変数:34,,,-
計算表,(step1側のみ/ノイズ) F7,diff_only_ノイズ,計算表/削除/F7,計算表変数:35,,,-
計算表,(step1側のみ/ノイズ) F8,diff_only_ノイズ,計算表/削除/F8,計算表変数:36,,,-
計算表,(step1側のみ/ノイズ) j5,diff_only_ノイズ,計算表/削除/j5,計算表変数:43,,,-
計算表,(step1側のみ/ノイズ) J6a,diff_only_ノイズ,計算表/削除/J6a,計算表変数:52,,,-
計算表,(step1側のみ/ノイズ) F2,diff_only_ノイズ,計算表/削除/F2,計算表変数:58,,,-
計算表,(step1側のみ/ノイズ) LEV_k,diff_only_ノイズ,計算表/削除/LEV_k,計算表変数:59,,,-
計算表,(step1側のみ/ノイズ) CD:109,diff_only_ノイズ,計算表/削除/CD:109,計算表変数:109,,,-
計算表,(step1側のみ/ノイズ) CD:110,diff_only_ノイズ,計算表/削除/CD:110,計算表変数:110,,,-
計算表,(step1側のみ/ノイズ) TES,diff_only_ノイズ,計算表/削除/TES,計算表変数:112,,,-
計算表,(step1側のみ/ノイズ) sijyo,diff_only_ノイズ,計算表/削除/sijyo,計算表変数:113,,,-
計算表,(step1側のみ/ノイズ) CD:114,diff_only_ノイズ,計算表/削除/CD:114,計算表変数:114,,,-
計算表,(step1側のみ/ノイズ) CD:115,diff_only_ノイズ,計算表/削除/CD:115,計算表変数:115,,,-
計算表,(step1側のみ/ノイズ) F2S,diff_only_ノイズ,計算表/削除/F2S,計算表変数:116,,,-
計算表,(step1側のみ/ノイズ) LEVks,diff_only_ノイズ,計算表/削除/LEVks,計算表変数:117,,,-
計算表,(step1側のみ/ノイズ) sk,diff_only_ノイズ,計算表/削除/sk,計算表変数:118,,,-
