カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,追加,計算表変数:68,CD:68,-,,計算式
計算表,追加,計算表変数:69,CD:69,-,,計算式
計算表,追加,計算表変数:70,CD:70,-,,計算式
計算表,追加,計算表変数:71,CD:71,-,,計算式
計算表,削除,計算表変数:47,~SYSV,8.0,-,
計算表,削除,計算表変数:64,CD:64,,-,
計算表,削除,計算表変数:65,CD:65,,-,
計算表,削除,計算表変数:66,CD:66,,-,
計算表,削除,計算表変数:67,CD:67,,-,
質問,変更,質問No:24,フロー切替:代価表の当り数量,X1の判断,フロー切替:代価表の当り数量,表示名変更
質問,変更,質問No:25,X2:ダウエルバー計上方法選択,フロー切替:代価表の当り数量,X2:ダウエルバー計上方法選択,表示名変更
質問,変更,質問No:27,チェアー材料費の単位選択,X1:目地の種類,チェアー材料費の単位選択,表示名変更
質問,変更,質問No:28,チェアー材料費の単位選択,AT=当り数量,チェアー材料費の単位選択,表示名変更
質問,変更,質問No:29,X2:ダウエルバー,終点,X2:ダウエルバー,表示名変更
質問,追加,質問No:30,X2:ダウエルバー1本当りの現場着価格,-,数値入力,2017/04/01 00:00:00
質問,追加,質問No:31,X3:チェアー計上方法選択,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:32,X3:チェアー,-,SitsumonKind:8,2017/04/01 00:00:00
質問,追加,質問No:33,X3:チェアー1m当りの現場着価格,-,数値入力,2017/04/01 00:00:00
質問,追加,質問No:34,X2:ダウエルバー計上方法選択,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:35,X2:ダウエルバー,-,SitsumonKind:8,2017/04/01 00:00:00
質問,追加,質問No:36,X2:ダウエルバー1本当りの現場着価格,-,数値入力,2017/04/01 00:00:00
質問,追加,質問No:37,X3:チェアー計上方法選択,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:38,X3:チェアー,-,SitsumonKind:8,2017/04/01 00:00:00
質問,追加,質問No:39,X3:チェアー1m当りの現場着価格,-,数値入力,2017/04/01 00:00:00
質問,追加,質問No:40,1m当りチェアーの使用量,-,数値入力,2017/04/01 00:00:00
質問,追加,質問No:41,1m当りチェアーの使用量,-,数値入力,2017/04/01 00:00:00
質問,追加,質問No:42,X3:チェアー計上方法選択,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:43,X3:チェアー,-,SitsumonKind:8,2017/04/01 00:00:00
質問,追加,質問No:44,X3:チェアー1m当りの現場着価格,-,数値入力,2017/04/01 00:00:00
質問,追加,質問No:45,チェアー材料費の単位選択,-,選択式,2017/04/01 00:00:00
質問,追加,質問No:46,1m当りチェアーの使用量,-,数値入力,2017/04/01 00:00:00
質問,追加,質問No:47,AT=当り数量,-,SitsumonKind:105,2017/04/01 00:00:00
質問,追加,質問No:48,終点,-,終点,2017/04/01 00:00:00
選択肢,変更,質問No:22,X1:目地の種類,X1:目地の種類,ゼロクリア,選択肢テキスト変更(1行)
選択肢,削除,質問No:24,フロー切替:代価表の当り数量,,-,
選択肢,削除,質問No:24,フロー切替:代価表の当り数量,,-,
選択肢,削除,質問No:24,フロー切替:代価表の当り数量,X1の判断,-,
選択肢,削除,質問No:24,フロー切替:代価表の当り数量,"X1=1,2,3の時",-,
選択肢,削除,質問No:24,フロー切替:代価表の当り数量,X1=4の時,-,
選択肢,削除,質問No:24,フロー切替:代価表の当り数量,X1=5の時,-,
フロー,変更,BoxNo:2,AT=当り数量,質問No:28 CallBox:[3],質問No:47 CallBox:[3],
フロー,変更,BoxNo:3,終点,質問No:29 CallBox:[],質問No:48 CallBox:[],
フロー,変更,BoxNo:5,資材計上区分,"質問No:23 CallBox:[6, 7]","質問No:23 CallBox:[57, 7]",
フロー,変更,BoxNo:17,BoxNo:17,質問No:None CallBox:[19],質問No:None CallBox:[50],
フロー,変更,BoxNo:18,1m当りチェアーの使用量,質問No:11 CallBox:[19],質問No:11 CallBox:[50],
フロー,変更,BoxNo:19,目地板,質問No:6 CallBox:[39],質問No:6 CallBox:[68],
フロー,変更,BoxNo:21,X4:タイバー,質問No:7 CallBox:[23],質問No:7 CallBox:[67],
フロー,変更,BoxNo:22,X4:タイバー1本当りの現場着価格,質問No:20 CallBox:[23],質問No:20 CallBox:[67],
フロー,変更,BoxNo:23,BoxNo:23,"質問No:24 CallBox:[24, 25, 26]",質問No:None CallBox:[38],
フロー,変更,BoxNo:24,BoxNo:24,質問No:None CallBox:[32],質問No:None CallBox:[38],
フロー,変更,BoxNo:26,BoxNo:26,質問No:None CallBox:[28],質問No:None CallBox:[38],
フロー,変更,BoxNo:27,BoxNo:27,質問No:8 CallBox:[32],質問No:None CallBox:[38],
フロー,変更,BoxNo:31,BoxNo:31,質問No:None CallBox:[32],質問No:None CallBox:[38],
フロー,変更,BoxNo:39,BoxNo:39,"質問No:27 CallBox:[40, 41, 42, 43, 44]",質問No:None CallBox:[47],
フロー,変更,BoxNo:40,BoxNo:40,質問No:None CallBox:[23],質問No:None CallBox:[54],
フロー,変更,BoxNo:41,チェアー材料費の単位選択,質問No:None CallBox:[23],"質問No:27 CallBox:[65, 66]",
フロー,変更,BoxNo:42,BoxNo:42,質問No:None CallBox:[23],質問No:None CallBox:[65],
フロー,変更,BoxNo:43,チェアー材料費の単位選択,質問No:None CallBox:[23],"質問No:28 CallBox:[62, 63]",
フロー,変更,BoxNo:44,BoxNo:44,質問No:None CallBox:[20],質問No:None CallBox:[62],
フロー,追加,BoxNo:29,X2:ダウエルバー計上方法選択,-,質問No:25,"CallBox→[X2:ダウエルバー, X2:ダウエルバー1本当りの現場着価格]"
フロー,追加,BoxNo:45,X2:ダウエルバー,-,質問No:29,CallBox→[BoxNo:39（Sitsumon未定義）]
フロー,追加,BoxNo:46,X2:ダウエルバー1本当りの現場着価格,-,質問No:30,CallBox→[BoxNo:39（Sitsumon未定義）]
フロー,追加,BoxNo:47,X3:チェアー計上方法選択,-,質問No:31,"CallBox→[X3:チェアー, X3:チェアー1m当りの現場着価格]"
フロー,追加,BoxNo:48,X3:チェアー,-,質問No:32,CallBox→[チェアー材料費の単位選択]
フロー,追加,BoxNo:49,X3:チェアー1m当りの現場着価格,-,質問No:33,CallBox→[BoxNo:42（Sitsumon未定義）]
フロー,追加,BoxNo:50,BoxNo:50,-,質問No:None,CallBox→[BoxNo:23（Sitsumon未定義）]
フロー,追加,BoxNo:51,X2:ダウエルバー計上方法選択,-,質問No:34,"CallBox→[X2:ダウエルバー, X2:ダウエルバー1本当りの現場着価格]"
フロー,追加,BoxNo:52,X2:ダウエルバー,-,質問No:35,CallBox→[BoxNo:40（Sitsumon未定義）]
フロー,追加,BoxNo:53,X2:ダウエルバー1本当りの現場着価格,-,質問No:36,CallBox→[BoxNo:40（Sitsumon未定義）]
フロー,追加,BoxNo:54,X3:チェアー計上方法選択,-,質問No:37,"CallBox→[X3:チェアー, X3:チェアー1m当りの現場着価格]"
フロー,追加,BoxNo:55,X3:チェアー,-,質問No:38,CallBox→[チェアー材料費の単位選択]
フロー,追加,BoxNo:56,X3:チェアー1m当りの現場着価格,-,質問No:39,CallBox→[BoxNo:44（Sitsumon未定義）]
フロー,追加,BoxNo:57,X1:目地の種類,-,質問No:22,"CallBox→[目地板杉板1等材20×170, BoxNo:58（Sitsumon未定義）, BoxNo:59（Sitsumon未定義）, BoxNo:60（Sitsumon未定義）, BoxNo:61（Sitsumon未定義）]"
フロー,追加,BoxNo:58,BoxNo:58,-,質問No:None,CallBox→[X2:ダウエルバー計上方法選択]
フロー,追加,BoxNo:59,BoxNo:59,-,質問No:None,CallBox→[X2:ダウエルバー計上方法選択]
フロー,追加,BoxNo:60,BoxNo:60,-,質問No:None,CallBox→[X5:三角材の有無(目地台)]
フロー,追加,BoxNo:61,BoxNo:61,-,質問No:None,CallBox→[X3:チェアー計上方法選択]
フロー,追加,BoxNo:62,BoxNo:62,-,質問No:None,CallBox→[BoxNo:64（Sitsumon未定義）]
フロー,追加,BoxNo:63,1m当りチェアーの使用量,-,質問No:40,CallBox→[BoxNo:64（Sitsumon未定義）]
フロー,追加,BoxNo:64,BoxNo:64,-,質問No:None,CallBox→[BoxNo:26（Sitsumon未定義）]
フロー,追加,BoxNo:65,BoxNo:65,-,質問No:None,CallBox→[目地板]
フロー,追加,BoxNo:66,1m当りチェアーの使用量,-,質問No:41,CallBox→[目地板]
フロー,追加,BoxNo:67,BoxNo:67,-,質問No:None,CallBox→[BoxNo:24（Sitsumon未定義）]
フロー,追加,BoxNo:68,BoxNo:68,-,質問No:None,CallBox→[BoxNo:27（Sitsumon未定義）]
フロー,追加,BoxNo:69,X3:チェアー計上方法選択,-,質問No:42,"CallBox→[X3:チェアー, X3:チェアー1m当りの現場着価格]"
フロー,追加,BoxNo:70,X3:チェアー,-,質問No:43,CallBox→[チェアー材料費の単位選択]
フロー,追加,BoxNo:71,X3:チェアー1m当りの現場着価格,-,質問No:44,CallBox→[BoxNo:73（Sitsumon未定義）]
フロー,追加,BoxNo:72,チェアー材料費の単位選択,-,質問No:45,"CallBox→[BoxNo:74（Sitsumon未定義）, 1m当りチェアーの使用量]"
フロー,追加,BoxNo:73,BoxNo:73,-,質問No:None,CallBox→[BoxNo:74（Sitsumon未定義）]
フロー,追加,BoxNo:74,BoxNo:74,-,質問No:None,CallBox→[BoxNo:76（Sitsumon未定義）]
