修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,資材計上の動作見直し,unmatched,,,,,未評価
?,「X1:目地の種類」ごとに必要な資材の動作になるようフローを見直し,matched,質問/変更/チェアー材料費の単位選択,質問No:27,,,OK
?,基準書p529/1527 表3-13 通り、各目地種類で該当資材のみ計上する,unmatched,,,,,未評価
計算表,(step1側のみ/ノイズ) CD:68,diff_only_ノイズ,計算表/追加/CD:68,計算表変数:68,,,-
計算表,(step1側のみ/ノイズ) CD:69,diff_only_ノイズ,計算表/追加/CD:69,計算表変数:69,,,-
計算表,(step1側のみ/ノイズ) CD:70,diff_only_ノイズ,計算表/追加/CD:70,計算表変数:70,,,-
計算表,(step1側のみ/ノイズ) CD:71,diff_only_ノイズ,計算表/追加/CD:71,計算表変数:71,,,-
計算表,(step1側のみ/ノイズ) ~SYSV,diff_only_ノイズ,計算表/削除/~SYSV,計算表変数:47,,,-
計算表,(step1側のみ/ノイズ) CD:64,diff_only_ノイズ,計算表/削除/CD:64,計算表変数:64,,,-
計算表,(step1側のみ/ノイズ) CD:65,diff_only_ノイズ,計算表/削除/CD:65,計算表変数:65,,,-
計算表,(step1側のみ/ノイズ) CD:66,diff_only_ノイズ,計算表/削除/CD:66,計算表変数:66,,,-
計算表,(step1側のみ/ノイズ) CD:67,diff_only_ノイズ,計算表/削除/CD:67,計算表変数:67,,,-
質問,(step1側のみ/ノイズ) フロー切替:代価表の当り数量,diff_only_ノイズ,質問/変更/フロー切替:代価表の当り数量,質問No:24,,,-
質問,(step1側のみ/ノイズ) X2:ダウエルバー計上方法選択,diff_only_ノイズ,質問/変更/X2:ダウエルバー計上方法選択,質問No:25,,,-
質問,(step1側のみ/ノイズ) チェアー材料費の単位選択,diff_only_ノイズ,質問/変更/チェアー材料費の単位選択,質問No:28,,,-
質問,(step1側のみ/ノイズ) X2:ダウエルバー,diff_only_ノイズ,質問/変更/X2:ダウエルバー,質問No:29,,,-
質問,(step1側のみ/ノイズ) X2:ダウエルバー1本当りの現場着価格,diff_only_ノイズ,質問/追加/X2:ダウエルバー1本当りの現場着価格,質問No:30,,,-
質問,(step1側のみ/ノイズ) X3:チェアー計上方法選択,diff_only_ノイズ,質問/追加/X3:チェアー計上方法選択,質問No:31,,,-
質問,(step1側のみ/ノイズ) X3:チェアー,diff_only_ノイズ,質問/追加/X3:チェアー,質問No:32,,,-
質問,(step1側のみ/ノイズ) X3:チェアー1m当りの現場着価格,diff_only_ノイズ,質問/追加/X3:チェアー1m当りの現場着価格,質問No:33,,,-
質問,(step1側のみ/ノイズ) X2:ダウエルバー計上方法選択,diff_only_ノイズ,質問/追加/X2:ダウエルバー計上方法選択,質問No:34,,,-
質問,(step1側のみ/ノイズ) X2:ダウエルバー,diff_only_ノイズ,質問/追加/X2:ダウエルバー,質問No:35,,,-
質問,(step1側のみ/ノイズ) X2:ダウエルバー1本当りの現場着価格,diff_only_ノイズ,質問/追加/X2:ダウエルバー1本当りの現場着価格,質問No:36,,,-
質問,(step1側のみ/ノイズ) X3:チェアー計上方法選択,diff_only_ノイズ,質問/追加/X3:チェアー計上方法選択,質問No:37,,,-
質問,(step1側のみ/ノイズ) X3:チェアー,diff_only_ノイズ,質問/追加/X3:チェアー,質問No:38,,,-
質問,(step1側のみ/ノイズ) X3:チェアー1m当りの現場着価格,diff_only_ノイズ,質問/追加/X3:チェアー1m当りの現場着価格,質問No:39,,,-
質問,(step1側のみ/ノイズ) 1m当りチェアーの使用量,diff_only_ノイズ,質問/追加/1m当りチェアーの使用量,質問No:40,,,-
質問,(step1側のみ/ノイズ) 1m当りチェアーの使用量,diff_only_ノイズ,質問/追加/1m当りチェアーの使用量,質問No:41,,,-
質問,(step1側のみ/ノイズ) X3:チェアー計上方法選択,diff_only_ノイズ,質問/追加/X3:チェアー計上方法選択,質問No:42,,,-
質問,(step1側のみ/ノイズ) X3:チェアー,diff_only_ノイズ,質問/追加/X3:チェアー,質問No:43,,,-
質問,(step1側のみ/ノイズ) X3:チェアー1m当りの現場着価格,diff_only_ノイズ,質問/追加/X3:チェアー1m当りの現場着価格,質問No:44,,,-
質問,(step1側のみ/ノイズ) チェアー材料費の単位選択,diff_only_ノイズ,質問/追加/チェアー材料費の単位選択,質問No:45,,,-
質問,(step1側のみ/ノイズ) 1m当りチェアーの使用量,diff_only_ノイズ,質問/追加/1m当りチェアーの使用量,質問No:46,,,-
質問,(step1側のみ/ノイズ) AT=当り数量,diff_only_ノイズ,質問/追加/AT=当り数量,質問No:47,,,-
質問,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,質問/追加/終点,質問No:48,,,-
選択肢,(step1側のみ/ノイズ) X1:目地の種類,diff_only_ノイズ,選択肢/変更/X1:目地の種類,質問No:22,,,-
選択肢,(step1側のみ/ノイズ) フロー切替:代価表の当り数量,diff_only_ノイズ,選択肢/削除/フロー切替:代価表の当り数量,質問No:24,,,-
選択肢,(step1側のみ/ノイズ) フロー切替:代価表の当り数量,diff_only_ノイズ,選択肢/削除/フロー切替:代価表の当り数量,質問No:24,,,-
選択肢,(step1側のみ/ノイズ) フロー切替:代価表の当り数量,diff_only_ノイズ,選択肢/削除/フロー切替:代価表の当り数量,質問No:24,,,-
選択肢,(step1側のみ/ノイズ) フロー切替:代価表の当り数量,diff_only_ノイズ,選択肢/削除/フロー切替:代価表の当り数量,質問No:24,,,-
選択肢,(step1側のみ/ノイズ) フロー切替:代価表の当り数量,diff_only_ノイズ,選択肢/削除/フロー切替:代価表の当り数量,質問No:24,,,-
選択肢,(step1側のみ/ノイズ) フロー切替:代価表の当り数量,diff_only_ノイズ,選択肢/削除/フロー切替:代価表の当り数量,質問No:24,,,-
フロー,(step1側のみ/ノイズ) AT=当り数量,diff_only_ノイズ,フロー/変更/AT=当り数量,BoxNo:2,,,-
フロー,(step1側のみ/ノイズ) 終点,diff_only_ノイズ,フロー/変更/終点,BoxNo:3,,,-
フロー,(step1側のみ/ノイズ) 資材計上区分,diff_only_ノイズ,フロー/変更/資材計上区分,BoxNo:5,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:17,diff_only_要確認(未解釈),フロー/変更/BoxNo:17,BoxNo:17,,,-
フロー,(step1側のみ/ノイズ) 1m当りチェアーの使用量,diff_only_ノイズ,フロー/変更/1m当りチェアーの使用量,BoxNo:18,,,-
フロー,(step1側のみ/ノイズ) 目地板,diff_only_ノイズ,フロー/変更/目地板,BoxNo:19,,,-
フロー,(step1側のみ/ノイズ) X4:タイバー,diff_only_ノイズ,フロー/変更/X4:タイバー,BoxNo:21,,,-
フロー,(step1側のみ/ノイズ) X4:タイバー1本当りの現場着価格,diff_only_ノイズ,フロー/変更/X4:タイバー1本当りの現場着価格,BoxNo:22,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:23,diff_only_要確認(未解釈),フロー/変更/BoxNo:23,BoxNo:23,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:24,diff_only_要確認(未解釈),フロー/変更/BoxNo:24,BoxNo:24,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:26,diff_only_要確認(未解釈),フロー/変更/BoxNo:26,BoxNo:26,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:27,diff_only_要確認(未解釈),フロー/変更/BoxNo:27,BoxNo:27,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:31,diff_only_要確認(未解釈),フロー/変更/BoxNo:31,BoxNo:31,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:39,diff_only_要確認(未解釈),フロー/変更/BoxNo:39,BoxNo:39,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:40,diff_only_要確認(未解釈),フロー/変更/BoxNo:40,BoxNo:40,,,-
フロー,(step1側のみ/ノイズ) チェアー材料費の単位選択,diff_only_ノイズ,フロー/変更/チェアー材料費の単位選択,BoxNo:41,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:42,diff_only_要確認(未解釈),フロー/変更/BoxNo:42,BoxNo:42,,,-
フロー,(step1側のみ/ノイズ) チェアー材料費の単位選択,diff_only_ノイズ,フロー/変更/チェアー材料費の単位選択,BoxNo:43,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:44,diff_only_要確認(未解釈),フロー/変更/BoxNo:44,BoxNo:44,,,-
フロー,(step1側のみ/ノイズ) X2:ダウエルバー計上方法選択,diff_only_ノイズ,フロー/追加/X2:ダウエルバー計上方法選択,BoxNo:29,,,-
フロー,(step1側のみ/ノイズ) X2:ダウエルバー,diff_only_ノイズ,フロー/追加/X2:ダウエルバー,BoxNo:45,,,-
フロー,(step1側のみ/ノイズ) X2:ダウエルバー1本当りの現場着価格,diff_only_ノイズ,フロー/追加/X2:ダウエルバー1本当りの現場着価格,BoxNo:46,,,-
フロー,(step1側のみ/ノイズ) X3:チェアー計上方法選択,diff_only_ノイズ,フロー/追加/X3:チェアー計上方法選択,BoxNo:47,,,-
フロー,(step1側のみ/ノイズ) X3:チェアー,diff_only_ノイズ,フロー/追加/X3:チェアー,BoxNo:48,,,-
フロー,(step1側のみ/ノイズ) X3:チェアー1m当りの現場着価格,diff_only_ノイズ,フロー/追加/X3:チェアー1m当りの現場着価格,BoxNo:49,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:50,diff_only_要確認(未解釈),フロー/追加/BoxNo:50,BoxNo:50,,,-
フロー,(step1側のみ/ノイズ) X2:ダウエルバー計上方法選択,diff_only_ノイズ,フロー/追加/X2:ダウエルバー計上方法選択,BoxNo:51,,,-
フロー,(step1側のみ/ノイズ) X2:ダウエルバー,diff_only_ノイズ,フロー/追加/X2:ダウエルバー,BoxNo:52,,,-
フロー,(step1側のみ/ノイズ) X2:ダウエルバー1本当りの現場着価格,diff_only_ノイズ,フロー/追加/X2:ダウエルバー1本当りの現場着価格,BoxNo:53,,,-
フロー,(step1側のみ/ノイズ) X3:チェアー計上方法選択,diff_only_ノイズ,フロー/追加/X3:チェアー計上方法選択,BoxNo:54,,,-
フロー,(step1側のみ/ノイズ) X3:チェアー,diff_only_ノイズ,フロー/追加/X3:チェアー,BoxNo:55,,,-
フロー,(step1側のみ/ノイズ) X3:チェアー1m当りの現場着価格,diff_only_ノイズ,フロー/追加/X3:チェアー1m当りの現場着価格,BoxNo:56,,,-
フロー,(step1側のみ/ノイズ) X1:目地の種類,diff_only_ノイズ,フロー/追加/X1:目地の種類,BoxNo:57,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:58,diff_only_要確認(未解釈),フロー/追加/BoxNo:58,BoxNo:58,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:59,diff_only_要確認(未解釈),フロー/追加/BoxNo:59,BoxNo:59,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:60,diff_only_要確認(未解釈),フロー/追加/BoxNo:60,BoxNo:60,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:61,diff_only_要確認(未解釈),フロー/追加/BoxNo:61,BoxNo:61,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:62,diff_only_要確認(未解釈),フロー/追加/BoxNo:62,BoxNo:62,,,-
フロー,(step1側のみ/ノイズ) 1m当りチェアーの使用量,diff_only_ノイズ,フロー/追加/1m当りチェアーの使用量,BoxNo:63,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:64,diff_only_要確認(未解釈),フロー/追加/BoxNo:64,BoxNo:64,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:65,diff_only_要確認(未解釈),フロー/追加/BoxNo:65,BoxNo:65,,,-
フロー,(step1側のみ/ノイズ) 1m当りチェアーの使用量,diff_only_ノイズ,フロー/追加/1m当りチェアーの使用量,BoxNo:66,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:67,diff_only_要確認(未解釈),フロー/追加/BoxNo:67,BoxNo:67,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:68,diff_only_要確認(未解釈),フロー/追加/BoxNo:68,BoxNo:68,,,-
フロー,(step1側のみ/ノイズ) X3:チェアー計上方法選択,diff_only_ノイズ,フロー/追加/X3:チェアー計上方法選択,BoxNo:69,,,-
フロー,(step1側のみ/ノイズ) X3:チェアー,diff_only_ノイズ,フロー/追加/X3:チェアー,BoxNo:70,,,-
フロー,(step1側のみ/ノイズ) X3:チェアー1m当りの現場着価格,diff_only_ノイズ,フロー/追加/X3:チェアー1m当りの現場着価格,BoxNo:71,,,-
フロー,(step1側のみ/ノイズ) チェアー材料費の単位選択,diff_only_ノイズ,フロー/追加/チェアー材料費の単位選択,BoxNo:72,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:73,diff_only_要確認(未解釈),フロー/追加/BoxNo:73,BoxNo:73,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:74,diff_only_要確認(未解釈),フロー/追加/BoxNo:74,BoxNo:74,,,-
フロー,(step1側のみ/ノイズ) 1m当りチェアーの使用量,diff_only_ノイズ,フロー/追加/1m当りチェアーの使用量,BoxNo:75,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:76,diff_only_要確認(未解釈),フロー/追加/BoxNo:76,BoxNo:76,,,-
フロー,(step1側のみ/ノイズ) X5:三角材の有無(目地台),diff_only_ノイズ,フロー/追加/X5:三角材の有無(目地台),BoxNo:77,,,-
フロー,(step1側のみ/ノイズ) 目地台,diff_only_ノイズ,フロー/追加/目地台,BoxNo:78,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:79,diff_only_要確認(未解釈),フロー/追加/BoxNo:79,BoxNo:79,,,-
フロー,(step1側のみ/ノイズ) X6:施工方法,diff_only_ノイズ,フロー/追加/X6:施工方法,BoxNo:80,,,-
フロー,(step1側のみ/ノイズ) X5:三角材の有無(目地台),diff_only_ノイズ,フロー/削除/X5:三角材の有無(目地台),BoxNo:25,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:28,diff_only_要確認(未解釈),フロー/削除/BoxNo:28,BoxNo:28,,,-
フロー,(step1側のみ/ノイズ) X1:目地の種類,diff_only_ノイズ,フロー/削除/X1:目地の種類,BoxNo:32,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:33,diff_only_要確認(未解釈),フロー/削除/BoxNo:33,BoxNo:33,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:34,diff_only_要確認(未解釈),フロー/削除/BoxNo:34,BoxNo:34,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:35,diff_only_要確認(未解釈),フロー/削除/BoxNo:35,BoxNo:35,,,-
フロー,(step1側のみ/ノイズ) X6:施工方法,diff_only_ノイズ,フロー/削除/X6:施工方法,BoxNo:36,,,-
フロー,(step1側のみ/要確認(未解釈)) BoxNo:37,diff_only_要確認(未解釈),フロー/削除/BoxNo:37,BoxNo:37,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 3件,完全マッチ: 1,部分マッチ: 0,未マッチ: 2,,,緩和一致率: 33%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 2,
【最終判定】,,,,,,,最終一致率: 33%
【最終結論】,[要確認] 不足側Claude未評価2件 / 過剰側Claude未解釈29件,,,,,,
【step1側のみ(過剰)】,合計: 103,要確認候補: 29,ノイズ: 74,カバー済: 0,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 29,
