カテゴリ,変更種別,ID,名称,旧値,新値,備考
代価表,変更,代価表:11,諸雑費,型枠用材料、はく離材、養生マット、電力,,備考変更
代価表,追加,代価表:14,TankaCD:32-501-3-32-21467,-,1行,
代価表,追加,代価表:15,TankaCD:32-501-3-32-21468,-,1行,
計算表,追加,計算表変数:110,S12,-,"if(KKB == 2, 1, 0) * S12b * MKK * SK",計算式
計算表,追加,計算表変数:111,S12b,-,,計算式
計算表,追加,計算表変数:112,S13,-,"if(KKB == 2, 1, 0) * S13a * MKK * SK",計算式
計算表,追加,計算表変数:113,S13a,-,,計算式
計算表,追加,計算表変数:114,CD:114,-,,計算式
計算表,追加,計算表変数:115,KKB,-,,計算式
計算表,追加,計算表変数:116,MKK,-,,計算式
計算表,追加,計算表変数:117,CD:117,-,,計算式
計算表,追加,計算表変数:118,CD:118,-,,計算式
計算表,追加,計算表変数:119,CD:119,-,,計算式
計算表,追加,計算表変数:120,CD:120,-,,計算式
計算表,追加,計算表変数:121,CD:121,-,,計算式
計算表,追加,計算表変数:122,D1R,-,S10,計算式
計算表,追加,計算表変数:123,D2R,-,S11,計算式
計算表,追加,計算表変数:124,D3R,-,S4,計算式
計算表,追加,計算表変数:125,D4R,-,S5,計算式
計算表,追加,計算表変数:126,D5R,-,S12,計算式
計算表,追加,計算表変数:127,D6R,-,S13,計算式
計算表,追加,計算表変数:128,D7R,-,S6,計算式
計算表,追加,計算表変数:129,D10R,-,S8,計算式
計算表,追加,計算表変数:130,D12R,-,S9,計算式
計算表,追加,計算表変数:131,D13R,-,S7,計算式
計算表,削除,計算表変数:63,D1B,S10,-,
計算表,削除,計算表変数:64,D2B,S11,-,
計算表,削除,計算表変数:65,D3B,S4,-,
計算表,削除,計算表変数:66,D4B,S5,-,
計算表,削除,計算表変数:67,D5B,S6,-,
計算表,削除,計算表変数:68,D8B,S8,-,
計算表,削除,計算表変数:69,D10B,S9,-,
計算表,削除,計算表変数:102,CD:102,,-,
計算表,削除,計算表変数:104,CD:104,,-,
