修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,埋設型枠、埋設型枠端部について / 埋設型枠は、埋設型枠端部はを代価表に置く / 計上区分を作成する / 単価DBと単位自動選択の動作を作成する,partial,質問/変更/埋設型枠計上区分,質問No:35,,,OK
?,埋設型枠の場合：「m」なら設計量を聞く／「m」以外なら10m3当り使用数量を聞く,partial,計算表/追加/S12,計算表変数:110,,,OK
?,埋設型枠端部の場合：いずれも使用数量を聞く,unmatched,,,,,未評価
?,上記が選択によって適切に代価表に計上されるよう変数や計算式を追加する / 諸雑費の備考欄を削除（注9､10で型枠に関しての差があるため） / 資料の表5.4「桁形式」の変更に関する文字を修正 / 資料の表5.4「編成人員」の数量変更に対応,matched,計算表/追加/D1R,計算表変数:122,,,OK
?,{{collapse(変更前の修正内容),partial,代価表/変更/諸雑費,代価表:11,,,OK
代価表,下記で追加された「埋設型枠」、「埋設型枠端部」を追加する,partial,代価表/追加/TankaCD:32-501-3-32-21467,代価表:14,,,OK
代価表,(step1側のみ/要確認(未解釈)) TankaCD:32-501-3-32-21468,diff_only_要確認(未解釈),代価表/追加/TankaCD:32-501-3-32-21468,代価表:15,,,-
計算表,(step1側のみ/ノイズ) S12b,diff_only_ノイズ,計算表/追加/S12b,計算表変数:111,,,-
計算表,(step1側のみ/ノイズ) S13,diff_only_ノイズ,計算表/追加/S13,計算表変数:112,,,-
計算表,(step1側のみ/ノイズ) S13a,diff_only_ノイズ,計算表/追加/S13a,計算表変数:113,,,-
計算表,(step1側のみ/ノイズ) CD:114,diff_only_ノイズ,計算表/追加/CD:114,計算表変数:114,,,-
計算表,(step1側のみ/ノイズ) KKB,diff_only_ノイズ,計算表/追加/KKB,計算表変数:115,,,-
計算表,(step1側のみ/ノイズ) MKK,diff_only_ノイズ,計算表/追加/MKK,計算表変数:116,,,-
計算表,(step1側のみ/ノイズ) CD:117,diff_only_ノイズ,計算表/追加/CD:117,計算表変数:117,,,-
計算表,(step1側のみ/ノイズ) CD:118,diff_only_ノイズ,計算表/追加/CD:118,計算表変数:118,,,-
計算表,(step1側のみ/ノイズ) CD:119,diff_only_ノイズ,計算表/追加/CD:119,計算表変数:119,,,-
計算表,(step1側のみ/ノイズ) CD:120,diff_only_ノイズ,計算表/追加/CD:120,計算表変数:120,,,-
計算表,(step1側のみ/ノイズ) CD:121,diff_only_ノイズ,計算表/追加/CD:121,計算表変数:121,,,-
計算表,(step1側のみ/ノイズ) D2R,diff_only_ノイズ,計算表/追加/D2R,計算表変数:123,,,-
計算表,(step1側のみ/ノイズ) D3R,diff_only_ノイズ,計算表/追加/D3R,計算表変数:124,,,-
計算表,(step1側のみ/ノイズ) D4R,diff_only_ノイズ,計算表/追加/D4R,計算表変数:125,,,-
計算表,(step1側のみ/ノイズ) D5R,diff_only_ノイズ,計算表/追加/D5R,計算表変数:126,,,-
計算表,(step1側のみ/ノイズ) D6R,diff_only_ノイズ,計算表/追加/D6R,計算表変数:127,,,-
計算表,(step1側のみ/ノイズ) D7R,diff_only_ノイズ,計算表/追加/D7R,計算表変数:128,,,-
計算表,(step1側のみ/ノイズ) D10R,diff_only_ノイズ,計算表/追加/D10R,計算表変数:129,,,-
計算表,(step1側のみ/ノイズ) D12R,diff_only_ノイズ,計算表/追加/D12R,計算表変数:130,,,-
計算表,(step1側のみ/ノイズ) D13R,diff_only_ノイズ,計算表/追加/D13R,計算表変数:131,,,-
