カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:2,S1,0.8,0.87,固定値
計算表,変更,計算表変数:3,S2,2.9,3.2,固定値
計算表,変更,計算表変数:4,S3,0.2,0.22,固定値
計算表,変更,計算表変数:5,S4,1.3,1.4,固定値
計算表,変更,計算表変数:8,QPD,120.0,110.0,固定値
計算表,追加,計算表変数:48,CD:48,-,,計算式
計算表,追加,計算表変数:49,CD:49,-,,計算式
計算表,追加,計算表変数:50,CD:50,-,,計算式
計算表,追加,計算表変数:51,CD:51,-,,計算式
計算表,追加,計算表変数:52,CD:52,-,,計算式
計算表,追加,計算表変数:53,CD:53,-,,計算式
計算表,削除,計算表変数:25,CD:25,,-,
計算表,削除,計算表変数:28,CD:28,,-,
計算表,削除,計算表変数:34,CD:34,,-,
計算表,削除,計算表変数:37,CD:37,,-,
計算表,削除,計算表変数:39,CD:39,,-,
計算表,削除,計算表変数:43,CD:43,,-,
質問,変更,質問No:1,ラフテレーンクレーン(長期割引あり)規格区分,ラフテレーンクレーン(長期割引あり)規格区分,ラフテレーンクレーン(長期割引あり)規格区分,バージョン更新
質問,変更,質問No:3,ラフテレーンクレーン(長期割引なし)規格区分,ラフテレーンクレーン(長期割引なし)規格区分,ラフテレーンクレーン(長期割引なし)規格区分,バージョン更新
選択肢,変更,質問No:1,ラフテレーンクレーン(長期割引あり)規格区分,16t吊,12~13t吊,選択肢テキスト変更(10行)
選択肢,変更,質問No:3,ラフテレーンクレーン(長期割引なし)規格区分,16t吊,12~13t吊,選択肢テキスト変更(10行)
選択肢,追加,質問No:1,ラフテレーンクレーン(長期割引あり)規格区分,-,70t吊,
選択肢,追加,質問No:3,ラフテレーンクレーン(長期割引なし)規格区分,-,70t吊,
