修正方針カテゴリ,修正方針本文,機械判定,マッチstep1行,マッチstep1 ID,Claudeリスク評価,Claudeコメント,最終判定
?,チケットの「修正内容」欄より引用,unmatched,,,,,未評価
計算表,変数S1～S4の数値を資料通りに修正,matched,計算表/変更/S1,計算表変数:2,,,OK
計算表,(step1側のみ/ノイズ) S2,diff_only_ノイズ,計算表/変更/S2,計算表変数:3,,,-
計算表,(step1側のみ/ノイズ) S3,diff_only_ノイズ,計算表/変更/S3,計算表変数:4,,,-
計算表,(step1側のみ/ノイズ) S4,diff_only_ノイズ,計算表/変更/S4,計算表変数:5,,,-
計算表,(step1側のみ/ノイズ) QPD,diff_only_ノイズ,計算表/変更/QPD,計算表変数:8,,,-
計算表,(step1側のみ/ノイズ) CD:48,diff_only_ノイズ,計算表/追加/CD:48,計算表変数:48,,,-
計算表,(step1側のみ/ノイズ) CD:49,diff_only_ノイズ,計算表/追加/CD:49,計算表変数:49,,,-
計算表,(step1側のみ/ノイズ) CD:50,diff_only_ノイズ,計算表/追加/CD:50,計算表変数:50,,,-
計算表,(step1側のみ/ノイズ) CD:51,diff_only_ノイズ,計算表/追加/CD:51,計算表変数:51,,,-
計算表,(step1側のみ/ノイズ) CD:52,diff_only_ノイズ,計算表/追加/CD:52,計算表変数:52,,,-
計算表,(step1側のみ/ノイズ) CD:53,diff_only_ノイズ,計算表/追加/CD:53,計算表変数:53,,,-
計算表,(step1側のみ/ノイズ) CD:25,diff_only_ノイズ,計算表/削除/CD:25,計算表変数:25,,,-
計算表,(step1側のみ/ノイズ) CD:28,diff_only_ノイズ,計算表/削除/CD:28,計算表変数:28,,,-
計算表,(step1側のみ/ノイズ) CD:34,diff_only_ノイズ,計算表/削除/CD:34,計算表変数:34,,,-
計算表,(step1側のみ/ノイズ) CD:37,diff_only_ノイズ,計算表/削除/CD:37,計算表変数:37,,,-
計算表,(step1側のみ/ノイズ) CD:39,diff_only_ノイズ,計算表/削除/CD:39,計算表変数:39,,,-
計算表,(step1側のみ/ノイズ) CD:43,diff_only_ノイズ,計算表/削除/CD:43,計算表変数:43,,,-
質問,(step1側のみ/ノイズ) ラフテレーンクレーン(長期割引あり)規格区分,diff_only_ノイズ,質問/変更/ラフテレーンクレーン(長期割引あり)規格区分,質問No:1,,,-
質問,(step1側のみ/ノイズ) ラフテレーンクレーン(長期割引なし)規格区分,diff_only_ノイズ,質問/変更/ラフテレーンクレーン(長期割引なし)規格区分,質問No:3,,,-
選択肢,(step1側のみ/ノイズ) ラフテレーンクレーン(長期割引あり)規格区分,diff_only_ノイズ,選択肢/変更/ラフテレーンクレーン(長期割引あり)規格区分,質問No:1,,,-
選択肢,(step1側のみ/ノイズ) ラフテレーンクレーン(長期割引なし)規格区分,diff_only_ノイズ,選択肢/変更/ラフテレーンクレーン(長期割引なし)規格区分,質問No:3,,,-
選択肢,(step1側のみ/ノイズ) ラフテレーンクレーン(長期割引あり)規格区分,diff_only_ノイズ,選択肢/追加/ラフテレーンクレーン(長期割引あり)規格区分,質問No:1,,,-
選択肢,(step1側のみ/ノイズ) ラフテレーンクレーン(長期割引なし)規格区分,diff_only_ノイズ,選択肢/追加/ラフテレーンクレーン(長期割引なし)規格区分,質問No:3,,,-
---,---,---,---,---,---,---,---
【機械評価】,修正方針項目: 2件,完全マッチ: 1,部分マッチ: 0,未マッチ: 1,,,緩和一致率: 50%
【Claudeリスク評価】,,,妥当: 0,軽微: 0,重大: 0,未評価: 1,
【最終判定】,,,,,,,最終一致率: 50%
【最終結論】,[要確認] 不足側Claude未評価1件,,,,,,
【step1側のみ(過剰)】,合計: 22,要確認候補: 0,ノイズ: 22,カバー済: 0,,,
【過剰のClaude解釈】,,,妥当: 0,軽微: 0,重大: 0,未解釈: 0,
