カテゴリ,変更種別,ID,名称,旧値,新値,備考
計算表,変更,計算表変数:2,S1,0.2,0.22,固定値
計算表,変更,計算表変数:3,S2,0.9,0.98,固定値
計算表,変更,計算表変数:4,S3,0.2,0.22,固定値
計算表,変更,計算表変数:6,S5,0.2,0.22,固定値
計算表,変更,計算表変数:10,QPD,50.0,46.0,固定値
計算表,追加,計算表変数:50,CD:50,-,,計算式
計算表,追加,計算表変数:51,CD:51,-,,計算式
計算表,追加,計算表変数:52,CD:52,-,,計算式
計算表,追加,計算表変数:53,CD:53,-,,計算式
計算表,追加,計算表変数:54,CD:54,-,,計算式
計算表,追加,計算表変数:55,CD:55,-,,計算式
計算表,削除,計算表変数:28,CD:28,,-,
計算表,削除,計算表変数:31,CD:31,,-,
計算表,削除,計算表変数:36,CD:36,,-,
計算表,削除,計算表変数:39,CD:39,,-,
計算表,削除,計算表変数:41,CD:41,,-,
計算表,削除,計算表変数:45,CD:45,,-,
